English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
personal,"<img src=""personal.jpg"">",/ˈpɝː.sən.əl/,[sound:personal.mp3],"cá nhân, tư nhân",Please keep your {{c1::personal}} belongings safe.,"Thuộc về hoặc liên quan mật thiết đến một người cụ thể, mang tính riêng tư chứ không phải công cộng.",Relating to or belonging to a single person rather than to anyone else or the public.,"personal life, personal belongings, personal opinion","Syn: private, individual, intimate | Ant: public, general","make it personal (cá nhân hóa vấn đề, coi đó là sự công kích cá nhân)","Gốc danh từ 'person' (người) + hậu tố tính từ '-al' (thuộc về, liên quan đến).",Neutral. Được sử dụng rộng rãi trong giao tiếp thông thường và văn bản hành chính.
group,"<img src=""group.jpg"">",/ɡruːp/,[sound:group.mp3],"nhóm, tập thể",The teacher divided the students into small {{c1::groups}}.,Tập hợp nhiều người hoặc vật cùng ở một nơi hoặc có mối liên hệ với nhau.,"A number of people or things that are located, gathered, or classed together.","group activity, target group, age group","Syn: team, cluster | Ant: individual, person",group dynamics,French: groupe (sự tập hợp),Neutral - Từ thông dụng trong giao tiếp và công việc.
collective,"<img src=""collective.jpg"">",/kəˈlek.tɪv/,[sound:collective.mp3],"tập thể, chung",It was a {{c1::collective}} decision made by all team members.,Thuộc về hoặc được thực hiện bởi tất cả các thành viên trong một nhóm.,Done by or belonging to all the members of a group involved.,"collective responsibility, collective effort, collective memory","Syn: joint, shared, combined; Ant: individual, personal",collective wisdom,collect (thu thập) + -ive (hậu tố tính từ),"Formal / Academic - Thường dùng trong tổ chức, chính trị, xã hội."
decide,"<img src=""decide.jpg"">",/dɪˈsaɪd/,[sound:decide.mp3],quyết định,It was difficult to {{c1::decide}} which career path to follow.,"Lựa chọn một phương án hoặc đưa ra phán quyết sau khi suy nghĩ, cân nhắc kỹ lưỡng.",To make a choice from a number of alternatives.,"decide to do something, decide on something, decide against something","Syn: choose, resolve, determine | Ant: hesitate, waver",decide on (chọn lựa cái gì sau khi suy nghĩ kỹ),"Tiền tố 'de-' (xuống, triệt tiêu) + gốc Latinh 'caedere' (cắt) -> Cắt đứt các sự lựa chọn khác để chọn ra một cái duy nhất.","Neutral (Trung tính). Từ vựng cơ bản và phổ biến, dùng được trong cả văn nói hàng ngày, văn phong học thuật lẫn môi trường công sở trang trọng."
determine,"<img src=""determine.jpg"">",/dɪˈtɜːmɪn/,[sound:determine.mp3],"xác định, quyết định",An investigation was launched to {{c1::determine}} the cause of the accident.,Xác nhận thực tế hoặc đưa ra quyết định chắc chắn về điều gì đó.,To officially decide something or to find out the facts about something.,"determine the cause, determine factors, determine outcome","Syn: decide, establish | Ant: hesitate, waver",determine to do something,"Prefix: de- (hoàn toàn) + Root: termin (giới hạn, ranh giới)","Neutral/Formal - Dùng nhiều trong khoa học, báo chí và công việc."
hesitate,"<img src=""hesitate.jpg"">",/ˈhez.ɪ.teɪt/,[sound:hesitate.mp3],"do dự, ngập ngừng",Don't {{c1::hesitate}} to contact me if you have any questions.,Tạm dừng hoặc ngần ngại trước khi hành động vì chưa chắc chắn.,To pause before saying or doing something because you are uncertain.,"hesitate to do sth, without hesitation, hesitate for a moment","Syn: waver, falter, pause; Ant: decide, proceed",he who hesitates is lost,"Gốc Latin: haesitare (mắc kẹt, ngập ngừng)",Neutral - Dùng phổ biến trong cả nói và viết.
waver,"<img src=""waver.jpg"">",/ˈweɪ.vər/,[sound:waver.mp3],"dao động, phân vân",His determination did not {{c1::waver}} despite the difficulties.,"Do dự, giảm bớt sự kiên định hoặc độ chắc chắn.","To become weak, unsteady, or uncertain in decision.","waver between, without wavering, faith wavers","Syn: falter, hesitate, fluctuate; Ant: remain firm, persist",N/A,"Gốc tiếng Anh cổ: wafian (đung đung, dao động)","Neutral / Literary - Dùng miêu tả cảm xúc, ý chí hoặc lựa chọn."
maturity,"<img src=""maturity.jpg"">",/məˈtʃʊr.ə.t̬i/,[sound:maturity.mp3],"sự trưởng thành, chín chắn",He showed great {{c1::maturity}} in handling the difficult situation.,"Trạng thái hoặc giai đoạn phát triển đầy đủ về thể chất, tâm lý, nhận thức hoặc xã hội.","The state, fact, or period of being fully grown or developed emotionally, mentally, or physically.","reach maturity, emotional maturity, intellectual maturity","Syn: adulthood, ripeness, wisdom | Ant: immaturity",come to maturity (đạt đến độ chín muồi/trưởng thành),"Gốc Latin 'maturus' (chín, trưởng thành) + hậu tố danh từ chỉ trạng thái/tính chất '-ity'.","Neutral to Formal. Thường dùng trong tâm lý học, sinh học và các bài thảo luận về tính cách."
adulthood,"<img src=""adulthood.jpg"">",/ˈæd.ʌlt.hʊd/,[sound:adulthood.mp3],tuổi trưởng thành,Reaching {{c1::adulthood}} brings both new legal freedom and serious responsibilities.,Giai đoạn trong cuộc đời khi một người đã phát triển đầy đủ về mặt thể chất và pháp lý.,The stage of life when a person is fully grown and mature.,"reach adulthood, transition into adulthood, early adulthood","Syn: maturity, majority | Ant: childhood, youth, infancy",come of age (trưởng thành/đến tuổi trưởng thành),"Danh từ 'adult' (người lớn) + hậu tố '-hood' (chỉ trạng thái, giai đoạn cuộc sống).","Neutral/Academic - Dùng rộng rãi trong văn viết, nghiên cứu tâm lý và đời sống."
immaturity,"<img src=""immaturity.jpg"">",/ˌɪm.əˈtʃʊə.rə.ti/,[sound:immaturity.mp3],"sự chưa trưởng thành, tính trẻ con",His inappropriate jokes during the meeting clearly displayed his {{c1::immaturity}}.,"Sự thiếu chín chắn trong hành vi, suy nghĩ hoặc sự phát triển chưa hoàn thiện.",The state of not being fully developed or mentally mature.,"emotional immaturity, display immaturity, extreme immaturity","Syn: childishness, callowness, puerility | Ant: maturity, adulthood",N/A,Tiền tố phủ định 'im-' + gốc tính từ 'mature' (chín chắn) + hậu tố danh từ '-ity'.,Neutral/Formal - Thường dùng mang sắc thái đánh giá tiêu cực nhẹ về tính cách.
independent,"<img src=""independent.jpg"">",/ˌɪn.dɪˈpen.dənt/,[sound:independent.mp3],"độc lập, tự lập",She became financially {{c1::independent}} after getting a job.,"Không bị kiểm soát, chi phối hoặc phụ thuộc vào người khác hoặc quốc gia khác; tự lo liệu được cuộc sống.",Free from outside control; not depending on another's authority or support.,"independent nation, financially independent, independent of someone/something","Syn: self-reliant, autonomous, free | Ant: dependent, reliant",none,"Tiền tố phủ định 'in-' (không) + gốc 'dependent' (phụ thuộc, bắt nguồn từ 'depend' - treo lơ lửng vào cái gì khác).",Neutral. Phù hợp cho cả văn nói lẫn văn viết học thuật.
self-reliant,"<img src=""self-reliant.jpg"">",/ˌself.rɪˈlaɪ.ənt/,[sound:self-reliant.mp3],"tự lực, tự dựa vào sức mình",Going to college helped her become more {{c1::self-reliant}}.,Có khả năng tự làm mọi việc và đưa ra quyết định mà không cần dựa vào người khác.,Reliant on one's own powers and resources rather than those of others.,"become self-reliant, highly self-reliant, self-reliant individual","Syn: independent, self-sufficient | Ant: dependent, helpless",stand on one's own two feet (tự đứng trên đôi chân mình),Tiền tố self- (bản thân) + tính từ reliant (phụ thuộc/dựa vào),Neutral / Positive - Mang nghĩa tích cực khen ngợi tính tự lập.
autonomous,"<img src=""autonomous.jpg"">",/ɔːˈtɒn.ə.məs/,[sound:autonomous.mp3],"tự chủ, tự trị",Future transportation will rely heavily on {{c1::autonomous}} vehicles.,"Có quyền tự trị, tự quyết định hoặc hoạt động độc lập không cần điều khiển.",Having the freedom to govern itself or control its own affairs; acting independently.,"autonomous vehicle, autonomous region, autonomous decision","Syn: independent, self-governing | Ant: dependent, controlled",autonomous system (hệ thống tự chủ),Tiền tố auto- (tự) + căn từ nomos (luật lệ) + hậu tố -ous (tính từ),"Academic / Technical - Dùng trong chính trị, công nghệ, triết học."
dependent,"<img src=""dependent.jpg"">",/dɪˈpen.dənt/,[sound:dependent.mp3],"phụ thuộc, dựa vào",The success of the project is highly {{c1::dependent}} on team collaboration.,"Cần sự hỗ trợ, giúp đỡ hoặc phụ thuộc vào ai/cái gì để tồn tại hay hoạt động.",Relying on someone or something else for support or aid.,"be dependent on, highly dependent, weather-dependent","Syn: reliant, conditional | Ant: independent, autonomous",dependent variable (biến phụ thuộc),Tiền tố de- (xuống) + căn từ pend (treo) + hậu tố -ent,Neutral - Sử dụng phổ biến rộng rãi.
self-study,"<img src=""self-study.jpg"">",/ˌselfˈstʌd.i/,[sound:self-study.mp3],"tự học, tự nghiên cứu",She mastered web development through online {{c1::self-study}}.,"Việc tự học một môn học, kỹ năng mà không có sự dạy dỗ, hướng dẫn trực tiếp của giáo viên.","The act of studying a subject by yourself, without a teacher.","promote self-study, self-study materials, self-study program","Syn: self-education, self-learning | Ant: formal education",none,Từ ghép gồm tiền tố phản thân 'self-' (tự bản thân) + động từ/danh từ 'study' (học tập).,Neutral to Academic. Rất phổ biến trong môi trường giáo dục và phát triển kỹ năng.
struggle,"<img src=""struggle.jpg"">",/ˈstrʌɡ.əl/,[sound:struggle.mp3],"vật lộn, đấu tranh, gặp khó khăn",Many students {{c1::struggle}} to pay their rent.,"Nỗ lực, cố gắng hết sức vượt qua những trở ngại, khó khăn lớn hoặc hoàn cảnh ngặt nghèo.",To make forceful efforts to get free of restraint or constriction; to strive to achieve something in the face of difficulties.,"struggle with something, struggle to do something, constant struggle","Syn: strive, fight, labor | Ant: surrender, yield, ease",struggle along/through (chật vật vượt qua/sinh tồn qua ngày),"Từ tiếng Anh Trung cổ 'struglen', có thể có nguồn gốc Bắc Âu cổ diễn tả hành động nỗ lực thể chất dữ dội.",Neutral. Sử dụng linh hoạt trong cả đời sống thường ngày lẫn văn viết mô tả hiện trạng xã hội.
strive,"<img src=""strive.jpg"">",/straɪv/,[sound:strive.mp3],"cố gắng, phấn đấu",We always {{c1::strive}} for excellence in everything we do.,Nỗ lực rất nhiều hoặc đấu tranh gay gắt để đạt được điều gì đó.,To make great efforts to achieve or obtain something.,"strive for excellence, strive to improve, strive against","Syn: endeavor, struggle | Ant: neglect, surrender",strive for perfection (phấn đấu hướng tới sự hoàn hảo),"Từ tiếng Pháp cổ 'estriver' (tranh chấp, nỗ lực)","Formal / Literary - Thường dùng trong tuyên bố sứ mệnh, mục tiêu phát triển."
contend,"<img src=""contend.jpg"">",/kənˈtend/,[sound:contend.mp3],"tranh chấp, cho rằng",Several companies are {{c1::contending}} for the lucrative contract.,"Cạnh tranh để giành lấy cái gì, hoặc quả quyết/cho rằng điều gì là đúng.","To struggle to surmount a difficulty, or to assert something in an argument.","contend with difficulties, contend that, contend for a prize","Syn: compete, assert | Ant: yield, concede",contend with (đối mặt/giải quyết với khó khăn),"Tiền tố con- (cùng nhau) + căn từ tendere (kéo, giằng co)","Formal / Academic - Dùng trong tranh luận, thể thao chuyên nghiệp, chính trị."
difficulty,"<img src=""difficulty.jpg"">",/ˈdɪf.ɪ.kəl.ti/,[sound:difficulty.mp3],"sự khó khăn, trở ngại",She had great {{c1::difficulty}} in finding a job.,Trạng thái khó thực hiện hoặc một vấn đề gây cản trở.,The state or condition of being difficult; a problem or hardship.,"have difficulty doing sth, face difficulty, financial difficulty","Syn: trouble, hardship, obstacle; Ant: ease, simplicity",in deep difficulty,difficult (khó) + -y (hậu tố danh từ),Neutral - Dùng phổ biến trong sinh hoạt và công việc.
support,"<img src=""support.jpg"">",/səˈpɔːrt/,[sound:support.mp3],"hỗ trợ, ủng hộ, nuôi nấng",They always {{c1::support}} my decisions.,"Giúp đỡ, cổ vũ tinh thần, hoặc cung cấp tài chính/nhu yếu phẩm để ai đó có thể tồn tại hoặc thành công.","To give assistance to, especially financially; to encourage and back someone or something.","financial support, moral support, support a family","Syn: assist, help, back, aid | Ant: oppose, hinder, obstruct",support someone in doing something,"Tiền tố 'sub-' (dưới, từ dưới lên) + gốc Latinh 'portare' (mang, vác) -> Nâng đỡ, gánh vác từ phía dưới.","Neutral. Từ vựng đa năng, dùng trong giao tiếp hàng ngày, công việc và chính trị."
back,"<img src=""back.jpg"">",/bæk/,[sound:back.mp3],"ủng hộ; lưng, phía sau",Many investors decided to {{c1::back}} the new startup company.,"Hỗ trợ, tài trợ cho ai/cái gì; hoặc phần phía sau của vật thể.",To give financial or material support to someone or something.,"back a proposal, back down, at the back of","Syn: support, endorse, sponsor; Ant: oppose, undermine","back to square one, behind one's back",Gốc tiếng Anh cổ: bæc (phía sau),Neutral - Rất linh hoạt trong ngữ cảnh thân mật lẫn công việc.
aid,"<img src=""aid.jpg"">",/eɪd/,[sound:aid.mp3],"sự trợ giúp, viện trợ",The organization provides humanitarian {{c1::aid}} to war zones.,"Sự hỗ trợ (tiền, lương thực, y tế) dành cho người gặp khó khăn.","Help, typically money, food, or equipment, given to people in need.","financial aid, first aid, humanitarian aid","Syn: assistance, support, help; Ant: hindrance, impediment","in aid of, come to sb's aid",Gốc Latin: adjuvare (giúp đỡ),"Neutral / Formal - Dùng trong bối cảnh nhân đạo, chính trị, y tế."
help,"<img src=""help.jpg"">",/help/,[sound:help.mp3],giúp đỡ,Can you {{c1::help}} me move this heavy table?,Làm điều gì đó cho ai đó để giúp họ thực hiện công việc dễ dàng hơn.,To make it easier for someone to do something by offering services or resources.,"help out, seek help, help with","Syn: assist, aid | Ant: hinder, impede",cannot help doing something,"Old English: helpan (hỗ trợ, giúp đỡ)",Neutral - Từ vựng thông dụng hàng ngày.
oppose,"<img src=""oppose.jpg"">",/əˈpəʊz/,[sound:oppose.mp3],"chống đối, phản đối",Many local residents strongly {{c1::oppose}} the construction of the new highway.,"Bày tỏ sự không đồng ý hoặc chống lại một kế hoạch, chính sách hay quan điểm nào đó.",To disagree strongly with someone or something and try to stop them.,"strongly oppose, oppose a plan, fiercely oppose","Syn: resist, object to, defy | Ant: support, favor, advocate",be opposed to something (phản đối điều gì),"Tiền tố 'op-' (chống lại, đối diện) + gốc La-tinh 'ponere' (đặt, để).","Formal/Academic - Thường dùng trong báo chí, chính trị và tranh luận trang trọng."
hinder,"<img src=""hinder.jpg"">",/ˈhɪn.dər/,[sound:hinder.mp3],"cản trở, gây trở ngại",Severe weather conditions could severely {{c1::hinder}} the rescue operations.,Làm cho công việc hoặc sự phát triển của ai/cái gì trở nên khó khăn hoặc chậm lại.,To make it difficult for someone to do something or for something to develop.,"hinder progress, severely hinder, hinder growth","Syn: impede, obstruct, hamper | Ant: help, encourage, facilitate",hinder and impede (gây khó khăn và cản trở),"Từ gốc tiếng Anh cổ 'hindrian' (làm chậm lại, kéo lùi về phía sau, liên quan đến 'behind').","Formal/Academic - Thường xuất hiện trong văn bản chính thức, báo chí và học thuật."
motivation,"<img src=""motivation.jpg"">",/ˌmoʊ.t̬əˈveɪ.ʃən/,[sound:motivation.mp3],động lực,High salaries are a major {{c1::motivation}} for employees.,"Lý do, mục đích hoặc trạng thái hào hứng thúc đẩy ai đó hành động hoặc nỗ lực làm một việc gì đó.",The reason or reasons one has for acting or behaving in a particular way; enthusiasm.,"lack of motivation, strong motivation, find motivation","Syn: drive, inspiration, incentive | Ant: discouragement, apathy",none,"Gốc Latin 'movere' (di chuyển) -> 'motive' (động cơ) + hậu tố danh từ hóa '-ation' (quá trình, kết quả).","Neutral to Academic. Sử dụng nhiều trong giáo dục, tâm lý học, quản trị nhân sự."
incentive,"<img src=""incentive.jpg"">",/ɪnˈsen.tɪv/,[sound:incentive.mp3],"sự khuyến khích, động lực",The bonus offers a strong {{c1::incentive}} for employees to work harder.,Thứ dùng để khuyến khích hoặc thôi thúc ai đó làm điều gì đó.,A thing that motivates or encourages someone to do something.,"financial incentive, tax incentive, provide an incentive","Syn: motivation, encouragement | Ant: deterrent, disincentive",incentive scheme (chương trình kích thích/thưởng),"Căn từ gốc Latin incinitivus (kích thích, làm dấy lên)","Formal / Business - Dùng nhiều trong kinh doanh, quản trị và kinh tế."
drive,"<img src=""drive.jpg"">",/draɪv/,[sound:drive.mp3],"động lực, sự thúc đẩy",Her strong inner {{c1::drive}} helped her overcome every obstacle.,"Năng lượng, động lực mạnh mẽ đẩy một người tiến tới mục tiêu.",An innate desire or motivation to achieve a goal.,"ambition and drive, recruitment drive, drive for success","Syn: motivation, determination | Ant: apathy, laziness","drive somebody crazy (làm ai đó phát điên), drive home (nhấn mạnh)","Động từ/danh từ gốc Anh cổ 'drīfan' (đẩy, ép tiến lên)",Neutral - Dùng phổ biến trong cả giao tiếp và công việc.
guidance,"<img src=""guidance.jpg"">",/ˈɡaɪ.dəns/,[sound:guidance.mp3],"sự hướng dẫn, chỉ dẫn","Under the teacher's {{c1::guidance}}, the students finished the project.","Lời khuyên, sự định hướng hữu ích được cung cấp bởi người có kinh nghiệm hơn nhằm giúp giải quyết một vấn đề.","Help or advice that is given to someone, especially by someone in authority or with more experience.","under the guidance of, career guidance, seek guidance","Syn: advice, direction, counsel | Ant: misdirection, neglect",none,"Gốc động từ 'guide' (hướng dẫn, dẫn đường) + hậu tố danh từ chỉ hành động/trạng thái '-ance'.","Neutral to Formal. Thường dùng trong môi trường giáo dục, tư vấn nghề nghiệp hoặc quản lý công việc."
direction,"<img src=""direction.jpg"">",/daɪˈrek.ʃən/,[sound:direction.mp3],"hướng đi, sự định hướng",The new manager gave a clear {{c1::direction}} for the upcoming project.,"Phương hướng di chuyển, hoặc sự chỉ dẫn/định hướng hành động.",A course along which someone or something moves; guidance.,"sense of direction, in the right direction, future direction","Syn: course, guidance | Ant: disorientation, aimlessness",step in the right direction (bước đi đúng hướng),Động từ direct (chỉ hướng) + hậu tố danh từ -ion,Neutral - Phổ biến trong mọi tình huống.
instruction,"<img src=""instruction.jpg"">",/ɪnˈstrʌk.ʃən/,[sound:instruction.mp3],"hướng dẫn, sự chỉ dẫn",Please read the {{c1::instructions}} carefully before assembling the table.,Lời chỉ dẫn cách làm việc gì hoặc kiến thức được truyền dạy.,"Detailed information telling how something should be done, operated, or assembled.","follow instructions, give instructions, clear instruction","Syn: direction, guidance | Ant: misinformation",under instruction (theo chỉ thị/hướng dẫn),Động từ instruct (hướng dẫn) + hậu tố danh từ -ion,Neutral - Rất thông dụng trong cuộc sống và học tập.
manage,"<img src=""manage.jpg"">",/ˈmæn.ədʒ/,[sound:manage.mp3],"quản lý, xoay sở được",How do you {{c1::manage}} to stay so calm in a crisis?,"Điều hành, kiểm soát công việc/tổ chức; hoặc thành công trong việc giải quyết một tình huống khó khăn.",To be in charge of; to succeed in surviving or in doing something difficult.,"manage to do something, manage a business, manage time","Syn: run, control, handle, cope | Ant: fail, bungle, neglect",manage with (xoay sở với những gì đang có sẵn),"Bắt nguồn từ tiếng Ý 'maneggiare' (điều khiển, huấn luyện ngựa), gốc Latinh 'manus' (bàn tay).",Neutral. Sử dụng cực kỳ phổ biến cả trong ngữ cảnh kinh doanh lẫn đời sống hàng ngày.
handle,"<img src=""handle.jpg"">",/ˈhæn.dəl/,[sound:handle.mp3],"xử lý, giải quyết",She knows how to {{c1::handle}} difficult customers.,"Đối phó, xử lý hoặc quản lý một tình huống, vấn đề hoặc một con người một cách hiệu quả.","To deal with, control, or manage a situation, object, or person.","handle a situation, handle pressure, handle with care","Syn: deal with, manage, tackle | Ant: ignore, neglect","fly off the handle (mất bình tĩnh, nổi giận vô cớ)","Bắt nguồn từ tiếng Anh cổ 'handlian' (chạm vào, cầm bằng tay), có liên hệ chặt chẽ với 'hand' (bàn tay).","Neutral. Mang sắc thái thực tế, hành động nhanh gọn, thích hợp cho giao tiếp đời thường lẫn công sở."
mismanage,,/ˌmɪsˈmæn.ɪdʒ/,[sound:mismanage.mp3],"quản lý kém, quản lý sai",The company failed because the board {{c1::mismanaged}} the funds.,"Quản lý hoặc điều hành một công việc/tài chính một cách sai lầm, kém cỏi.",To manage something badly or carelessly.,"mismanage funds, mismanage resources, grossly mismanage","Syn: bungle, mishandle; Ant: manage, direct well",N/A,"mis- (sai, xấu) + manage (quản lý)","Formal / Business - Dùng trong báo chí, doanh nghiệp và chính trị."
situation,"<img src=""situation.jpg"">",/ˌsɪtʃ.uˈeɪ.ʃən/,[sound:situation.mp3],"tình huống, hoàn cảnh",The economic {{c1::situation}} is starting to improve.,"Một tập hợp các sự kiện, hoàn cảnh thực tế đang diễn ra tại một thời điểm và địa điểm cụ thể.",A set of circumstances in which one finds oneself; a state of affairs.,"difficult situation, current situation, control the situation","Syn: circumstance, state, condition | Ant: none",win-win situation (tình huống đôi bên cùng có lợi),"Gốc Latin 'situare' (đặt vào vị trí), xuất phát từ 'situs' (vị trí, địa điểm) + hậu tố danh từ trạng thái '-ation'.",Neutral. Thích hợp cho mọi ngữ cảnh viết và nói.
circumstance,"<img src=""circumstance.jpg"">",/ˈsɜː.kəm.stɑːns/,[sound:circumstance.mp3],"hoàn cảnh, trường hợp",Under no {{c1::circumstance}} should you give out your password.,"Sự kiện, điều kiện hoặc yếu tố ảnh hưởng đến một tình huống hoặc hành động.",A fact or condition connected with or relevant to an event or action.,"unforeseen circumstances, in the circumstances, financial circumstances","Syn: situation, condition | Ant: N/A",under no circumstances (dù trong bất kỳ hoàn cảnh nào cũng không),Tiền tố circum- (Xung quanh) + căn từ stare (đứng),Formal / Neutral - Thường dùng trong văn viết và pháp lý.
prepare,"<img src=""prepare.jpg"">",/prɪˈper/,[sound:prepare.mp3],chuẩn bị,They need to {{c1::prepare}} for the final exam.,"Làm cho ai đó hoặc thứ gì đó ở trạng thái sẵn sàng cho một sự kiện, công việc sắp diễn ra.",To make something or someone ready for use or consideration; to get ready.,"prepare for something, prepare a meal, fully prepared","Syn: ready, arrange, equip | Ant: neglect, ignore",prepare the ground (chuẩn bị trước nền tảng cho việc gì đó),Tiền tố 'pre-' (trước) + gốc Latinh 'parare' (làm cho sẵn sàng).,Neutral. Sử dụng rất phổ biến trong mọi hoạt động hàng ngày.
