English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
empathy,"<img src=""empathy.jpg"">",/ˈem.pə.θi/,[sound:empathy.mp3],sự thấu cảm,Listening without judgment is an essential way to show {{c1::empathy}}.,Khả năng đặt mình vào vị trí của người khác để hiểu và chia sẻ cảm xúc của họ.,The ability to understand and share the feelings of another person.,"demonstrate empathy, feel empathy, lacking empathy","Syn: understanding, compassion | Ant: apathy, insensitivity",put oneself in someone else's shoes,"Prefix: em- (trong, vào) + Root: pathy (cảm xúc)",Neutral / Academic - Thường dùng trong tâm lý học và đời sống tinh thần.
encouragement,"<img src=""encouragement.jpg"">",/ɪnˈkʌr.ɪdʒ.mənt/,[sound:encouragement.mp3],"sự khuyến khích, sự động viên","With continuous {{c1::encouragement}} from her mentor, she gained full confidence.","Lời nói hoặc hành động mang lại niềm tin, hy vọng và động lực cho người khác.","Words or actions that give someone support, confidence, or hope.","words of encouragement, give encouragement, receive encouragement","Syn: support, motivation, inspiration | Ant: discouragement, criticism",pat on the back,Prefix: en- (làm cho) + Root: courage (dũng khí) + Suffix: -ment (danh từ hóa),"Neutral - Ấm áp, mang tính tích cực trong cả giao tiếp hàng ngày và giáo dục."
energetic,"<img src=""energetic.jpg"">",/ˌen.əˈdʒet.ɪk/,[sound:energetic.mp3],"tràn đầy năng lượng, năng động",The kids were so {{c1::energetic}} that they played outside all afternoon.,"Có hoặc thể hiện rất nhiều năng lượng, sự nhiệt tình và hoạt động không biết mệt mỏi.",Having or showing a lot of energy and enthusiasm.,"highly energetic, energetic personality, energetic workout","Syn: lively, active, vibrant | Ant: lethargic, passive, tired",full of beans,Root: energy (năng lượng) + Suffix: -tic (tính từ hóa),"Neutral - Tích cực, miêu tả con người, hoạt động hoặc phong cách."
fame,"<img src=""fame.jpg"">",/feɪm/,[sound:fame.mp3],"sự nổi tiếng, danh vọng",He achieved international {{c1::fame}} after winning the championship.,Trạng thái được rất nhiều người biết đến nhờ thành tựu hoặc tài năng.,The state of being known or talked about by many people.,"hall of fame, rise to fame, shoot to fame","Syn: celebrity, renown, reputation | Ant: obscurity, anonymity",15 minutes of fame,"Root: fame (xuất phát từ tiếng Latin 'fama' - tin đồn, danh tiếng)","Neutral - Sử dụng rộng rãi trong đời sống, truyền thông và văn học."
frustration,"<img src=""frustration.jpg"">",/frʌsˈtreɪ.ʃən/,[sound:frustration.mp3],"sự thất vọng, sự bế tắc",I expressed my {{c1::frustration}} when the software crashed for the third time.,"Cảm giác khó chịu, nản lòng khi không đạt được mục tiêu hoặc gặp rào cản không thể vượt qua.",The feeling of being annoyed or dissatisfied as a result of being unable to change or achieve something.,"express frustration, level of frustration, sense of frustration","Syn: exasperation, dissatisfaction | Ant: satisfaction, fulfillment",tearing one's hair out,Root: frustrate (làm thất vọng) + Suffix: -ion (danh từ hóa),Neutral - Dùng phổ biến để mô tả trạng thái tâm lý bực bối.
impulse,"<img src=""impulse.jpg"">",/ˈɪm.pʌls/,[sound:impulse.mp3],"sự bốc đồng, sự đúc thúc tức thời",She bought the dress on {{c1::impulse}} without thinking about her budget.,"Sự thôi thúc đột ngột, mạnh mẽ muốn làm điều gì đó mà không suy tính kỹ lưỡng.",A sudden strong and unreflective urge or desire to act.,"on impulse, resist an impulse, sudden impulse","Syn: urge, instinct, inclination | Ant: deliberation, restraint",at the spur of the moment,"Prefix: im- (hướng vào) + Root: pulse (đẩy, đập)",Neutral - Thường dùng khi phân tích tâm lý hoặc hành vi tiêu dùng.
influence,"<img src=""influence.jpg"">",/ˈɪn.flu.əns/,[sound:influence.mp3],"ảnh hưởng, sự tác động",My parents had a major {{c1::influence}} on my career choice.,"Tác động của ai đó hoặc cái gì đó lên suy nghĩ, hành vi hoặc sự phát triển của người khác.","The capacity to have an effect on the character, development, or behavior of someone or something.","under the influence, exert influence, positive influence","Syn: impact, effect, sway | Ant: powerlessness, insignificance",have a say in,"Prefix: in- (vào trong) + Root: flu (chảy, dòng chảy - như 'flow')","Neutral - Dùng trong mọi bối cảnh đời sống, xã hội và công việc."
introvert,"<img src=""introvert.jpg"">",/ˈɪn.trə.vɜːt/,[sound:introvert.mp3],người hướng nội,"As an {{c1::introvert}}, he prefers quiet evenings at home over big parties.","Người có xu hướng khép kín, thích nạp năng lượng bằng cách ở một mình thay vì chỗ đông người.",A quiet person who more enjoys spending time alone than with other people.,"classic introvert, typical introvert, quiet introvert","Syn: loner, reserved person | Ant: extrovert",keep to oneself,"Prefix: intro- (vào trong) + Root: vert (xoay, hướng)",Neutral / Psychological - Từ vựng phổ thông lẫn thuật ngữ tâm lý học.
kindness,"<img src=""kindness.jpg"">",/ˈkaɪnd.nəs/,[sound:kindness.mp3],"lòng tốt, sự tử tế",A simple act of {{c1::kindness}} can brighten someone's entire day.,"Phẩm chất tốt đẹp, thể hiện qua sự thân thiện, rộng lượng và quan tâm đến người khác.","The quality of being friendly, generous, and considerate.","act of kindness, human kindness, show kindness","Syn: generosity, benevolence | Ant: cruelty, meanness",kill with kindness,Root: kind (tử tế) + Suffix: -ness (danh từ hóa phẩm chất),"Neutral - Ấm áp, tích cực và rất thông dụng."
meaningful,"<img src=""meaningful.jpg"">",/ˈmiː.nɪŋ.fəl/,[sound:meaningful.mp3],"có ý nghĩa, đầy ý nghĩa",They had a deeply {{c1::meaningful}} conversation about their future plans.,"Có tầm quan trọng, giá trị hoặc truyền tải thông điệp sâu sắc.","Serious, useful, or important; intended to express a clear message.","meaningful relationship, meaningful work, meaningful discussion","Syn: significant, purposeful | Ant: meaningless, trivial",speak volumes,"Root: mean (ý nghĩa) + Suffix: -ing + Suffix: -ful (đầy, giàu)","Neutral - Mang thái độ trân trọng, sâu sắc."
peaceful,"<img src=""peaceful.jpg"">",/ˈpiːs.fəl/,[sound:peaceful.mp3],"hoà bình, yên bình",We spent a {{c1::peaceful}} afternoon reading near the lake.,"Trạng thái yên tĩnh, tĩnh lặng, không có tiếng ồn, xung đột hay sự hỗn loạn.","Quiet and calm; free from war, violence, or disturbance.","peaceful mind, peaceful atmosphere, peaceful resolution","Syn: serene, tranquil, calm | Ant: violent, chaotic, noisy",at peace with oneself,Root: peace (hòa bình) + Suffix: -ful (đầy),"Neutral - Miêu tả cảm xúc, không gian hoặc các giải pháp hòa giải."
personality trait,"<img src=""personality.jpg"">",/ˌpɜː.sənˈæl.ə.ti treɪt/,[sound:personality.mp3],"nét tính cách, đặc điểm nhân cách",Optimism is a positive {{c1::personality trait}} that helps people overcome hardship.,Một khía cạnh hay đặc điểm riêng biệt hình thành nên tính cách ổn định của một cá nhân.,A quality or characteristic that belongs to a particular person's character.,"desirable personality trait, dominant personality trait, key personality trait","Syn: character feature, quality | Ant: N/A",part and parcel of someone's makeup,"Compound noun: personality (nhân cách) + trait (nét, đặc điểm)","Academic / Formal - Dùng trong nghiên cứu tâm lý, mô tả con người."
possibility,"<img src=""possibility.jpg"">",/ˌpɒs.əˈbɪl.ə.ti/,[sound:possibility.mp3],"khả năng, triển vọng",There is a real {{c1::possibility}} that rain will disrupt our outdoor picnic.,Cơ hội hoặc xác suất điều gì đó có thể xảy ra hoặc đúng sự thật.,A chance that something may happen or be true.,"distinct possibility, explore possibilities, rule out a possibility","Syn: likelihood, potential, prospect | Ant: impossibility",the sky's the limit,Root: possible (có thể) + Suffix: -ity (danh từ chỉ khả năng),Neutral - Sử dụng trong mọi tình huống suy đoán hoặc lập kế hoạch.
respectful,"<img src=""respectful.jpg"">",/rɪˈspekt.fəl/,[sound:respectful.mp3],"tôn trọng, kính cẩn",Students should maintain a {{c1::respectful}} attitude toward their teachers.,"Thể hiện sự lễ phép, quý trọng và coi trọng giá trị/ý kiến của người khác.",Feeling or showing deference and respect.,"respectful distance, respectful silence, respectful tone","Syn: polite, deferential, courteous | Ant: disrespectful, rude",treat with respect,Root: respect (tôn trọng) + Suffix: -ful (đầy),Neutral / Formal - Đánh giá chuẩn mực ứng xử xã hội.
self-discipline,"<img src=""self-discipline.jpg"">",/ˌselfˈdɪs.ə.plɪn/,[sound:self-discipline.mp3],"tính tự giác, tinh thần tự kỷ luật",Achieving long-term goals requires a high degree of {{c1::self-discipline}}.,"Khả năng tự kiểm soát suy nghĩ, cảm xúc và hành vi để làm điều đúng đắn mà không cần nhắc nhở.",The ability to control one's feelings and overcome one's weaknesses.,"require self-discipline, lack self-discipline, practice self-discipline","Syn: self-control, willpower | Ant: self-indulgence, indiscipline",keep oneself in check,Prefix: self- (bản thân) + Root: discipline (kỷ luật),"Neutral - Tích cực, miêu tả thói quen và phẩm chất cá nhân."
sensitive,"<img src=""sensitive.jpg"">",/ˈsen.sɪ.tɪv/,[sound:sensitive.mp3],"nhạy cảm, dễ bị tổn thương",He is very {{c1::sensitive}} to criticism and gets upset easily.,"Dễ bị ảnh hưởng bởi cảm xúc, nhận biết nhanh những thay đổi nhỏ, hoặc dễ tổn thương.","Quick to detect or respond to slight changes, signals, or influences; easily hurt.","highly sensitive, sensitive topic, sensitive skin","Syn: delicate, perceptive | Ant: insensitive, thick-skinned",touchy subject,Root: sense (cảm giác) + Suffix: -itive (tính từ hóa),Neutral - Cần chú ý bối cảnh (có thể là khen ngợi sự tinh tế hoặc chê trách dễ tự ái).
stable,"<img src=""stable.jpg"">",/ˈsteɪ.bəl/,[sound:stable.mp3],"ổn định, vững chắc","After weeks of medication, his health condition is now {{c1::stable}}.","Ở trạng thái cân bằng, không dễ bị thay đổi, suy sụp hay thất thường.","Firmly fixed; not likely to change, fail, or move.","stable condition, stable relationship, stable job","Syn: steady, secure, constant | Ant: unstable, volatile",on solid ground,Root: sta- (đứng vững - gốc Latin 'stare'),"Neutral - Phổ biến trong kinh tế, y tế và mối quan hệ cá nhân."
strength,"<img src=""strength.jpg"">",/streŋθ/,[sound:strength.mp3],"sức mạnh, điểm mạnh",Her greatest {{c1::strength}} is her ability to remain calm under pressure.,Sức mạnh thể chất; hoặc phẩm chất/kỹ năng nổi trội giúp ai đó thành công.,The quality or state of being physically or mentally strong.,"inner strength, build strength, key strength","Syn: power, force, asset | Ant: weakness, flaw",tower of strength,Root: strong (mạnh mẽ) + Suffix: -th (danh từ hóa),Neutral - Rất thông dụng trong phỏng vấn tuyển dụng và đánh giá cá nhân.
strengthen,"<img src=""strengthen.jpg"">",/ˈstreŋ.θən/,[sound:strengthen.mp3],"củng cố, làm cho mạnh thêm",Regular exercise will help to {{c1::strengthen}} your muscles and immunity.,"Làm cho ai đó/cái gì đó trở nên mạnh mẽ hơn, kiên cố hơn hoặc bền vững hơn.",To make or become stronger.,"strengthen bonds, strengthen position, strengthen muscles","Syn: reinforce, bolster, fortify | Ant: weaken, undermine",beef up,Root: strength (sức mạnh) + Suffix: -en (động từ hóa),"Neutral - Dùng nhiều trong thể thao, chính trị và quan hệ đối ngoại."
supportive,"<img src=""supportive.jpg"">",/səˈpɔː.tɪv/,[sound:supportive.mp3],"ủng hộ, sẵn sàng giúp đỡ",I am fortunate to have a very {{c1::supportive}} family during hard times.,"Sẵn lòng động viên, giúp đỡ và đứng về phía người khác khi họ cần.",Providing encouragement or emotional help.,"supportive environment, highly supportive, supportive colleague","Syn: encouraging, helpful, caring | Ant: unsupportive, critical",have someone's back,Root: support (ủng hộ) + Suffix: -ive (tính từ hóa),"Neutral - Tích cực, mang lại cảm giác tin cậy."
tendency,"<img src=""tendency.jpg"">",/ˈten.dən.si/,[sound:tendency.mp3],"xu hướng, khuynh hướng",He has a {{c1::tendency}} to exaggerate when he tells stories.,"Thói quen hoặc khả năng di chuyển, phát triển theo một hướng cụ thể, hoặc cách cư xử lặp đi lặp lại.",An inclination towards a particular characteristic or type of behaviour.,"have a tendency to, natural tendency, growing tendency","Syn: inclination, trend, propensity | Ant: aversion, disinclination",tend to (phrasal verb),Gốc động từ: tend (hướng về) + hậu tố: -ency (chỉ trạng thái hoặc xu hướng),Neutral / Academic - Dùng phổ biến trong cả giao tiếp hàng ngày lẫn văn viết học thuật.
tension,"<img src=""tension.jpg"">",/ˈten.ʃən/,[sound:tension.mp3],"sự căng thẳng, độ căng",There was a lot of {{c1::tension}} in the room before the exam results were announced.,"Trạng thái căng thẳng về tinh thần, cảm xúc, hoặc tình trạng bị kéo căng của một vật lý; cũng chỉ sự mâu thuẫn giữa các bên.","A feeling of nervousness, strain, or hostility between people or groups.","relieve tension, high tension, political tension","Syn: strain, stress, anxiety | Ant: relaxation, harmony, peace",ease the tension,Gốc Latin: tendere (kéo căng) + hậu tố: -ion (danh từ chỉ trạng thái/hành động),"Neutral - Dùng đa dạng trong tâm lý, mối quan hệ xã hội, chính trị cũng như vật lý."
thoughtful,"<img src=""thoughtful.jpg"">",/ˈθɔːt.fəl/,[sound:thoughtful.mp3],"chu đáo, quan tâm, trầm tư",Thank you for the birthday gift; it was very {{c1::thoughtful}} of you.,"Thể hiện sự quan tâm, ân cần đến nhu cầu và cảm xúc của người khác; hoặc có vẻ suy nghĩ sâu sắc, trầm tư.","Showing consideration for the needs of other people, or absorbed in thought.","thoughtful gesture, thoughtful consideration, look thoughtful","Syn: considerate, attentive, pensive | Ant: thoughtless, inconsiderate, selfish",lost in thought,"Danh từ: thought (suy nghĩ) + hậu tố: -ful (đầy, có đặc tính)","Neutral / Polite - Dùng khi khen ngợi thái độ lịch sự, tinh tế hoặc tả tâm trạng."
unavoidable,,/ˌʌn.əˈvɔɪ.də.bəl/,[sound:unavoidable.mp3],không thể tránh khỏi,"Due to {{c1::unavoidable}} circumstances, the outdoor concert was rescheduled.","Tính chất của sự việc chắc chắn sẽ xảy ra, không thể né tránh hay ngăn chặn được.",Not able to be avoided or prevented.,"unavoidable delay, unavoidable consequence, practically unavoidable","Syn: inevitable, inescapable, inexorable | Ant: avoidable, preventable",an unavoidable evil,Tiền tố: un- (không) + động từ: avoid (tránh) + hậu tố: -able (có thể),"Formal / Neutral - Thường xuất hiện trong văn bản công việc, báo cáo, thông báo chính thức."
value,"<img src=""value.jpg"">",/ˈvæl.juː/,[sound:value.mp3],"giá trị, coi trọng",I really {{c1::value}} your advice whenever I have to make a tough decision.,"Độ đáng giá về mặt tiền bạc/lợi ích của một vật; hoặc chuẩn mực đạo đức, tầm quan trọng/sự trân trọng dành cho ai/cái gì.","The regard that something is held to deserve; the importance, worth, or usefulness of something.","place high value on, moral values, value for money","Syn: worth, importance, appreciate | Ant: worthlessness, undervalue","at face value, value judgment","Gốc Latin: valere (có sức mạnh, có giá trị)","Neutral - Sử dụng linh hoạt trong đời sống, kinh tế, triết học và đạo đức."
wealth,"<img src=""wealth.jpg"">",/welθ/,[sound:wealth.mp3],"sự giàu có, của cải",Good health is far more precious than material {{c1::wealth}}.,"Sự sở hữu lượng lớn tiền bạc, tài sản hoặc nguồn lực; cũng dùng để chỉ sự phong phú dồi dào của một điều gì đó.",An abundance of valuable possessions or money.,"accumulate wealth, wealth of knowledge, redistribute wealth","Syn: riches, affluence, fortune | Ant: poverty, scarcity, penury",a wealth of experience,"Gốc tiếng Anh cổ: weal (sự thịnh vượng, hạnh phúc) + hậu tố danh từ: -th","Neutral / Formal - Thường dùng trong tài chính, xã hội học và văn viết trang trọng."
care about somebody,"<img src=""care.jpg"">",/keər əˈbaʊt ˈsʌm.bə.di/,[sound:care.mp3],quan tâm đến ai đó,She deeply {{c1::cares about}} her younger brother and always protects him.,"Cảm thấy ai đó quan trọng đối với mình, yêu thương và lo lắng cho sự an nguy, hạnh phúc của họ.",To feel affection for someone and be concerned about their safety or well-being.,"care deeply about, care about someone's feelings, truly care about","Syn: cherish, treasure, feel for | Ant: ignore, neglect, disregard",couldn't care less,"Động từ: care (lo lắng, quan tâm) + giới từ: about (về)",Informal / Neutral - Cực kỳ phổ biến trong giao tiếp thể hiện tình cảm cá nhân.
feel grateful for something,"<img src=""feel.jpg"">",/fiːl ˈɡreɪt.fəl fɔːr ˈsʌm.θɪŋ/,[sound:feel.mp3],cảm thấy biết ơn về điều gì,I {{c1::feel grateful for}} all the guidance my mentor provided during my career.,"Cảm nhận sự trân trọng và lòng biết ơn đối với một việc tốt, món quà hay sự hỗ trợ đã nhận được.",To feel or show an appreciation of kindness; thankful for a specific thing.,"feel deeply grateful for, feel grateful for the opportunity, feel grateful for support","Syn: feel thankful for, appreciate | Ant: ungrateful, unappreciative",count one's blessings,Động từ: feel + tính từ: grateful (biết ơn) + giới từ: for (cho/về),Neutral / Polite - Dùng khi bày tỏ lòng cảm ơn chân thành trong cả văn nói và viết.
interact with,,/ˌɪn.təˈrækt wɪð/,[sound:interactwith.mp3],tương tác với,The teacher encouraged all the students to {{c1::interact with}} one another during class.,"Giao tiếp, làm việc cùng hoặc tác động qua lại lẫn nhau giữa con người hoặc giữa các yếu tố.",To communicate or be involved with somebody; to act together or towards others.,"interact directly with, interact socially with, interact with customers","Syn: communicate with, engage with, connect with | Ant: isolate from, disconnect",rub shoulders with,"Tiền tố: inter- (giữa, qua lại) + động từ: act (hành động) + giới từ: with","Neutral / Academic - Dùng rộng rãi trong giáo dục, tâm lý, công nghệ và xã hội."
react with something,"<img src=""react.jpg"">",/riˈækt wɪð ˈsʌm.θɪŋ/,[sound:react.mp3],phản ứng với điều gì,"Sodium can violently {{c1::react with}} water, producing heat and gas.",Trong khoa học: tác dụng hóa học với một chất khác; Trong cảm xúc: đáp trả bằng một thái độ hay hành động cụ thể.,"To undergo a chemical reaction with a substance, or to respond using a particular emotion/action.","react with anger, react with alarm, react with chemical substances","Syn: respond with, behave towards | Ant: remain passive, ignore",knee-jerk reaction,Tiền tố: re- (lại) + động từ: act (hành động) + giới từ: with,Academic / Neutral - Thường dùng trong khoa học tự nhiên hoặc mô tả tâm lý con người.
respond to something,"<img src=""respond.jpg"">",/rɪˈspɒnd tuː ˈsʌm.θɪŋ/,[sound:respond.mp3],"phản hồi, đáp lại điều gì",The customer service team will {{c1::respond to}} your request within 24 hours.,"Trả lời tin nhắn/thư từ, hoặc đưa ra hành động đáp lại thích đáng trước một sự việc, câu hỏi hay phương pháp điều trị.","To say or write something as a reply, or to react favorably/affirmatively to something.","respond to treatment, respond to a request, respond to criticism","Syn: reply to, answer, react to | Ant: ignore, disregard",in response to,"Gốc Latin: respondere (đáp lại, hứa lại) + giới từ: to","Neutral / Formal - Dùng phổ biến trong văn phong công việc, y tế và đời sống."
succeed in,,/səkˈsiːd ɪn/,[sound:succeedin.mp3],thành công trong việc gì,"After months of practice, she finally {{c1::succeeded in}} passing her driving test.",Đạt được mục tiêu hoặc kết quả tốt đẹp mong muốn trong một công việc hay lĩnh vực cụ thể.,To achieve the desired aim or result in a particular activity.,"succeed in business, succeed in life, succeed in doing something","Syn: achieve, accomplish, manage to | Ant: fail in, botch",succeed against all odds,Gốc Latin: succedere (tiến triển tốt) gồm sub- (sau) + cedere (đi) + giới từ: in,Neutral / Formal - Rất phổ biến khi nói về thành tựu cá nhân hoặc tổ chức.
