English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
empathy,"<img src=""empathy.jpg"">",/ˈempəθi/,[sound:empathy.mp3],sự thấu cảm,A good doctor must possess not only medical skills but also deep {{c1::empathy}}.,"Khả năng đặt mình vào vị trí của người khác để thấu hiểu sâu sắc suy nghĩ và cảm nhận được nỗi đau, niềm vui của họ.",The ability to understand and share the feelings of another.,"show empathy, feel empathy, lack of empathy","Syn: understanding, compassion, warmth / Ant: apathy, coldness, insensitivity",walk in someone else's shoes,"Bắt nguồn từ tiếng Hy Lạp: tiền tố 'en-' (bên trong, tương ứng với em-) + 'pathos' (cảm xúc, đau khổ).","Neutral to Formal. Rất phổ biến trong đời sống, y tế, tâm lý học và kỹ năng mềm."
encouragement,"<img src=""encouragement.jpg"">",/ɪnˈkʌrɪdʒmənt/,[sound:encouragement.mp3],"sự khuyến khích, động viên","With the {{c1::encouragement}} of his teacher, he applied for the scholarship.","Hành động trao cho ai đó sự tự tin, động lực hoặc sự hỗ trợ để họ làm điều gì đó tốt đẹp.","The action of giving someone support, confidence, or hope.","offer encouragement, words of encouragement, give encouragement","Syn: support, inspiration, motivation / Ant: discouragement, criticism",give a pat on the back,Tiền tố 'en-' (làm cho) + danh từ 'courage' (lòng dũng cảm) + hậu tố danh từ '-ment'.,"Neutral. Thường mang ý nghĩa tích cực, dùng trong đời sống hàng ngày, giáo dục và môi trường làm việc."
energetic,"<img src=""energetic.jpg"">",/ˌenəˈdʒetɪk/,[sound:energetic.mp3],"năng động, đầy năng lượng",She gave an {{c1::energetic}} performance that captivated the entire audience.,"Mô tả một người hoặc một hành động tràn đầy năng lượng, sức sống và sự năng nổ.",Showing or involving great activity or vitality.,"energetic person, energetic performance, energetic approach","Syn: active, dynamic, vigorous / Ant: lethargic, passive, tired",full of beans,Danh từ 'energy' (năng lượng) + hậu tố tính từ '-etic' (mang đặc điểm của).,Neutral. Dùng để khen ngợi hoặc mô tả tính cách tích cực trong cuộc sống và công việc.
fame,"<img src=""fame.jpg"">",/feɪm/,[sound:fame.mp3],"sự nổi tiếng, danh tiếng",He achieved global {{c1::fame}} after starring in the hit movie.,"Trạng thái được nhiều người biết đến, ngưỡng mộ hoặc nhắc đến rộng rãi, thường do tài năng hoặc thành tựu đặc biệt.","The state of being known or talked about by many people, especially on account of notable achievements.","achieve fame, rise to fame, hall of fame","Syn: reputation, prominence, renown / Ant: obscurity, infamy",claim to fame,"Bắt nguồn từ gốc Latin 'fama' (tin đồn, danh tiếng, báo cáo).","Neutral. Thường dùng trong lĩnh vực giải trí, truyền thông và đời sống xã hội."
frustration,"<img src=""frustration.jpg"">",/frʌˈstreɪʃən/,[sound:frustration.mp3],"sự nản lòng, thất vọng",He banged his fist on the desk in {{c1::frustration}} when the computer crashed again.,"Cảm giác bực bội, bất lực và khó chịu khi một kế hoạch bị cản trở hoặc khi không thể đạt được điều mình muốn.","The feeling of being upset or annoyed, especially because of inability to change or achieve something.","express frustration, deep frustration, source of frustration","Syn: annoyance, irritation, disappointment / Ant: satisfaction, contentment",vent one's frustration,"Động từ 'frustrate' + hậu tố danh từ trạng thái '-tion'. Có gốc Latin 'frustra' nghĩa là vô ích, không có kết quả.",Neutral. Mô tả cảm xúc tiêu cực phổ biến trong cuộc sống và môi trường làm việc.
impulse,"<img src=""impulse.jpg"">",/ˈɪmpʌls/,[sound:impulse.mp3],"sự bộc phát, bốc đồng","She bought the dress on {{c1::impulse}}, even though she didn't really need it.","Sự thúc đẩy đột ngột, mạnh mẽ khiến ta hành động ngay lập tức mà không cần suy nghĩ kỹ lưỡng hay lên kế hoạch.",A sudden strong and unreflective urge or desire to act.,"on impulse, resist an impulse, sudden impulse","Syn: urge, whim, instinct / Ant: deliberation, premeditation",impulse buying,Từ tiền tố Latin 'in-' (vào trong) + gốc 'pellere' (đẩy). Nghĩa đen là lực đẩy từ bên trong.,Neutral. Thường dùng trong phân tích tâm lý học hành vi hoặc mô tả các hành động bột phát hàng ngày.
influence,"<img src=""influence.jpg"">",/ˈɪnfluəns/,[sound:influence.mp3],"sự ảnh hưởng, tác động",Her parents had a major {{c1::influence}} on her career choice.,"Khả năng tác động và làm thay đổi suy nghĩ, hành vi hoặc sự phát triển của ai đó hoặc cái gì đó.","The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself.","have an influence on, under the influence, positive influence","Syn: impact, effect, sway / Ant: powerlessness, impotence",under the influence (thường chỉ say rượu),Từ tiền tố Latin 'in-' (vào trong) + gốc 'fluere' (chảy). Nghĩa cổ là một dòng chảy lực lượng vô hình tác động vào con người.,"Neutral. Sử dụng vô cùng rộng rãi trong mọi ngữ cảnh đời sống, khoa học, chính trị."
introvert,"<img src=""introvert.jpg"">",/ˈɪntrəvɜːt/,[sound:introvert.mp3],người hướng nội,"As an {{c1::introvert}}, he prefers a quiet evening at home over a crowded party.","Người có xu hướng khép kín, thích dành thời gian một mình hoặc trong các nhóm nhỏ để nạp năng lượng thay vì giao thiệp ồn ào.",A person who is energized by spending time alone and may find large social gatherings draining.,"typical introvert, naturally introvert","Syn: quiet person, loner / Ant: extrovert",keep to oneself,Từ tiền tố Latin 'intro-' (vào trong) + gốc 'vertere' (quay). Nghĩa đen là quay vào bên trong.,Neutral. Sử dụng phổ biến trong các chủ đề tâm lý học tính cách và giao tiếp hàng ngày.
kindness,"<img src=""kindness.jpg"">",/ˈkaɪndnəs/,[sound:kindness.mp3],"lòng tốt, sự tử tế",He thanked her for her {{c1::kindness}} during his difficult recovery.,"Phẩm chất tốt bụng, chu đáo, thân thiện, bao dung và luôn sẵn lòng giúp đỡ người khác.","The quality of being friendly, generous, and considerate.","act of kindness, treat with kindness, loving kindness","Syn: generosity, benevolence, goodwill / Ant: cruelty, malice, harshness",kill with kindness,"Tính từ 'kind' (tốt bụng, tử tế) + hậu tố danh từ hóa '-ness' (chỉ tính chất, trạng thái).","Neutral. Mang sắc thái tích cực, ấm áp, dùng nhiều trong giao tiếp hàng ngày và giáo dục nhân cách."
meaningful,"<img src=""meaningful.jpg"">",/ˈmiːnɪŋfʊl/,[sound:meaningful.mp3],"đầy ý nghĩa, sâu sắc",Volunteering gave her a chance to do {{c1::meaningful}} work for the community.,"Có giá trị, có tầm quan trọng, chứa đựng mục đích rõ ràng hoặc đem lại tác động tích cực thực sự.","Having a serious, important, or useful quality or purpose; full of meaning.","meaningful relationship, meaningful conversation, meaningful contribution","Syn: significant, important, purposeful / Ant: meaningless, insignificant, trivial",N/A,"Danh từ 'meaning' (ý nghĩa) + hậu tố tính từ '-ful' (đầy rẫy, có nhiều).","Neutral. Phổ biến trong văn nói lẫn văn nghị luận về giá trị cuộc sống, công việc và các mối quan hệ."
peaceful,"<img src=""peaceful.jpg"">",/ˈpiːsfʊl/,[sound:peaceful.mp3],"yên bình, hòa bình",The countryside is so {{c1::peaceful}} compared to the noisy city.,"Yên tĩnh, tĩnh lặng, không có tiếng ồn ào hoặc sự bạo lực, mang lại cảm giác dễ chịu, thư giãn.","Free from disturbance; tranquil, calm, and quiet.","peaceful atmosphere, peaceful protest, peaceful solution","Syn: calm, tranquil, serene / Ant: noisy, chaotic, violent",peace of mind,"Danh từ 'peace' (hòa bình, sự yên tĩnh) + hậu tố tính từ '-ful'.","Neutral. Dùng cho cả không gian vật lý (làng quê), trạng thái tinh thần (tâm trí) hay bối cảnh chính trị (phản kháng hòa bình)."
personality trait,"<img src=""personality.jpg"">",/ˌpɜːsəˈnælɪti treɪt/,[sound:personality.mp3],nét tính cách,Honesty is a highly valued {{c1::personality trait}} in any professional relationship.,"Một đặc điểm, thói quen hoặc thuộc tính tương đối bền vững trong hành vi, suy nghĩ và cảm xúc tạo nên tính cách đặc trưng của một người.",A prominent aspect of a person's character that is relatively stable over time and across situations.,"positive personality trait, define a personality trait, unique personality trait","Syn: character trait, personal characteristic",N/A,"Cụm danh từ ghép từ 'personality' (tính cách, từ gốc 'persona' nghĩa là mặt nạ) và 'trait' (đặc điểm, từ gốc tiếng Pháp nghĩa là nét vẽ).","Neutral to Academic. Thường xuất hiện trong nghiên cứu tâm lý học hành vi, tuyển dụng nhân sự và phát triển bản thân."
possibility,"<img src=""possibility.jpg"">",/ˌpɒsəˈbɪləti/,[sound:possibility.mp3],"khả năng xảy ra, triển vọng","There is a strong {{c1::possibility}} of rain later this afternoon, so take an umbrella.","Khả năng một sự việc hoặc tình huống nào đó có thể xảy ra, tồn tại, hoặc một phương án có thể lựa chọn.",A thing that may happen or be the case; likelihood; opportunity.,"distinct possibility, explore possibilities, remote possibility","Syn: chance, likelihood, probability / Ant: impossibility",open up possibilities,"Tính từ 'possible' + hậu tố danh từ '-ity' (chỉ khả năng, trạng thái).","Neutral. Sử dụng rất đa dạng để nói về cơ hội, dự báo, kế hoạch tương lai."
respectful,"<img src=""respectful.jpg"">",/rɪˈspektfʊl/,[sound:respectful.mp3],"tôn trọng, kính trọng",He maintained a {{c1::respectful}} silence while the speaker was talking.,"Thể hiện sự lễ phép, lịch sự và thái độ coi trọng đối với người khác hoặc ý kiến của họ.","Feeling or showing deference, polite behavior, and respect.","respectful distance, respectful attitude, respectful silence","Syn: polite, deferential, courteous / Ant: disrespectful, rude, insolent",with all due respect,"Danh từ/động từ 'respect' (tôn trọng, gốc Latin 'respicere' - nhìn lại) + hậu tố tính từ '-ful'.","Neutral to Formal. Thường dùng trong các mối quan hệ xã hội, nhà trường, nơi làm việc đòi hỏi quy chuẩn ứng xử cao."
self-discipline,"<img src=""self-discipline.jpg"">",/ˌselfˈdɪs.ə.plɪn/,[sound:self-discipline.mp3],"tự kỷ luật, tính tự giác",It takes a lot of {{c1::self-discipline}} to study every day without being told.,"Khả năng tự kiểm soát bản thân, hành vi, cảm xúc và thói quen để hoàn thành mục tiêu đề ra mà không cần người khác nhắc nhở hay giám sát.","The ability to make yourself do things that should be done, even when you do not want to do them.","strict self-discipline, lack of self-discipline, develop/cultivate self-discipline","Syn: self-control, willpower, restraint; Ant: self-indulgence, indiscipline, wildness","pull yourself together, keep yourself in check","Prefix: self- (tự bản thân) + Root: discipline (kỷ luật, rèn luyện)","Neutral đến Formal. Thường dùng trong các bài viết/nói về phát triển bản thân, giáo dục, kỹ năng sống và công việc chuyên nghiệp."
sensitive,"<img src=""sensitive.jpg"">",/ˈsensətɪv/,[sound:sensitive.mp3],"nhạy cảm, dễ xúc động",She is highly {{c1::sensitive}} to criticism and easily gets upset.,"Dễ cảm nhận sâu sắc, dễ bị tác động bởi các thay đổi nhỏ xung quanh hoặc dễ bị tổn thương tinh thần bởi người khác.","Quick to detect or respond to slight changes, signals, or influences; easily hurt or offended.","highly sensitive, sensitive skin, sensitive issue","Syn: delicate, emotional, perceptive / Ant: insensitive, thick-skinned, indifferent",a sore point/subject,"Từ gốc Latin 'sentire' (cảm nhận) + hậu tố tính từ '-itive' (chỉ tính chất dễ kích ứng, dễ cảm nhận).","Neutral. Được dùng để nói về tính cách, các phản ứng vật lý (da nhạy cảm) hoặc tính chất thông tin (tài liệu mật)."
stable,"<img src=""stable.jpg"">",/ˈsteɪbəl/,[sound:stable.mp3],"ổn định, vững vàng","After days of treatment, the patient's condition is finally {{c1::stable}}.","Không dễ bị thay đổi, đổ vỡ hay suy yếu; giữ vững trạng thái cân bằng và an toàn lâu dài.","Not likely to change, fail, or go wrong; firmly established and secure.","stable relationship, stable environment, stable condition","Syn: steady, firm, constant / Ant: unstable, volatile, shaky",lock the stable door after the horse has bolted,"Bắt nguồn từ gốc Latin 'stabilis' (đứng vững, chắc chắn, cố định).","Neutral. Được dùng rộng rãi trong y học, kinh tế học, tâm lý học và đời sống hàng ngày."
strength,"<img src=""strength.jpg"">",/streŋθ/,[sound:strength.mp3],"sức mạnh, điểm mạnh",She found the {{c1::strength}} to move on after her business failed.,Sức lực thể chất hoặc nghị lực tinh thần giúp vượt qua khó khăn; ngoài ra còn chỉ thế mạnh vượt trội của cá nhân/tổ chức.,The quality or state of being physically strong; mental power; a beneficial quality or attribute.,"build strength, inner strength, key strength","Syn: power, force, fortitude, asset / Ant: weakness, frailty, flaw",tower of strength,Bắt nguồn từ tính từ 'strong' + hậu tố danh từ hóa '-th' (chỉ chất lượng hoặc trạng thái).,Neutral. Thích hợp dùng cho cả sức mạnh cơ bắp lẫn ý chí quyết tâm hay lợi thế cạnh tranh.
strengthen,"<img src=""strengthen.jpg"">",/ˈstreŋθən/,[sound:strengthen.mp3],"làm mạnh thêm, củng cố",Regular exercise helps to {{c1::strengthen}} your heart muscles.,"Hành động làm cho cái gì đó trở nên kiên cố, bền vững hơn hoặc nâng cao sức lực tinh thần/thể chất.",Make or become stronger.,"strengthen ties, strengthen position, strengthen muscles","Syn: reinforce, fortify, consolidate / Ant: weaken, undermine, impair",gird your loins,Danh từ 'strength' + hậu tố động từ hóa '-en' (làm cho... có tính chất đó).,"Neutral. Được dùng trong cả y học (cơ bắp), xã hội học (quan hệ song phương) hay xây dựng cơ sở hạ tầng."
supportive,"<img src=""supportive.jpg"">",/səˈpɔːtɪv/,[sound:supportive.mp3],"luôn ủng hộ, sẵn lòng giúp đỡ",My family was extremely {{c1::supportive}} when I decided to start my own business.,"Thể hiện thái độ luôn đứng sau hỗ trợ, cổ vũ và động viên (đặc biệt là về mặt tinh thần hoặc vật chất) đối với ai đó.",Providing encouragement or emotional help.,"supportive environment, supportive family, highly supportive","Syn: encouraging, helpful, caring / Ant: unsupportive, critical, hostile",stand by someone,"Động từ 'support' (gốc Latin 'sub-' dưới + 'portare' mang vác, nghĩa đen là đỡ từ phía dưới) + hậu tố tính từ '-ive'.","Neutral. Mang sắc thái tích cực, cực kỳ phổ biến trong bối cảnh gia đình, bạn bè và quan hệ đồng nghiệp."
tendency,"<img src=""tendency.jpg"">",/ˈtendənsi/,[sound:tendency.mp3],"xu hướng, khuynh hướng",He has a {{c1::tendency}} to overreact when he is under stress.,"Sự nghiêng về hoặc khả năng cao sẽ cư xử, suy nghĩ, hành động theo một cách cụ thể nào đó.",An inclination toward a particular characteristic or type of behavior.,"have a tendency, natural tendency, growing tendency","Syn: inclination, trend, propensity / Ant: aversion, disinclination",lean towards,"Động từ 'tend' (nghiêng về, gốc Latin 'tendere' - kéo căng, hướng về) + hậu tố danh từ '-ency'.","Neutral. Thường dùng để chỉ thói quen tự nhiên của con người hoặc các xu hướng biến động kinh tế, xã hội."
tension,"<img src=""tension.jpg"">",/ˈtenʃən/,[sound:tension.mp3],"sự căng thẳng, độ căng",There was visible {{c1::tension}} between the two rival political leaders.,"Trạng thái mệt mỏi, lo âu về mặt tinh thần; sự căng thẳng, xung đột ngầm giữa hai phía; hoặc độ căng vật lý của một vật thể.",The state of being stretched tight; mental or emotional strain; relationship strain.,"relieve tension, ease tension, build tension","Syn: strain, stress, friction / Ant: relaxation, harmony, peace",cut the tension with a knife,"Bắt nguồn từ gốc Latin 'tendere' (kéo căng) + hậu tố chỉ hành động, trạng thái '-sion'.","Neutral. Áp dụng phong phú trong y tế, tâm lý học, ngoại giao quốc tế và kỹ thuật cơ khí."
thoughtful,"<img src=""thoughtful.jpg"">",/ˈθɔːtfʊl/,[sound:thoughtful.mp3],"chu đáo, trầm ngâm",It was very {{c1::thoughtful}} of you to send me a thank-you note.,"Luôn quan tâm, tinh tế, nghĩ đến cảm nhận và nhu cầu của người khác; hoặc chỉ trạng thái đang trầm tư suy nghĩ sâu sắc.",Showing consideration for the needs of other people; absorbed in thought.,"thoughtful gesture, thoughtful person, thoughtful look","Syn: considerate, caring, reflective, meditative / Ant: thoughtless, inconsiderate, selfish",lost in thought,"Danh từ 'thought' (suy nghĩ) + hậu tố tính từ '-ful' (đầy rẫy, có nhiều).","Neutral. Mang sắc thái khen ngợi nhẹ nhàng, tích cực, dùng nhiều khi muốn bày tỏ lòng biết ơn sự quan tâm của ai đó."
unavoidable,,/ˌʌn.əˈvɔɪ.də.bəl/,[sound:unavoidable.mp3],không thể tránh khỏi,"Due to severe weather conditions, a delay in the flight schedule was {{c1::unavoidable}}.",Tính từ miêu tả sự việc chắc chắn sẽ xảy ra và không thể ngăn chặn hay né tránh được.,Impossible to avoid or prevent from happening.,"unavoidable delay, unavoidable consequence, virtually unavoidable","Syn: inevitable, inescapable; Ant: avoidable, preventable",a necessary evil,un- (tiền tố phủ định: không) + avoid (động từ: né tránh) + -able (hậu tố tính từ: có thể),"Neutral/Formal: Thường dùng trong văn viết, báo chí và ngữ cảnh học thuật/công việc."
value,"<img src=""value.jpg"">",/ˈvæl.juː/,[sound:value.mp3],"giá trị, coi trọng",I highly {{c1::value}} your advice whenever I face difficult decisions.,"Vừa là danh từ (giá trị, chuẩn mực đạo đức), vừa là động từ (đánh giá cao, coi trọng ai/cái gì).","The importance, worth, or usefulness of something; or to consider something to be important.","high value, value for money, cultural values","Syn: worth, merit, appreciate; Ant: worthlessness, undervalue","at face value, set a high value on","Gốc từ tiếng Pháp cổ 'valoir' (có giá trị), nguồn gốc từ tiếng Latin 'valere' (mạnh mẽ, có giá trị).",Neutral: Sử dụng rộng rãi trong cả văn nói hàng ngày lẫn văn bản chính thức.
wealth,"<img src=""wealth.jpg"">",/welθ/,[sound:wealth.mp3],"sự giàu có, của cải",He accumulated great {{c1::wealth}} through successful investments in real estate.,"Danh từ chỉ số lượng lớn tiền bạc, tài sản hoặc sự phong phú, dồi dào về một nguồn lực nào đó.","An abundance of valuable possessions, money, or resources.","accumulate wealth, wealth of knowledge, distribution of wealth","Syn: riches, affluence, fortune; Ant: poverty, scarcity","a wealth of experience, health is wealth","Gốc từ tiếng Anh cổ 'weal' (sự thịnh vượng, hạnh phúc) kết hợp với hậu tố danh từ '-th'.","Neutral/Formal: Thường dùng trong các chủ đề kinh tế, tài chính và văn chương."
care about somebody,"<img src=""care.jpg"">",/keər əˈbaʊt ˈsʌm.bə.di/,[sound:care.mp3],quan tâm đến ai,True friends will always {{c1::care about somebody}} when that person goes through tough times.,"Cụm động từ thể hiện tình cảm, sự lo lắng, quan tâm chân thành đến sức khỏe, hạnh phúc hoặc cảm xúc của ai đó.",To feel affection for someone and be concerned about their well-being.,"deeply care about somebody, genuinely care about somebody, care about somebody's feelings","Syn: mind somebody, feel for somebody, look out for somebody; Ant: ignore somebody, neglect somebody",care for somebody,care (động từ: quan tâm) + about (giới từ: về) + somebody (đại từ: ai đó),Informal/Neutral: Được dùng rất phổ biến trong giao tiếp hàng ngày và văn viết thân mật.
feel grateful for something,"<img src=""feel.jpg"">",/fiːl ˈɡreɪt.fəl fɔːr ˈsʌm.θɪŋ/,[sound:feel.mp3],cảm thấy biết ơn về cái gì,"Every morning, I {{c1::feel grateful for}} having a loving family and good health.","Cụm từ diễn tả cảm xúc trân trọng, biết ơn đối với những điều tốt đẹp hoặc sự giúp đỡ mà mình nhận được.",To feel thankful or appreciative because of something good that has happened or been given.,"feel deeply grateful for something, feel extremely grateful for something, feel grateful for the opportunity","Syn: feel thankful for, appreciate; Ant: feel ungrateful for, take something for granted",count one's blessings,"feel (động từ: cảm thấy) + grateful (tính từ: biết ơn, từ gốc 'grate' nghĩa là dễ chịu) + for (giới từ)","Neutral/Formal: Dùng trong cả đời sống hàng ngày, thư cảm ơn lẫn các diễn văn trang trọng."
interact with,,/ˌɪn.tərˈækt wɪð/,[sound:interactwith.mp3],tương tác với,Teachers should encourage students to {{c1::interact with}} each other during group discussions.,"Cụm động từ chỉ hành động giao tiếp, trao đổi hoặc tác động qua lại với ai đó hoặc cái gì đó.",To communicate with or react to someone or something.,"interact with peers, interact with customers, interact with nature","Syn: communicate with, engage with, connect with; Ant: isolate from, ignore",N/A,"inter- (tiền tố: giữa, qua lại) + act (động từ: hành động) + with (giới từ)","Neutral: Phổ biến trong môi trường giáo dục, công việc và nghiên cứu xã hội."
react with something,"<img src=""react.jpg"">",/riˈækt wɪð ˈsʌm.θɪŋ/,[sound:react.mp3],phản ứng với cái gì,Pure sodium can dangerously {{c1::react with}} water to produce hydrogen gas.,Cụm động từ thường dùng trong hóa học (chất này tác dụng với chất khác) hoặc tâm lý (phản ứng lại trước sự việc/hoàn cảnh).,"To act in response to a substance or stimulus, causing a chemical or physical change.","react with oxygen, react with acid, react violently with something","Syn: respond to, interact with; Ant: remain inert, remain passive",N/A,"re- (tiền tố: đáp lại, lặp lại) + act (động từ: hành động) + with (giới từ)","Neutral/Academic: Rất phổ biến trong khoa học, hóa học và mô tả kỹ thuật."
