English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
rules,"<img src=""rules.jpg"">",/ruːlz/,[sound:rules.mp3],"quy tắc, luật lệ",All players must follow the official {{c1::rules}} of the game.,Các chỉ dẫn hoặc quy định chính thức cho biết những gì được phép hoặc không được phép làm.,Instructions or principles describing what is allowed or forbidden.,"follow the rules, break the rules, strict rules","Syn: regulations, laws, guidelines | Ant: chaos, disorder","bend the rules, rule of thumb",rule (quy tắc) + -s (số nhiều),"Neutral - Sử dụng phổ biến trong đời sống, thể thao, trường học và luật pháp."
invading,"<img src=""invading.jpg"">",/ɪnˈveɪd.ɪŋ/,[sound:invading.mp3],"xâm lược, xâm phạm",Stop {{c1::invading}} my personal space while I am working.,"Hành động tiến vào địa bàn khác bằng vũ lực, hoặc xâm phạm quyền riêng tư/không gian cá nhân của người khác.",Entering a place by force or intruding upon someone's privacy or space.,"invade privacy, invading army, invade space","Syn: intruding, encroaching, attacking | Ant: retreating, respecting",invade someone's privacy,in- (tiền tố: vào trong) + vadere (gốc Latin: đi) + -ing (dạng tiếp diễn),Neutral / Negative - Thường mang sắc thái gây phiền phức hoặc đe doạ.
enforced,"<img src=""enforced.jpg"">",/ɪnˈfɔːst/,[sound:enforced.mp3],"được thực thi, bị bắt buộc",The new traffic laws will be strictly {{c1::enforced}} starting next month.,"Được bắt buộc tuân thủ (luật lệ, quy định) hoặc bị áp đặt do hoàn cảnh ép buộc.","Caused to happen by necessity or force, or compelled compliance with a law.","strictly enforced, enforced compliance, enforced absence","Syn: imposed, executed, mandated | Ant: relaxed, waived",N/A,en- (tiền tố: làm cho) + force (sức mạnh/lực lượng) + -ed (tính từ/quá khứ phân từ),"Formal / Legal - Dùng phổ biến trong văn bản pháp luật, chính sách."
essential,"<img src=""essential.jpg"">",/ɪˈsen.ʃəl/,[sound:essential.mp3],"thiết yếu, cốt yếu",Good communication skills are {{c1::essential}} for effective leadership.,"Hoàn toàn cần thiết, không thể thiếu cho một mục đích hay hoàn cảnh cụ thể.",Absolutely necessary; extremely important.,"essential part, play an essential role, essential element","Syn: crucial, vital, indispensable | Ant: optional, unnecessary",in essence,"essence (bản chất, cốt lõi) + -ial (hậu tố tính từ)",Neutral / Formal - Dùng trong cả đời sống hàng ngày và văn phong công việc.
flexibility,"<img src=""flexibility.jpg"">",/ˌflek.səˈbɪl.ə.ti/,[sound:flexibility.mp3],"sự linh hoạt, độ dẻo",Remote work offers employees greater {{c1::flexibility}} in managing their schedule.,"Khả năng thay đổi, thích ứng dễ dàng với các tình huống mới hoặc độ dẻo dai của cơ thể.",The quality of bending easily or the ability to adapt to new situations.,"offer flexibility, financial flexibility, physical flexibility","Syn: adaptability, elasticity, versatility | Ant: rigidity, inflexibility",N/A,flexible (linh hoạt) + -ity (hậu tố danh từ chỉ trạng thái),"Neutral / Professional - Dùng nhiều trong môi trường công sở, thể thao."
appealing,"<img src=""appealing.jpg"">",/əˈpiː.lɪŋ/,[sound:appealing.mp3],"lôi cuốn, hấp dẫn",The idea of working four days a week sounds very {{c1::appealing}} to most staff.,"Có đặc điểm làm cho ai đó thấy thích thú, lôi cuốn hoặc muốn có được.",Attractive or interesting.,"visually appealing, sound appealing, appealing proposal","Syn: attractive, enticing, charming | Ant: unappealing, repulsive",appeal to someone,appeal (hấp dẫn/thu hút) + -ing (hậu tố tính từ),"Neutral - Dùng tự nhiên khi miêu tả cảm nhận, vẻ đẹp hoặc đề xuất."
clash,"<img src=""clash.jpg"">",/klæʃ/,[sound:clash.mp3],"sự xung đột, va chạm",A sudden {{c1::clash}} of personalities made it hard for them to work together.,"Sự bất đồng gay gắt giữa quan điểm, tính cách hoặc sự trùng lặp không mong muốn về lịch trình.","A violent confrontation, argument, or incompatibility between things/opinions.","clash of personalities, schedule clash, clash with someone","Syn: conflict, confrontation, collision | Ant: harmony, agreement",clash of cultures,Từ tượng thanh (onomatopoeia) mô tả tiếng va chạm mạnh.,"Neutral - Dùng trong tin tức, đời sống cá nhân và quản lý lịch trình."
curfew,"<img src=""curfew.jpg"">",/ˈkɜː.fjuː/,[sound:curfew.mp3],Giờ giới nghiêm,My parents set a strict 10 PM {{c1::curfew}} on weekends.,Quy định yêu cầu mọi người phải ở trong nhà sau một thời gian cụ thể (áp dụng trong gia đình hoặc lệnh khẩn cấp của chính phủ).,A rule that everyone must stay in their houses after a particular time at night.,"set a curfew, break curfew, strict curfew","Syn: lockdown, restriction / Ant: N/A",under curfew (trong thời gian giới nghiêm),"Từ tiếng Pháp cổ 'couvre-feu' (che lửa), thời trung cổ quy định phải dập tắt lửa vào buổi tối để tránh hỏa hoạn.","Neutral (Sử dụng trong gia đình khi nói về quản lý con cái, hoặc trong chính trị/quân sự khi nói về an ninh quốc gia)."
progressive,"<img src=""progressive.jpg"">",/prəˈɡres.ɪv/,[sound:progressive.mp3],"tiến bộ, đổi mới",The city is famous for its {{c1::progressive}} policies on environmental conservation.,"Ủng hộ các ý tưởng, phương pháp mới hoặc sự cải cách xã hội hướng tới tương lai.","Favoring or advocating progress, reform, or new ideas.","progressive ideas, progressive policy, progressive thinking","Syn: forward-thinking, innovative, liberal | Ant: conservative, regressive",N/A,pro- (tiền tố: tiến tới) + gress (ngữ căn: đi) + -ive (hậu tố tính từ),"Neutral / Political - Thường dùng trong thảo luận chính trị, tư tưởng và giáo dục."
rural,"<img src=""rural.jpg"">",/ˈrʊə.rəl/,[sound:rural.mp3],thuộc nông thôn,Living in a {{c1::rural}} area provides a peace and quiet that cities lack.,"Thuộc về hoặc liên quan đến vùng quê, nông thôn thay vì thành thị.","In, relating to, or characteristic of the countryside rather than the town.","rural area, rural development, rural community","Syn: countryside, rustic, pastoral | Ant: urban, metropolitan",N/A,Gốc Latin 'ruralis' (thuộc về đồng quê),"Neutral / Academic - Thường dùng trong địa lý, xã hội học và miêu tả đời sống."
area,"<img src=""area.jpg"">",/ˈeə.ri.ə/,[sound:area.mp3],"khu vực, lĩnh vực",Smoking is strictly prohibited in this {{c1::area}}.,"Một vùng không gian địa lý xác định, hoặc một phạm vi chủ đề, lĩnh vực chuyên môn.","A region or part of a town, a country, or the world; a subject or field of study.","residential area, area of expertise, surface area","Syn: region, zone, field, sector | Ant: N/A",gray area,"Gốc Latin 'area' (khoảng đất trống, vùng đất)",Neutral - Từ vựng căn bản sử dụng linh hoạt trong mọi bối cảnh.
develop,"<img src=""develop.jpg"">",/dɪˈvel.əp/,[sound:develop.mp3],"phát triển, mở rộng",The government aims to {{c1::develop}} new infrastructure in remote regions.,"Làm cho một thứ gì đó tăng trưởng, lớn mạnh hơn, hoặc sáng tạo/tạo ra sản phẩm mới.","To grow or cause to grow and become more mature, advanced, or elaborate.","develop skills, develop a strategy, develop software","Syn: expand, advance, cultivate | Ant: decline, deteriorate",N/A,"Gốc tiếng Pháp cổ 'desvoloper' (gỡ bỏ lớp bọc, mở ra)","Neutral - Dùng phổ biến trong công nghệ, kinh tế và phát triển cá nhân."
assessment,"<img src=""assessment.jpg"">",/əˈses.mənt/,[sound:assessment.mp3],"sự đánh giá, mức định giá",The teacher carried out a quick {{c1::assessment}} of the students' writing skills.,"Quá trình xem xét, phân tích kỹ lưỡng để đưa ra ý kiến, nhận xét hoặc định giá.","The evaluation or estimation of the nature, quality, or ability of someone or something.","risk assessment, make an assessment, continuous assessment","Syn: evaluation, appraisal, judgment | Ant: guess, speculation",N/A,assess (đánh giá) + -ment (hậu tố danh từ),"Formal / Academic - Thường dùng trong giáo dục, kinh doanh và quản lý rủi ro."
adversity,"<img src=""adversity.jpg"">",/ədˈvɜː.sə.ti/,[sound:adversity.mp3],"Nghịch cảnh, khó khăn thử thách",She showed great courage in the face of {{c1::adversity}}.,"Tình huống khó khăn, bất lợi hoặc tai họa lớn kéo dài mà một người phải đối mặt.",A difficult or unlucky situation or event.,"face adversity, overcome adversity, economic adversity","Syn: hardship, misfortune, trial / Ant: prosperity, good fortune",adversity makes a man wise (gian nan rèn luyện ý chí),"Từ 'adverse' (bất lợi, đối nghịch) + hậu tố danh từ chỉ trạng thái '-sity'. Gốc Latin 'advertere' (quay mặt lại chống đối).","Formal (Thường dùng trong các bài diễn thuyết truyền cảm hứng, sách văn học hoặc triết học)."
received,"<img src=""received.jpg"">",/rɪˈsiːvd/,[sound:received.mp3],"đã nhận được, được công nhận",She {{c1::received}} a warm welcome from her new colleagues on her first day.,"Đã tiếp nhận thứ gì được gửi/trao cho; hoặc được đa số chấp nhận (như quan niệm, tiêu chuẩn).",Got or was given something; or widely accepted as authoritative or correct.,"received wisdom, received message, received support","Syn: acquired, obtained, accepted | Ant: given, sent, rejected",N/A,receive (nhận) + -ed (dạng quá khứ/tính từ),Neutral - Sử dụng rất thông dụng trong giao tiếp lẫn văn bản.
proper,"<img src=""proper.jpg"">",/ˈprɒp.ər/,[sound:proper.mp3],"thích đáng, đúng đắn","Without {{c1::proper}} training, employees might make costly mistakes.","Phù hợp, đúng quy chuẩn hoặc đáp ứng đúng yêu cầu của một hoàn cảnh cụ thể.","Suitable, appropriate, or correct for a particular situation or purpose.","proper care, proper guidance, proper way","Syn: appropriate, suitable, correct | Ant: improper, inappropriate",N/A,"Gốc Latin 'proprius' (thuộc về bản chất, riêng biệt)",Neutral - Sử dụng rộng rãi trong giao tiếp hàng ngày và văn phong công sở.
fear,"<img src=""fear.jpg"">",/fɪər/,[sound:fear.mp3],"sự sợ hãi, nỗi sợ",He had to overcome his {{c1::fear}} of public speaking to present the report.,"Cảm giác lo lắng, hoảng sợ mạnh mẽ gây ra bởi nhận thức về nguy hiểm hoặc rủi ro.",An unpleasant emotion caused by the belief that someone or something is dangerous.,"fear of failure, overcome fear, express fear","Syn: dread, terror, anxiety | Ant: courage, confidence","for fear of, fear for someone's life","Gốc tiếng Anh cổ 'fær' (tai họa, mối đe dọa bất ngờ)",Neutral - Từ vựng cốt lõi dùng trong mọi hoàn cảnh.
