English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
homesickness,"<img src=""homesickness.jpg"">",/ˈhəʊm.sɪk.nəs/,[sound:homesickness.mp3],"nỗi nhớ nhà, sự nhớ nhà",Joining local student clubs is a great way to overcome {{c1::homesickness}}.,"Cảm giác buồn bã, lo âu hoặc mệt mỏi tinh thần khi phải sống xa gia đình, quê hương.",A feeling of sadness or distress caused by being away from home.,"suffer from homesickness, overcome homesickness, severe homesickness","Syn: nostalgia, home-longing",long for home (mong mỏi nhớ về nhà),từ ghép 'home' (nhà) + 'sick' (ốm yếu/mệt mỏi) + hậu tố danh từ trạng thái '-ness',"Neutral. Thường xuất hiện trong tư vấn tâm lý học sinh du học, người nhập cư hoặc khi nói về cảm xúc cá nhân."
imagination,"<img src=""imagination.jpg"">",/ɪˌmædʒ.ɪˈneɪ.ʃən/,[sound:imagination.mp3],"trí tưởng tượng, khả năng tưởng tượng",Albert Einstein famously said that {{c1::imagination}} is more important than knowledge.,"Khả năng hình dung, kiến tạo các hình ảnh, ý tưởng hoặc các khái niệm mới mẻ chưa từng có ngoài đời thực trong tâm trí.","The faculty or action of forming new ideas, images, or concepts of external objects not present to the senses.","vivid imagination, lack imagination, capture the imagination","Syn: creativity, ingenuity, fancy / Ant: reality, practicality",stretch one's imagination (thách thức mọi giới hạn của trí tưởng tượng),động từ 'imagine' (gốc Latin 'imaginari' - hình dung) + hậu tố danh từ chỉ hành động/quá trình '-ation',"Neutral. Được coi là một phẩm chất cực kỳ tích cực trong nghệ thuật, khoa học sáng tạo và giáo dục trẻ nhỏ."
immediately,"<img src=""immediately.jpg"">",/ɪˈmiː.di.ət.li/,[sound:immediately.mp3],ngay lập tức,"After the alarm went off, the residents evacuated the building {{c1::immediately}}.","Thực hiện ngay tức khắc, không có bất kỳ sự trì hoãn hay khoảng cách thời gian nào.",At once; instantly; without any delay or intermediate step.,"respond immediately, effective immediately, immediately after","Syn: instantly, promptly, at once / Ant: later, gradually, eventually",right away (ngay lập tức),tiền tố phủ định 'im-' (không) + gốc Latin 'mediatus' (ở giữa) + hậu tố trạng từ '-ly' -> không bị chèn ở giữa bởi khoảng thời gian nào,"Neutral. Phổ biến trong mọi tình huống khẩn cấp, hướng dẫn công việc hoặc giao tiếp thường ngày."
independence,"<img src=""independence.jpg"">",/ˌɪn.dɪˈpen.dəns/,[sound:independence.mp3],"sự độc lập, tính tự lập",Earning her own money gave her a strong sense of financial {{c1::independence}}.,"Trạng thái tự chủ, không bị kiểm soát, chi phối hoặc phụ thuộc tài chính, tinh thần vào các thế lực hay người khác.",The state of being independent; self-reliance and freedom from outside control.,"financial independence, gain independence, declaration of independence","Syn: autonomy, self-reliance, sovereignty / Ant: dependence, reliance, subjugation",stand on one's own two feet (tự đứng bằng đôi chân của mình),tiền tố phủ định 'in-' (không) + động từ 'depend' (phụ thuộc) + hậu tố danh từ trạng thái '-ence',Neutral. Sử dụng rộng rãi cho cả cấp độ quốc gia (độc lập chủ quyền) và cá nhân (tính tự lập).
instruction,"<img src=""instruction.jpg"">",/ɪnˈstrʌk.ʃən/,[sound:instruction.mp3],"sự hướng dẫn, việc giảng dạy, lời chỉ dẫn",The teacher gave detailed {{c1::instruction}} on how to write the essay.,Hành động truyền đạt kiến thức hoặc các bước cụ thể chỉ rõ cách làm việc gì đó.,"Detailed information about how to do or use something, or the act of teaching.","under instruction, follow instruction, direct instruction","Syn: direction, guidance, schooling, tuition",carry out instructions (thực hiện theo đúng hướng dẫn),"động từ 'instruct' (gốc Latin 'instruere' - xây dựng, chuẩn bị) + hậu tố danh từ chỉ hành động '-ion'","Neutral/Formal. Phổ biến trong môi trường sư phạm, tài liệu hướng dẫn sử dụng sản phẩm và hướng dẫn công việc."
judgment,"<img src=""judgment.jpg"">",/ˈdʒʌdʒ.mənt/,[sound:judgment.mp3],"sự phán xét, óc phán đoán, đánh giá",You should use your own {{c1::judgment}} when deciding which advice to follow.,"Khả năng đưa ra các quyết định sáng suốt dựa trên phân tích thực tế, hoặc một phán quyết chính thức của tòa án.",The ability to make considered decisions or come to sensible conclusions.,"pass judgment, show good judgment, value judgment","Syn: assessment, discernment, appraisal, verdict",against one's better judgment (làm điều gì đó dù bản năng bảo là sai),"động từ 'judge' (phán xét, gốc Latin 'judicare') + hậu tố danh từ chỉ kết quả '-ment'","Neutral/Formal. Xuất hiện nhiều trong triết học, tâm lý học, luật pháp và đánh giá năng lực quản lý."
lifelong,"<img src=""lifelong.jpg"">",/ˈlaɪf.lɒŋ/,[sound:lifelong.mp3],"suốt đời, trọn đời",He maintained a {{c1::lifelong}} friendship with his college roommate.,"Một việc, một trạng thái hoặc một mối quan hệ kéo dài liên tục suốt cả cuộc đời của một người.",Lasting or remaining in a particular state throughout a person's life.,"lifelong learning, lifelong friend, lifelong ambition","Syn: lifelong, enduring, permanent / Ant: temporary, short-lived, transient","for keeps (mãi mãi, trọn đời)","từ ghép giữa danh từ 'life' (cuộc sống) và tính từ 'long' (dài, suốt)",Neutral. Thường dùng trong các chủ đề giáo dục hiện đại (học tập suốt đời) hoặc các giá trị tình cảm bền vững.
loneliness,"<img src=""loneliness.jpg"">",/ˈləʊn.li.nəs/,[sound:loneliness.mp3],"sự cô đơn, cảm giác cô độc","Despite being surrounded by crowds, he felt a deep sense of {{c1::loneliness}}.","Cảm giác đau buồn, trống trải do thiếu vắng sự bầu bạn, tương tác xã hội hoặc cảm xúc ấm áp từ người khác.",Sadness because one has no friends or company.,"feel loneliness, combat loneliness, acute loneliness","Syn: solitude, isolation, desolation / Ant: companionship, fellowship",alone in a crowd (cô đơn giữa đám đông),gốc 'lone' (rút gọn của alone) + hậu tố tính từ '-ly' + hậu tố danh từ chỉ trạng thái tinh thần '-ness',"Neutral. Sử dụng rộng rãi trong các cuộc thảo luận tâm lý, văn học nghệ thuật để mô tả trạng thái tinh thần tiêu cực."
memorize / memorise,"<img src=""memorize.jpg"">",/ˈmem.ə.raɪz/,[sound:memorize.mp3],"ghi nhớ, học thuộc lòng",It is better to understand the concepts rather than just try to {{c1::memorize}} them.,"Hành động ghi khắc một thông tin, bài thơ, từ vựng vào trí óc để có thể nhớ lại chính xác sau này.",To commit something to memory; learn by heart.,"memorize vocabulary, memorize by heart, memorize facts","Syn: commit to memory, learn by heart, retain / Ant: forget",know inside out (biết tường tận từ trong ra ngoài),gốc danh từ 'memory' (gốc Latin 'memoria') + hậu tố động từ hóa '-ize' (Anh-Mỹ) / '-ise' (Anh-Anh),"Neutral. Phổ biến trong học tập, biểu diễn nghệ thuật (thuộc kịch bản) và huấn luyện trí nhớ."
mindset,"<img src=""mindset.jpg"">",/ˈmaɪnd.set/,[sound:mindset.mp3],"tư duy, định kiến, thế giới quan",Having a growth {{c1::mindset}} allows you to see failure as a learning opportunity.,"Tập hợp các thái độ, niềm tin cốt lõi đã được định hình sẵn từ trước, chi phối cách một người diễn giải và phản ứng với các tình huống.",The established set of attitudes held by someone.,"growth mindset, fixed mindset, change mindset","Syn: attitude, mentality, outlook, worldview",frame of mind (trạng thái tâm trí nhất thời),"từ ghép gồm 'mind' (tâm trí) và 'set' (thiết lập, định hình sẵn)","Neutral/Academic. Rất được ưa chuộng trong tâm lý học phát triển, tư vấn quản lý doanh nghiệp và phát triển bản thân."
nurture,"<img src=""nurture.jpg"">",/ˈnɜː.tʃər/,[sound:nurture.mp3],"nuôi dưỡng, bồi dưỡng, nâng niu",We must {{c1::nurture}} the young talent in our local community.,"Chăm sóc, bảo vệ và thúc đẩy sự phát triển của ai đó, một tài năng, một mối quan hệ hoặc một ý tưởng.",To care for and encourage the growth or development of someone or something.,"nurture talent, nature versus nurture, nurture a relationship","Syn: foster, cultivate, nourish, support / Ant: neglect, suppress, hinder",bring up (nuôi nấng ai lớn lên),"gốc Pháp cổ 'noriture' (thức ăn, dinh dưỡng), từ gốc Latin 'nutrire' (cho bú, cho ăn)","Neutral/Formal. Thường mang sắc thái ấm áp, tích cực và được sử dụng rộng rãi trong giáo dục, nuôi dạy con cái và sinh học."
passively,"<img src=""passively.jpg"">",/ˈpæs.ɪv.li/,[sound:passively.mp3],một cách thụ động,"Instead of participating in the discussion, he just sat there {{c1::passively}} listening to others.","Diễn tả hành động được thực hiện một cách thụ động, không chủ động tham gia hay gây ảnh hưởng, để mọi thứ tự xảy ra.",In a way that allows things to happen or accepts what others do without resistance or active involvement.,"passively accept, passively listen, absorb information passively","Syn: submissively, inactive / Ant: actively, proactively",sit back,"Root: pass- (gốc Latin 'passus' - chịu đựng, trải qua) + suffix: -ive (tính từ) + suffix: -ly (trạng từ).","Neutral/Academic. Thường dùng trong bối cảnh học thuật, mô tả hành vi hoặc phương pháp học tập/làm việc."
reflection,"<img src=""reflection.jpg"">",/rɪˈflek.ʃən/,[sound:reflection.mp3],"sự phản chiếu, sự suy ngẫm","After quiet {{c1::reflection}}, she decided to change her career path.","Sự phản chiếu hình ảnh/ánh sáng, hoặc sự suy nghĩ, xem xét cẩn thận và sâu sắc về một vấn đề nào đó.",Serious thought or consideration; or an image seen in a mirror or shiny surface.,"upon reflection, deep reflection, reflect on","Syn: contemplation, meditation, image / Ant: disregard, ignorance",on reflection,"Prefix: re- (lại, ngược lại) + Root: flect (uốn cong) + Suffix: -ion (danh từ chỉ hành động/trạng thái).",Neutral/Formal. Thường dùng trong văn viết học thuật hoặc khi nói về sự tự nhận thức bản thân.
responsibility,"<img src=""responsibility.jpg"">",/rɪˌspɒn.səˈbɪl.ə.ti/,[sound:responsibility.mp3],trách nhiệm,"As the manager, she has the {{c1::responsibility}} to ensure the safety of all workers.","Nhiệm vụ, bổn phận phải thực hiện hoặc gánh chịu hậu quả của một hành động nào đó.",The state or fact of having a duty to deal with something or of having control over someone.,"take responsibility, sense of responsibility, personal responsibility","Syn: duty, obligation, liability / Ant: irresponsibility",shoulder the responsibility,Root: response (phản hồi) + Suffix: -ible (có thể) -> responsible + Suffix: -ity (danh từ chỉ trạng thái).,"Neutral/Formal. Sử dụng rộng rãi trong cả đời sống hàng ngày, công việc lẫn văn bản pháp lý."
solution,"<img src=""solution.jpg"">",/səˈluː.ʃən/,[sound:solution.mp3],"giải pháp, cách giải quyết",They are working hard to find a viable {{c1::solution}} to the traffic problem.,"Cách thức, biện pháp để giải quyết một vấn đề, khó khăn hoặc một câu hỏi hóc búa.",A means of solving a problem or dealing with a difficult situation.,"find a solution, practical solution, solution to a problem","Syn: answer, resolution, key / Ant: problem, dilemma",work out a solution,"Root: solut- (từ gốc Latin 'solvere' - nới lỏng, giải quyết) + Suffix: -ion (danh từ).",Neutral. Phổ biến trong mọi ngữ cảnh từ giao tiếp hàng ngày đến học thuật và kinh doanh.
supportive,"<img src=""supportive.jpg"">",/səˈpɔː.tɪv/,[sound:supportive.mp3],"đem lại sự ủng hộ, nâng đỡ, giúp đỡ",My family was extremely {{c1::supportive}} when I decided to start my own business.,"Mô tả thái độ sẵn sàng giúp đỡ, khuyến khích và thông cảm với người khác trong hoàn cảnh khó khăn.",Providing encouragement or emotional help.,"supportive family, highly supportive, supportive environment","Syn: encouraging, helpful, caring / Ant: unsupportive, hostile",stand by someone,Root: support (ủng hộ) + Suffix: -ive (tính từ chỉ tính chất).,"Neutral. Mang tính tích cực, dùng nhiều trong các mối quan hệ gia đình, bạn bè và môi trường làm việc."
unsure,"<img src=""unsure.jpg"">",/ʌnˈʃɔːr/,[sound:unsure.mp3],không chắc chắn,She was {{c1::unsure}} about which direction to take at the crossroads.,"Trạng thái không chắc chắn, do dự hoặc thiếu tự tin về một quyết định hay sự thật nào đó.",Not certain or confident about something.,"feel unsure, unsure of/about, remain unsure","Syn: doubtful, uncertain, hesitant / Ant: sure, confident, certain",in two minds,Prefix: un- (không - mang ý phủ định) + Root: sure (chắc chắn).,Neutral. Sử dụng phổ biến trong cả văn nói và văn viết để bày tỏ sự hoài nghi hoặc lưỡng lự.
valuable,"<img src=""valuable.jpg"">",/ˈvæl.jə.bəl/,[sound:valuable.mp3],"có giá trị, quý giá",The seminar provided {{c1::valuable}} information for young entrepreneurs.,"Có giá trị lớn về mặt tiền bạc hoặc có ích lợi, ý nghĩa thực tiễn to lớn trong cuộc sống.","Worth a great deal of money, or extremely useful or important.","valuable asset, valuable experience, highly valuable","Syn: precious, priceless, useful / Ant: worthless, useless",worth its weight in gold,Root: value (giá trị) + Suffix: -able (có thể - tạo tính từ).,"Neutral. Thường dùng để chỉ cả giá trị vật chất (tiền bạc) lẫn phi vật chất (kinh nghiệm, bài học)."
viewpoint,"<img src=""viewpoint.jpg"">",/ˈvjuː.pɔɪnt/,[sound:viewpoint.mp3],"quan điểm, góc nhìn","From my {{c1::viewpoint}}, the project needs more funding to succeed.","Cách nhìn nhận, suy nghĩ hoặc thái độ của một người về một vấn đề cụ thể.",A particular attitude or way of considering a matter.,"from someone's viewpoint, different viewpoint, express a viewpoint","Syn: perspective, outlook, angle / Ant: N/A",point of view,"Compound word: view (nhìn, tầm nhìn) + point (điểm, vị trí).","Neutral. Phổ biến trong các bài luận nghị luận, thảo luận nhóm để giới thiệu ý kiến cá nhân."
