English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
due,"<img src=""due.jpg"">",/dʒuː/,[sound:due.mp3],"Đến hạn, do (khi đi với to)",The monthly report is {{c1::due}} by the end of this Friday.,"Được ấn định phải hoàn thành, nộp hoặc thanh toán vào một thời điểm cụ thể.",Expected or scheduled to happen or be completed at a specific time.,"due date, due to, in due course","Syn: expected, scheduled, owed | Ant: overdue, late",in due time / in due course,Nguồn gốc từ tiếng Pháp cổ deu (nghĩa vụ/nợ phải trả).,"Formal / Neutral - Dùng nhiều trong công việc, thời hạn và lý do."
lead to,,/liːd tuː/,[sound:leadto.mp3],"Dẫn đến, gây ra",Lack of sleep can {{c1::lead to}} serious health problems over time.,Gây ra một kết quả hoặc đưa đến một tình huống cụ thể.,To cause something to happen or cause a situation to develop.,"lead to success, lead to confusion, lead to consequences","Syn: result in, cause, bring about | Ant: prevent, stop",all roads lead to Rome,Động từ lead (dẫn dắt) + giới từ to (đến hướng nào).,Neutral / Academic - Thường dùng trong phân tích nguyên nhân - kết quả.
acceptable,"<img src=""acceptable.jpg"">",/əkˈsep.tə.bəl/,[sound:acceptable.mp3],Chấp nhận được,Arriving ten minutes late is barely {{c1::acceptable}} in this company.,"Đạt mức tiêu chuẩn vừa đủ để được đồng ý, thừa nhận hoặc chấp thuận.","Able to be agreed on, suitable, or satisfactory enough.","socially acceptable, acceptable behavior, acceptable standard","Syn: satisfactory, tolerable | Ant: unacceptable, intolerable",N/A,Động từ accept (chấp nhận) + hậu tố -able (có thể).,"Neutral - Dùng trong quy chuẩn ứng xử, tiêu chuẩn chất lượng."
safe,"<img src=""safe.jpg"">",/seɪf/,[sound:safe.mp3],An toàn,Please keep all important documents in a {{c1::safe}} location.,"Không bị đe dọa bởi nguy hiểm, rủi ro hay tổn thất.",Protected from or not exposed to danger or risk.,"safe environment, keep safe, safe and sound","Syn: secure, protected | Ant: dangerous, risky, unsafe","play it safe, safe and sound","Nguồn gốc từ tiếng Latinh salvus (lành lặn, nguyên vẹn).",Neutral - Từ vựng thông dụng cơ bản.
maintaining,"<img src=""maintaining.jpg"">",/meɪnˈteɪ.nɪŋ/,[sound:maintaining.mp3],"Duy trì, bảo trì",{{c1::Maintaining}} a healthy work-life balance requires continuous effort.,"Hành động giữ cho một trạng thái, chất lượng hoặc hoạt động tiếp tục diễn ra ổn định.","Preserving or continuing a particular state, condition, or activity.","maintaining standards, maintaining health, maintaining momentum","Syn: preserving, sustaining, keeping | Ant: neglecting, abandoning",maintain a low profile,Tiền tố main- (tay) + gốc tain (giữ) + hậu tố danh động từ -ing.,Formal / Professional - Rất phổ biến trong công việc và quản lý.
organised,"<img src=""organised.jpg"">",/ˈɔː.ɡən.aɪzd/,[sound:organised.mp3],"Ngăn nắp, có tổ chức",An {{c1::organised}} desk helps boost focus and productivity.,"Được sắp xếp có trật tự, kế hoạch rõ ràng; hoặc miêu tả người làm việc khoa học.",Arranged in a systematic way; orderly and efficient.,"highly organised, well organised, organised system","Syn: orderly, structured, neat | Ant: disorganized, chaotic",organised crime,Gốc organ (cấu trúc/cơ quan) + -ise (động từ hóa) + -ed (tính từ hóa).,Neutral / Professional - Mang sắc thái khen ngợi tác phong làm việc.
whether,"<img src=""whether.jpg"">",/ˈweð.ər/,[sound:whether.mp3],Liệu rằng,We need to decide {{c1::whether}} we should launch the product now.,Dùng để diễn tả sự lựa chọn hoặc nghi vấn giữa hai hay nhiều khả năng.,Expressing a doubt or choice between alternatives.,"whether or not, decide whether, regardless of whether",Syn: if | Ant: N/A,whether... or...,Từ liên kết nghi vấn lâu đời trong tiếng Anh cổ.,Formal / Neutral - Ưu tiên dùng trong văn viết trang trọng hơn 'if'.
along with,,/əˈlɒŋ wɪð/,[sound:alongwith.mp3],Cùng với,She sent her resume {{c1::along with}} a cover letter to the employer.,"Đi kèm, đồng thời hoặc bổ sung thêm bên cạnh ai/cái gì.",In addition to someone or something; together with.,"along with others, take along with, along with that","Syn: together with, in addition to | Ant: without, excluding",get along with,Trạng từ along (dọc theo) + giới từ with (với).,Neutral - Sử dụng tự nhiên trong cả nói và viết.
inventive mindset,"<img src=""inventive.jpg"">",/ɪnˈven.tɪv ˈmaɪnd.set/,[sound:inventive.mp3],"Tư duy sáng tạo, đổi mới",An {{c1::inventive mindset}} allows engineers to create unique solutions.,"Lối tư duy luôn tò mò, thích khám phá và tạo ra những ý tưởng, phương pháp mới.",A way of thinking characterized by creativity and original ideas.,"foster an inventive mindset, cultivate an inventive mindset, require an inventive mindset","Syn: creative thinking, innovative mindset | Ant: rigid thinking, conventional mindset",N/A,Inventive (invent + -ive: có tính sáng tạo) + Mindset (mind + set: tư duy).,"Academic / Professional - Dùng trong bối cảnh đổi mới sáng tạo, phát triển cá nhân."
constantly,"<img src=""constantly.jpg"">",/ˈkɒnstəntli/,[sound:constantly.mp3],"liên tục, không ngừng",Technology is {{c1::constantly}} changing and improving.,"Một cách liên tục, xảy ra gần như mọi lúc hoặc lặp đi lặp lại vô cùng thường xuyên.",All the time or very often; continuously.,"constantly changing, constantly remind, constantly strive","Syn: continuously, perpetually, always | Ant: occasionally, rarely, temporarily",N/A,"Adjective 'constant' (bền bỉ, bất biến) + Suffix '-ly' (hậu tố tạo trạng từ).",Neutral (Trung tính) - Dùng phổ biến và tự nhiên trong mọi ngữ cảnh để diễn đạt tần suất dày đặc.
boundaries,"<img src=""boundaries.jpg"">",/ˈbaʊn.dər.iz/,[sound:boundaries.mp3],"Ranh giới, giới hạn",Setting clear personal {{c1::boundaries}} is essential for mental health.,"Đường phân chia thực tế (địa lý) hoặc giới hạn tự quy định trong ứng xử, quan hệ cá nhân.",Limits or borders that define acceptable behavior or physical areas.,"set boundaries, personal boundaries, push the boundaries","Syn: limits, borders, frontiers | Ant: center, interior",push the boundaries,Gốc bound (ranh giới) + hậu tố danh từ số nhiều -aries.,Neutral / Psychological - Hay dùng trong địa lý lẫn tâm lý xã hội.
exceptionally,,/ɪkˈsepʃənəli/,[sound:exceptionally.mp3],"một cách xuất chúng, đặc biệt",The child is {{c1::exceptionally}} talented at playing the piano.,"Ở mức độ cao vượt trội, khác biệt hoàn toàn với những trường hợp thông thường hoặc đạt mức xuất sắc lạ thường.","In a way that is much greater, better, or more unusual than normal.","exceptionally talented, exceptionally gifted, exceptionally well","Syn: extraordinarily, outstandingly, uncommonly | Ant: normally, averagely, typically",N/A,"Prefix 'ex-' (ra ngoài) + Root 'cept' (bắt lấy) + Suffixes '-ion', '-al', '-ly' (vượt ngoài những gì được áp đặt chung).",Neutral/Formal (Trung tính/Trang trọng) - Dùng để nâng cao mức độ khen ngợi một cách lịch thiệp.
authenticity,"<img src=""authenticity.jpg"">",/ˌɔːθenˈtɪsəti/,[sound:authenticity.mp3],"tính xác thực, tính chân thật",The expert verified the {{c1::authenticity}} of the painting.,"Chất lượng của việc là thật, có thật, đúng nguồn gốc ban đầu chứ không phải đồ giả mạo hay sao chép.","The quality of being real, genuine, or true.","verify authenticity, guarantee authenticity, doubt the authenticity","Syn: genuineness, validity, legitimacy | Ant: falseness, artificiality",N/A,"Root 'authentic' (chân thật, xác thực) + Suffix '-ity' (hậu tố chỉ danh từ trạng thái, tính chất).","Formal/Academic (Trang trọng/Học thuật) - Thường dùng trong luật pháp, nghiên cứu nghệ thuật hoặc triết học."
effort,"<img src=""effort.jpg"">",/ˈef.ət/,[sound:effort.mp3],"Nỗ lực, sự cố gắng",They made a great {{c1::effort}} to complete the project on schedule.,Sức lực thể chất hoặc tinh thần được dốc ra để thực hiện mục tiêu.,Physical or mental energy needed to achieve something.,"make an effort, joint effort, strenuous effort","Syn: endeavor, attempt, exertion | Ant: laziness, inactivity","spare no effort, in an effort to",Tiền tố ef- (ex-: ra ngoài) + gốc fort (sức mạnh) -> phát huy sức mạnh.,Neutral - Rất thông dụng trong mọi ngữ cảnh.
guide,"<img src=""guide.jpg"">",/ɡaɪd/,[sound:guide.mp3],"Hướng dẫn, người hướng dẫn",The user manual will {{c1::guide}} you step-by-step through the process.,"Chỉ đường, định hướng hành động hoặc là tài liệu/con người cung cấp sự hỗ trợ.","To show someone the way, or a document/person that provides instructions.","tour guide, user guide, guide someone through","Syn: lead, direct, instruct | Ant: mislead, misguide",guiding light,"Từ tiếng Pháp cổ (guider - chỉ đường, dẫn dắt).",Neutral - Từ vựng giao tiếp và kỹ thuật phổ thông.
self-awareness,"<img src=""self-awareness.jpg"">",/ˌself.əˈweə.nəs/,[sound:self-awareness.mp3],Sự tự nhận thức,High {{c1::self-awareness}} helps individuals regulate their emotions better.,"Khả năng hiểu rõ cảm xúc, tính cách, động lực và điểm mạnh/yếu của chính mình.","Conscious knowledge of one's own character, feelings, and motives.","lack of self-awareness, foster self-awareness, emotional self-awareness","Syn: self-knowledge, introspection | Ant: self-ignorance",N/A,Self (bản thân) + aware (nhận biết) + hậu tố danh từ -ness.,Academic / Psychological - Dùng nhiều trong tâm lý học và phát triển bản thân.
thrive,"<img src=""thrive.jpg"">",/θraɪv/,[sound:thrive.mp3],"phát triển mạnh mẽ, thịnh vượng",Children {{c1::thrive}} in a loving and supportive environment.,"Phát triển một cách khỏe mạnh, thành công, rực rỡ và thịnh vượng (nói về trẻ em, cây cối, doanh nghiệp hoặc một cộng đồng).","To grow, develop, or be highly successful, healthy, or strong.","thrive in an environment, thrive on pressure, business thrives","Syn: flourish, prosper, bloom | Ant: wither, fail, decline",thrive on something (phát triển rực rỡ/thích thú nhờ một thách thức hay áp lực nào đó),"Bắt nguồn từ tiếng Norse cổ 'thrífask' (nắm bắt thành tựu cho bản thân, phát tài).","Neutral/Formal (Trung tính/Trang trọng) - Mang sắc thái rất tích cực, thể hiện sự phát triển vượt bậc và bền bỉ."
argument,"<img src=""argument.jpg"">",/ˈɑːɡjumənt/,[sound:argument.mp3],"Cuộc tranh cãi, lý lẽ",They got into a heated {{c1::argument}} over who should pay the bill.,"Một cuộc tranh cãi, bất đồng ý kiến gay gắt; hoặc một chuỗi lập luận, lý lẽ đưa ra để thuyết phục người khác.","An exchange of diverging or opposite views, typically a heated or angry one; a reason or set of reasons given with the aim of persuading others.","heated argument, win an argument, get into an argument, legal argument","Syn: dispute, quarrel, disagreement, case | Ant: agreement, harmony, peace",get into an argument (tranh cãi với ai),"Động từ 'argue' (tranh luận) + hậu tố danh từ '-ment' (hành động, quá trình).","Neutral - Sử dụng rất rộng rãi, từ cãi cọ vụn vặt cho đến luận điểm khoa học, pháp lý."
arise,"<img src=""arise.jpg"">",/əˈraɪz/,[sound:arise.mp3],"nảy sinh, phát sinh",Several unexpected problems did {{c1::arise}} during the meeting.,"Xảy ra, bắt đầu tồn tại (thường dùng để nói về các vấn đề khó khăn, mâu thuẫn hoặc cơ hội phát sinh đột ngột).","To happen or start to exist, especially of problems, difficulties, or opportunities.","problems arise, complications arise, issues arise","Syn: occur, happen, emerge | Ant: disappear, vanish",arise from (bắt nguồn từ),"Prefix 'a-' (phát sinh, trỗi dậy) + Root 'rise' (mọc lên, dâng lên).",Formal (Trang trọng) - Thường dùng nhiều trong văn phong công việc hoặc học thuật.
authenticity,"<img src=""authenticity.jpg"">",/ˌɔːθenˈtɪsəti/,[sound:authenticity.mp3],"tính xác thực, tính chân thật",The expert verified the {{c1::authenticity}} of the painting.,"Chất lượng của việc là thật, có thật, đúng nguồn gốc ban đầu chứ không phải đồ giả mạo hay sao chép.","The quality of being real, genuine, or true.","verify authenticity, guarantee authenticity, doubt the authenticity","Syn: genuineness, validity, legitimacy | Ant: falseness, artificiality",N/A,"Root 'authentic' (chân thật, xác thực) + Suffix '-ity' (hậu tố chỉ danh từ trạng thái, tính chất).","Formal/Academic (Trang trọng/Học thuật) - Thường dùng trong luật pháp, nghiên cứu nghệ thuật hoặc triết học."
bond,"<img src=""bond.jpg"">",/bɒnd/,[sound:bond.mp3],"sự gắn kết, mối liên kết",The shared experience created a lifelong {{c1::bond}} between them.,"Mối quan hệ chặt chẽ, sợi dây tình cảm gắn bó bền chặt giữa người với người hoặc giữa các nhóm.",A close connection or relationship joining two or more people.,"strong bond, family bond, emotional bond","Syn: connection, tie, link | Ant: detachment, separation","bond with someone (gắn kết, kết thân với ai)","Bắt nguồn từ tiếng Anh trung cổ 'band' (dây buộc, mối ràng buộc).",Neutral (Trung tính) - Dùng phổ biến trong cả văn nói giao tiếp hằng ngày lẫn văn bản tâm lý học.
breadwinner,"<img src=""breadwinner.jpg"">",/ˈbredwɪnər/,[sound:breadwinner.mp3],trụ cột gia đình,"In many traditional families, the father is the sole {{c1::breadwinner}}.",Thành viên trong gia đình chịu trách nhiệm đi làm kiếm tiền chính để nuôi sống và chu cấp cho cả nhà.,The member of a family who earns the money that the family needs to live.,"sole breadwinner, primary breadwinner, family breadwinner","Syn: provider, earner | Ant: dependent",bring home the bacon (kiếm tiền nuôi gia đình),Compound of 'bread' (bánh mì/nghĩa bóng là tiền lương) + 'winner' (người chiến thắng/giành được).,Neutral (Trung tính) - Sử dụng rộng rãi khi nói về vai trò gia đình và kinh tế học gia đình.
bridge,"<img src=""bridge.jpg"">",/brɪdʒ/,[sound:bridge.mp3],"bắc cầu, thu hẹp (khoảng cách)",The mentor helped to {{c1::bridge}} the gap between the two generations.,"Nghĩa bóng: Giảm bớt hoặc loại bỏ sự khác biệt, bất đồng, khoảng cách giữa hai nhóm người, ý kiến hoặc tình huống để tạo sự thấu hiểu.",To reduce or eliminate the difference/gap between two things.,"bridge the gap, bridge the divide, bridge the differences","Syn: connect, reconcile, span | Ant: divide, separate, widen","burn one's bridges (cắt đứt đường lui), cross that bridge when you come to it (tới đâu hay tới đó)","Bắt nguồn từ tiếng Anh cổ 'brycg' (cây cầu), nay được dùng rất phổ biến dưới dạng động từ nghĩa bóng.","Neutral/Formal (Trung tính/Trang trọng) - Thường dùng trong đàm phán, quản lý nhân sự và các bài luận xã hội."
characteristic,"<img src=""characteristic.jpg"">",/ˌkærəktəˈrɪstɪk/,[sound:characteristic.mp3],"đặc điểm, đặc trưng",Generosity is a defining {{c1::characteristic}} of her personality.,"Một đặc trưng, tính cách tiêu biểu hoặc phẩm chất dễ dàng nhận biết của một người, sự vật hay địa điểm cụ thể.",A typical feature or quality that someone or something has.,"defining characteristic, physical characteristic, key characteristic","Syn: feature, trait, attribute | Ant: atypicality",N/A,"Root 'character' (tính cách, đặc tính) + Suffix '-istic' (thuộc về, mang tính).","Neutral/Academic (Trung tính/Học thuật) - Thường dùng trong các mô tả khoa học, phân tích tâm lý hoặc mô tả đặc điểm sản phẩm."
chore,"<img src=""chore.jpg"">",/tʃɔːr/,[sound:chore.mp3],"việc vặt, việc nhà",Doing the dishes is my least favorite household {{c1::chore}}.,"Một công việc lặp đi lặp lại thường nhật, tẻ nhạt nhưng bắt buộc phải hoàn thành (thường là việc dọn dẹp trong nhà).","A routine task, especially a household one, that is often boring but necessary.","household chores, daily chores, routine chores","Syn: task, duty, errand | Ant: leisure, pleasure",N/A,"Phát triển từ từ tiếng Anh cổ 'char' (công việc lặt vặt, thỉnh thoảng).",Neutral/Informal (Trung tính/Thân mật) - Hay được dùng với hàm ý than thở nhẹ về tính chất tẻ nhạt của công việc.
close-knit,"<img src=""close-knit.jpg"">",/ˌkləʊs ˈnɪt/,[sound:close-knit.mp3],"khăng khít, gắn bó",They grew up in a very {{c1::close-knit}} community.,"Có mối quan hệ cực kỳ gần gũi, khăng khít, luôn sẵn sàng giúp đỡ và chăm sóc lẫn nhau (thường nói về gia đình, cộng đồng).","Having strong, supportive, and close relationships among members.","close-knit family, close-knit community, close-knit group","Syn: tight-knit, united, close | Ant: loose, detached, divided",N/A,Từ ghép gồm 'close' (gần gũi) + 'knit' (đan chặt lại với nhau).,"Neutral (Trung tính) - Mang lại sắc thái ấm áp, tích cực khi mô tả các tập thể đoàn kết."
conflict,"<img src=""conflict.jpg"">",/ˈkɒnflɪkt/,[sound:conflict.mp3],"sự xung đột, mâu thuẫn",We need to find a peaceful way to resolve this {{c1::conflict}}.,"Tình trạng tranh chấp, bất đồng quan điểm hoặc đối đầu gay gắt giữa hai hay nhiều bên.",An active disagreement or fight between people with opposing opinions or principles.,"resolve conflict, avoid conflict, conflict of interest","Syn: dispute, clash, argument | Ant: harmony, peace, agreement","come into conflict with (mâu thuẫn, xung đột với)","Prefix 'con-' (cùng nhau) + Root 'fligere' (đánh, va chạm mạnh).","Neutral/Formal (Trung tính/Trang trọng) - Thường dùng trong cả văn cảnh đời sống gia đình lẫn các lĩnh vực chính trị, xã hội."
consistent,"<img src=""consistent.jpg"">",/kənˈsɪstənt/,[sound:consistent.mp3],"nhất quán, kiên định",Her performance has been {{c1::consistent}} throughout the season.,"Luôn hành xử hoặc diễn ra theo cùng một cách, giữ vững phong độ, tiêu chuẩn hoặc nguyên tắc không đổi theo thời gian.","Always behaving or happening in a similar, especially positive, way.","consistent behavior, consistent quality, consistent with","Syn: steady, uniform, constant | Ant: inconsistent, erratic, changing",N/A,"Prefix 'con-' (cùng nhau) + Root 'sistere' (đứng vững, tồn tại) -> Giữ nguyên trạng thái cấu trúc vững vàng.","Neutral/Academic (Trung tính/Học thuật) - Dùng nhiều khi đánh giá hiệu suất, số liệu, luận điểm nghiên cứu."
constantly,"<img src=""constantly.jpg"">",/ˈkɒnstəntli/,[sound:constantly.mp3],"liên tục, không ngừng",Technology is {{c1::constantly}} changing and improving.,"Một cách liên tục, xảy ra gần như mọi lúc hoặc lặp đi lặp lại vô cùng thường xuyên.",All the time or very often; continuously.,"constantly changing, constantly remind, constantly strive","Syn: continuously, perpetually, always | Ant: occasionally, rarely, temporarily",N/A,"Adjective 'constant' (bền bỉ, bất biến) + Suffix '-ly' (hậu tố tạo trạng từ).",Neutral (Trung tính) - Dùng phổ biến và tự nhiên trong mọi ngữ cảnh để diễn đạt tần suất dày đặc.
digital native,,/ˌdɪdʒɪtəl ˈneɪtɪv/,[sound:digitalnative.mp3],người sinh ra trong thời đại số,"As a {{c1::digital native}}, she finds it easy to learn new software.","Một người sinh ra hoặc lớn lên trong kỷ nguyên công nghệ số, cực kỳ quen thuộc và thành thạo máy tính, internet từ nhỏ.",A person born or brought up during the age of digital technology and familiar with computers from an early age.,"generation of digital natives, digital native population","Syn: Gen Z, tech-savvy person | Ant: digital immigrant",N/A,"Adjective 'digital' (kỹ thuật số) + Noun 'native' (người bản xứ, người bản địa).","Modern/Sociological (Hiện đại/Xã hội học) - Thường dùng trong các thảo luận về giáo dục, công nghệ và khoảng cách thế hệ."
