English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
advise,"<img src=""advise.jpg"">",/ədˈvaɪz/,[sound:advise.mp3],"khuyên bảo, tư vấn",Doctors {{c1::advise}} people to drink enough water every day.,Đưa ra lời khuyên hoặc gợi ý cho ai đó nên làm gì trong một tình huống.,To offer suggestions about the best course of action to someone.,"strongly advise, advise against, advise someone to do sth","Syn: recommend, counsel | Ant: discourage, dissuade",be advised that (xin lưu ý rằng),"Gốc Latin 'advisare' (nhìn nhận, xem xét, cho ý kiến).","Formal/Neutral - Dùng trong văn bản chính thức, tư vấn chuyên môn."
lower,"<img src=""lower.jpg"">",/ˈləʊə(r)/,[sound:lower.mp3],"hạ thấp, giảm xuống",Eating healthier food can help {{c1::lower}} your risk of heart disease.,"Làm cho mức độ, số lượng hoặc vị trí của cái gì đó giảm đi.","To make or become less in amount, degree, or intensity.","lower blood pressure, lower prices, lower expectations","Syn: reduce, decrease | Ant: raise, increase",lower one's guard (lơ là phòng bị),Tính từ so sánh hơn 'low' (thấp) được dùng như một động từ.,"Neutral - Sử dụng phổ biến trong đời sống và y học, kinh tế."
processed food,,/ˈprəʊsest fuːd/,[sound:processedfood.mp3],thực phẩm chế biến sẵn,Consuming too much {{c1::processed food}} is harmful to long-term health.,"Thực phẩm đã qua xử lý công nghiệp, thường chứa phụ gia và chất bảo quản.",Food that has been altered from its natural state for safety or convenience.,"avoid processed food, highly processed food, ultra-processed food","Syn: convenience food, packaged food | Ant: organic food, fresh food",junk food (đồ ăn vặt không lành mạnh),Quá khứ phân từ 'processed' (đã xử lý) + danh từ 'food' (thức ăn).,Neutral/Academic - Thuật ngữ phổ biến trong dinh dưỡng và y tế.
better health,,/ˈbetə(r) helθ/,[sound:betterhealth.mp3],sức khỏe tốt hơn,A balanced diet and regular exercise lead to {{c1::better health}}.,"Trạng thái thể chất và tinh thần cải thiện, khỏe mạnh hơn trước.",An improved state of physical and mental well-being.,"achieve better health, promote better health, key to better health","Syn: improved wellness | Ant: poor health, declining health",in good health (trong trạng thái khỏe mạnh),Tính từ so sánh hơn 'better' + danh từ 'health' (sức khỏe).,Neutral - Dùng phổ biến trong đời sống hàng ngày và khuyến cáo y tế.
prove,"<img src=""prove.jpg"">",/pruːv/,[sound:prove.mp3],"chứng minh, tỏ ra",He worked hard to {{c1::prove}} that his theory was correct.,Đưa ra bằng chứng để xác nhận sự thật hoặc thể hiện năng lực.,To demonstrate the truth or existence of something by evidence.,"prove a point, prove innocent, prove useful","Syn: demonstrate, verify | Ant: disprove, refute",prove oneself (khẳng định bản thân),"Từ tiếng Latin 'probare' (thử nghiệm, kiểm chứng).","Neutral/Academic - Dùng trong tranh luận, khoa học và luật pháp."
sufficiently,"<img src=""sufficiently.jpg"">",/səˈfɪʃ.ənt.li/,[sound:sufficiently.mp3],"đủ, một cách đầy đủ",Make sure the meat is {{c1::sufficiently}} cooked before eating.,Trạng từ chỉ mức độ đáp ứng vừa đủ nhu cầu hoặc yêu cầu của một tình huống cụ thể.,To a degree that is enough for a particular purpose.,"sufficiently large, sufficiently clear, sufficiently detailed","Syn: adequately, enough | Ant: insufficiently, inadequately",sufficiently advanced,sufficient (đủ) + -ly (hậu tố trạng từ).,Formal / Academic - Thường xuất hiện trong văn bản trang trọng hoặc tài liệu học thuật.
primarily,,/praɪˈmer.əl.i/,[sound:primarily.mp3],"chủ yếu, trước hết",The course is designed {{c1::primarily}} for beginners.,"Trạng từ chỉ yếu tố chính, mục đích quan trọng nhất hoặc đối tượng trọng tâm.",For the most part; mainly.,"primarily responsible, focus primarily, primarily aimed at","Syn: mainly, chiefly, principally | Ant: secondarily, marginally",first and foremost,"primary (chính, cơ bản) + -ly (hậu tố trạng từ).","Formal / Academic - Rất phổ biến trong báo cáo, bài luận và bài thuyết trình."
especially,"<img src=""especially.jpg"">",/ɪˈspeʃ.əl.i/,[sound:especially.mp3],đặc biệt là,"I love fruit, {{c1::especially}} apples and oranges.","Trạng từ dùng để nhấn mạnh một sự vật, đối tượng cụ thể nổi bật hơn những cái khác.","Used to single out one person, thing, or situation in particular; particularly.","especially useful, especially designed, especially important","Syn: particularly, notably, in particular | Ant: generally, universally",especially true,special (đặc biệt) + -ly (hậu tố trạng từ).,Neutral - Dùng phổ biến trong mọi hoàn cảnh giao tiếp.
loans,"<img src=""loans.jpg"">",/ləʊnz/,[sound:loans.mp3],"khoản vay, tiền vay",Many students take out {{c1::loans}} to pay for university tuition.,Các số tiền mượn từ ngân hàng hoặc tổ chức và phải trả lại sau một thời gian.,Sums of money that are borrowed and expected to be paid back with interest.,"bank loans, student loans, apply for loans","Syn: debts, credit | Ant: savings, deposits",take out a loan (vay tiền),Bắt nguồn từ tiếng Bắc Âu cổ 'lán' (sự cho mượn). Dạng số nhiều '-s'.,"Neutral/Business - Dùng phổ biến trong tài chính, ngân hàng."
rely,"<img src=""rely.jpg"">",/rɪˈlaɪ/,[sound:rely.mp3],"dựa vào, tin tưởng",You can always {{c1::rely}} on him for help.,"Động từ thể hiện việc tin tưởng vào khả năng, sự hỗ trợ hoặc phẩm chất của một ai đó/cái gì đó.",Depend on with full trust or confidence.,"rely heavily, rely on, rely upon","Syn: depend, count on, trust | Ant: distrust, doubt",rely on/upon,"re- (tiền tố: lặp lại) + ligare (gốc Latin: buộc, liên kết).",Neutral - Rất thông dụng trong giao tiếp hàng ngày và văn viết.
preserve,"<img src=""preserve.jpg"">",/prɪˈzɜːv/,[sound:preserve.mp3],"bảo tồn, giữ gìn",We must {{c1::preserve}} natural resources for future generations.,"Giữ cho điều gì đó duy trì nguyên vẹn, an toàn, không bị hư hỏng hay suy giảm qua thời gian.",Maintain something in its original or existing state.,"preserve memory, preserve wildlife, preserve food","Syn: protect, maintain, conserve | Ant: destroy, ruin, neglect",preserve order,"pre- (tiền tố: trước) + servare (gốc Latin: giữ, bảo vệ).","Neutral / Formal - Thường dùng khi nói về văn hóa, tài nguyên và môi trường."
maintain,"<img src=""maintain.jpg"">",/meɪnˈteɪn/,[sound:maintain.mp3],"duy trì, bảo dưỡng",It is important to {{c1::maintain}} a healthy balance between work and life.,Giữ cho cái gì đó tiếp tục ở trạng thái tốt hoặc ở cùng một mức độ.,To cause something to continue or keep in a existing state.,"maintain a relationship, maintain order, maintain standards","Syn: preserve, sustain | Ant: neglect, abandon",maintain high standards (duy trì tiêu chuẩn cao),Tiếng Latin 'manu tenere' (nắm giữ trong tay).,"Formal/Neutral - Thường dùng trong bối cảnh công việc, quản lý, sức khỏe."
discouragement,"<img src=""discouragement.jpg"">",/dɪsˈkʌrɪdʒmənt/,[sound:discouragement.mp3],"sự nản lòng, sự làm thoái chí","Despite feelings of {{c1::discouragement}}, she continued to pursue her dreams.","Cảm giác mất đi sự tự tin, hứng thú hoặc quyết tâm tiếp tục.",A feeling of despair or lack of confidence and enthusiasm.,"face discouragement, cause discouragement, sense of discouragement","Syn: disillusionment, despair | Ant: encouragement, inspiration",sink into discouragement (rơi vào sự nản lòng),Tiền tố 'dis-' (phủ định) + 'courage' (dũng khí) + hậu tố danh từ '-ment'.,Neutral/Formal - Miêu tả tâm lý trong văn viết hoặc phát biểu.
trait,"<img src=""trait.jpg"">",/treɪt/,[sound:trait.mp3],"đặc điểm, nét tính cách",Honesty is considered a highly desirable personality {{c1::trait}}.,Một nét đặc trưng riêng biệt về tính cách hoặc thể chất của con người.,"A distinguishing quality or characteristic, typically one belonging to a person.","personality trait, genetic trait, desirable trait","Syn: characteristic, feature, quality | Ant: atypicality",character trait (nét tính cách),"Tiếng Pháp cổ 'trait' (mặt nét, nét vẽ).","Neutral/Academic - Thường dùng trong tâm lý học, sinh học, phân tích con người."
role,"<img src=""role.jpg"">",/rəʊl/,[sound:role.mp3],"vai trò, vị trí",Parents play an important {{c1::role}} in shaping their children's future.,"Chức năng, vị trí hoặc trách nhiệm của ai đó trong một tổ chức/xã hội.","An actor's part in a play, or a function assumed by a person in a situation.","play a role, key role, leading role","Syn: function, part, position | Ant: non-participation",role model (hình mẫu lý tưởng),Từ tiếng Pháp 'rôle' (cuộn giấy ghi lời thoại diễn viên).,"Neutral - Dùng phổ biến trong đời sống, công việc, điện ảnh."
finances,"<img src=""finances.jpg"">",/ˈfaɪnænsɪz/,[sound:finances.mp3],"tài chính, tiền bạc",Managing personal {{c1::finances}} effectively is an essential life skill.,"Tiền bạc, nguồn vốn hoặc các hoạt động quản lý tiền tệ của cá nhân/tổ chức.","The monetary resources and affairs of a state, organization, or individual.","manage finances, personal finances, company finances","Syn: funds, money, resources | Ant: debt, insolvency",in good financial shape (trạng thái tài chính tốt),Gốc 'finance' (sự dàn xếp thanh toán) + dạng số nhiều '-s'.,"Formal/Neutral - Dùng trong kinh tế, kinh doanh, quản lý cá nhân."
resources,"<img src=""resources.jpg"">",/rɪˈsɔːsɪz/,[sound:resources.mp3],"tài nguyên, nguồn lực",The country is rich in natural {{c1::resources}} such as oil and coal.,"Các tài sản, nguyên liệu, nhân lực có sẵn để khai thác hoặc sử dụng.","Assets, supplies, or materials that can be drawn on by a person or organization.","natural resources, human resources, financial resources","Syn: assets, supplies | Ant: scarcity, lack",pool resources (góp chung nguồn lực),Tiền tố 're-' (lại) + 'source' (nguồn) + số nhiều '-s'.,"Neutral/Academic - Dùng trong kinh tế, địa lý, quản trị doanh nghiệp."
facilitate,"<img src=""facilitate.jpg"">",/fəˈsɪlɪteɪt/,[sound:facilitate.mp3],"tạo điều kiện, làm cho dễ dàng",Modern technology is designed to {{c1::facilitate}} communication across the globe.,"Giúp một quá trình diễn ra dễ dàng hơn, thuận lợi hơn.",To make an action or process easy or easier.,"facilitate learning, facilitate growth, facilitate process","Syn: assist, promote, ease | Ant: hinder, impede",facilitate discussion (điều phối thảo luận),Tiếng Latin 'facilis' (dễ dàng) + hậu tố động từ '-ate'.,"Formal/Academic - Dùng nhiều trong văn bản công việc, giáo dục, chính sách."
self-defence,"<img src=""self-defence.jpg"">",/ˌself dɪˈfens/,[sound:self-defence.mp3],sự tự vệ,Learning martial arts is a great way to improve your {{c1::self-defence}} skills.,Hành động bảo vệ bản thân khỏi sự tấn công hoặc nguy hiểm từ người khác.,The defense of one's person or interests through the use of physical force.,"self-defence classes, act in self-defence, self-defence technique","Syn: self-protection | Ant: aggression, attack",in self-defence (để tự vệ),Tiền tố 'self-' (bản thân) + 'defence' (sự bảo vệ).,"Neutral - Dùng phổ biến trong đời sống, võ thuật và pháp lý."
unexpected,"<img src=""unexpected.jpg"">",/ˌʌnɪkˈspektɪd/,[sound:unexpected.mp3],"bất ngờ, không dự đoán trước",Winning the competition was an {{c1::unexpected}} surprise for him.,Xảy ra một cách đột ngột mà không được báo trước hoặc dự đoán.,Not expected or regarded as likely to happen.,"unexpected delay, unexpected result, unexpected guest","Syn: unforeseen, sudden, surprising | Ant: expected, predictable",an unexpected turn of events (bước ngoặt bất ngờ),Tiền tố 'un-' (không) + 'expected' (được chờ đợi).,Neutral - Dùng linh hoạt trong cả văn nói lẫn văn viết.
deal,"<img src=""deal.jpg"">",/diːl/,[sound:deal.mp3],"Thỏa thuận, giao dịch; giải quyết (đi với 'with')",We managed to strike a great {{c1::deal}} with the supplier.,"Sự đồng thuận hoặc ký kết có lợi trong kinh doanh; hoặc (động từ) hành động ứng phó, xử lý một vấn đề.",An agreement entered into by two or more parties for their mutual benefit; or to take action to solve a problem.,"make a deal, strike a deal, deal with a problem, a great deal of","Syn: agreement, transaction, cope (with) | Ant: disagreement, ignore","deal with (giải quyết), a big deal (việc hệ trọng), raw deal (sự đối xử bất công)","Bắt nguồn từ tiếng Anh cổ 'dælan' có nghĩa ban đầu là 'chia phần, phân phát'.",Neutral. Danh từ 'deal' rất thịnh hành trong đàm phán thương mại và giao tiếp suồng sã.
effect,"<img src=""effect.jpg"">",/ɪˈfekt/,[sound:effect.mp3],"Tác động, ảnh hưởng, hiệu ứng",The medication had a positive {{c1::effect}} on his health.,Kết quả hoặc sự thay đổi được tạo ra bởi một tác nhân hoặc một nguyên nhân khác.,A change which is a result or consequence of an action or other cause.,"side effect, have an effect on, positive effect, immediate effect","Syn: impact, result, consequence | Ant: cause, origin","take effect (có hiệu lực), in effect (về cơ bản)","Tiền tố 'ex-' (chuyển thành 'ef-' nghĩa là ra ngoài) + gốc Latin 'facere' (làm, chế tạo) -> cái được tạo ra từ một hành động.",Neutral/Academic. Cần phân biệt danh từ 'effect' với động từ 'affect' (tác động).
transportation,"<img src=""transportation.jpg"">",/ˌtrænspɔːˈteɪʃn/,[sound:transportation.mp3],"giao thông vận tải, phương tiện đi lại",Public {{c1::transportation}} helps reduce traffic congestion in big cities.,"Hệ thống hoặc phương tiện dùng để di chuyển con người, hàng hóa.","The action of transporting someone or something, or the system of conveyances.","public transportation, means of transportation, modes of transportation","Syn: transit, transport, conveyance | Ant: immobility",modes of transport (các hình thức di chuyển),"Tiền tố 'trans-' (qua, sang) + gốc 'port' (mang/chở) + hậu tố '-ation'.","Neutral/Formal - Dùng trong quy hoạch, đời sống, kinh tế."
commuting,,/kəˈmjuːtɪŋ/,[sound:commuting.mp3],việc đi lại hằng ngày (đi làm/đi học),Long daily {{c1::commuting}} can cause a lot of stress for workers.,Hành trình di chuyển đều đặn giữa nơi ở và nơi làm việc/trường học.,The activity of traveling regularly between one's home and place of work.,"daily commuting, long commuting, commuting time","Syn: traveling, shuttling | Ant: staying put",commute to work (đi làm hàng ngày),Danh động từ của 'commute' (di chuyển qua lại thường xuyên).,Neutral - Sử dụng rất phổ biến khi nói về thói quen sinh hoạt và việc làm.
confidence,"<img src=""confidence.jpg"">",/ˈkɒnfɪdəns/,[sound:confidence.mp3],"sự tự tin, niềm tin",Speaking in public will help build your {{c1::confidence}}.,"Cảm giác tin tưởng vào khả năng, phẩm chất hoặc quyết định của bản thân.",A feeling of self-assurance arising from one's appreciation of one's own abilities.,"build confidence, lack of confidence, boost confidence","Syn: self-assurance, certainty | Ant: insecurity, self-doubt",in strict confidence (bảo mật tuyệt đối),Gốc Latin 'confidere' (tin tưởng hoàn toàn) + hậu tố danh từ '-ence'.,"Neutral - Dùng trong phát triển bản thân, công việc, giao tiếp."
fosters,"<img src=""fosters.jpg"">",/ˈfɒstəz/,[sound:fosters.mp3],"thúc đẩy, nuôi dưỡng",Teamwork {{c1::fosters}} cooperation and creativity among employees.,Khuyến khích sự phát triển của cái gì đó hoặc nhận nuôi dưỡng ai đó.,Encourages the development or growth of ideas or feelings.,"fosters innovation, fosters growth, fosters relationships","Syn: nurtures, encourages, promotes | Ant: suppresses, hinders",foster care (chăm sóc thay thế/nuôi dưỡng tạm thời),Động từ 'foster' (chia thì hiện tại ngôi 3 số ít thêm '-s').,"Formal/Academic - Dùng nhiều trong báo chí, giáo dục và quản trị."
self-discipline,"<img src=""self-discipline.jpg"">",/ˌself ˈdɪsəplɪn/,[sound:self-discipline.mp3],tính kỷ luật bản thân,Achieving long-term goals requires a high level of {{c1::self-discipline}}.,"Khả năng tự kiểm soát suy nghĩ, cảm xúc và hành vi để hoàn thành mục tiêu.",The ability to control one's feelings and overcome one's weaknesses.,"require self-discipline, lack of self-discipline, maintain self-discipline","Syn: self-control, willpower | Ant: indiscipline, self-indulgence",exercise self-discipline (rèn luyện kỷ luật bản thân),Tiền tố 'self-' (bản thân) + 'discipline' (kỷ luật).,"Neutral - Dùng trong giáo dục, thể thao, phát triển cá nhân."
expenses,"<img src=""expenses.jpg"">",/ɪkˈspensɪz/,[sound:expenses.mp3],"chi phí, khoản chi tiêu",You should keep track of your daily {{c1::expenses}} to save money.,"Số tiền phải chi ra cho một hoạt động, sản phẩm hay dịch vụ nào đó.",The cost required for something; the money spent on something.,"cover expenses, daily expenses, living expenses","Syn: costs, expenditures, outlays | Ant: income, revenue",at the expense of (trả giá bằng cái gì),"Gốc Latin 'expendere' (chi ra, tiêu tiền) + số nhiều '-es'.",Neutral/Business - Dùng phổ biến trong tài chính cá nhân và doanh nghiệp.
overspending,,/ˌoʊvərˈspendɪŋ/,[sound:overspending.mp3],sự chi tiêu quá độ,Uncontrolled {{c1::overspending}} can lead to severe personal debt.,Chỉ hành vi dùng quá nhiều tiền vượt quá khả năng tài chính hoặc ngân sách cho phép.,The act of spending more money than one can afford or than was planned.,"avoid overspending, overspending habits, curb overspending","Syn: excessive spending; Ant: saving, thrift","splash out, burn a hole in one's pocket",over- (tiền tố: quá) + spend (ngữ căn: tiêu tiền) + -ing (hậu tố danh từ),Neutral / Financial - Được dùng phổ biến trong cả giao tiếp hàng ngày và phân tích tài chính.
environment,"<img src=""environment.jpg"">",/ɪnˈvaɪrənmənt/,[sound:environment.mp3],môi trường,We must take action to protect the natural {{c1::environment}}.,"Điều kiện tự nhiên (không khí, nước, đất) hoặc điều kiện xung quanh nơi con người, động vật sinh sống và làm việc.","The surroundings or conditions in which a person, animal, or plant lives or operates.","protect the environment, work environment, natural environment","Syn: surroundings, atmosphere, habitat; Ant: N/A",a fish out of water,environ (ngữ căn: bao quanh) + -ment (hậu tố danh từ),Neutral / Academic - Dùng rộng rãi trong cả văn nói đời thường và bài viết học thuật.
positive,"<img src=""positive.jpg"">",/ˈpɑːzətɪv/,[sound:positive.mp3],"tích cực, lạc quan",Maintaining a {{c1::positive}} attitude helps you overcome difficult challenges.,"Thể hiện sự hy vọng, tự tin, hoặc kết quả tốt đẹp; mang tính xây dựng hoặc khẳng định.","Constructive, optimistic, or showing agreement and certainty.","positive attitude, positive impact, positive response","Syn: optimistic, constructive; Ant: negative, pessimistic",look on the bright side,"posit (ngữ căn: đặt, để) + -ive (hậu tố tính từ)",Neutral - Thích hợp trong mọi ngữ cảnh giao tiếp.
habitat,"<img src=""habitat.jpg"">",/ˈhæbɪtæt/,[sound:habitat.mp3],môi trường sống tự nhiên,Deforestation threatens the natural {{c1::habitat}} of many animals.,Môi trường tự nhiên nơi động vật hoặc thực vật sinh sống và phát triển.,"The natural home or environment of an animal, plant, or organism.","natural habitat, habitat destruction, wildlife habitat","Syn: ecosystem, home, territory | Ant: N/A",in its natural habitat,"Gốc Latin 'habitare' (sinh sống, trú ngụ)","Academic/Scientific - Thường dùng trong khoa học, sinh học và địa lý."
accomplish,"<img src=""accomplish.jpg"">",/əˈkɑːmplɪʃ/,[sound:accomplish.mp3],"hoàn thành, đạt được",She worked hard to {{c1::accomplish}} all her daily goals.,"Thực hiện thành công một công việc, mục tiêu hoặc nhiệm vụ sau nhiều nỗ lực.",To achieve or complete something successfully.,"accomplish a goal, accomplish a mission, accomplish a task","Syn: achieve, fulfill, complete; Ant: fail, give up","carry out, pull off",ac- (tiền tố: hướng tới) + compl (ngữ căn: làm đầy) + -ish (hậu tố động từ),"Formal / Academic - Thường dùng trong báo cáo, môi trường làm việc hoặc bài viết trang trọng."
perform,"<img src=""perform.jpg"">",/pərˈfɔːrm/,[sound:perform.mp3],"thực hiện, biểu diễn",The doctor will {{c1::perform}} the surgery early tomorrow morning.,Thực hiện một hành động/nhiệm vụ hoặc trình diễn một tiết mục nghệ thuật trước khán giả.,To carry out an action or present a form of entertainment to an audience.,"perform a surgery, perform well, perform a duty","Syn: execute, conduct, present; Ant: neglect, ignore",perform miracles,per- (tiền tố: hoàn toàn) + form (ngữ căn: hình dáng/làm),Neutral / Formal - Dùng linh hoạt từ nghệ thuật biểu diễn đến môi trường công việc chuyên nghiệp.
ability,"<img src=""ability.jpg"">",/əˈbɪləti/,[sound:ability.mp3],"khả năng, năng lực",He has a natural {{c1::ability}} to learn languages quickly.,Năng lực hoặc kỹ năng vốn có/học được để làm một việc gì đó.,Possession of the means or skill to do something.,"ability to do something, natural ability, test one's ability","Syn: capacity, capability, skill; Ant: inability, weakness",to the best of one's ability,able (ngữ căn: có thể) + -ity (hậu tố danh từ),Neutral - Từ vựng cơ bản dùng trong mọi tình huống.
must,"<img src=""must.jpg"">",/mʌst/,[sound:must.mp3],"phải, bắt buộc",You {{c1::must}} wear a helmet when riding a motorcycle.,"Động từ khuyết thiếu dùng để diễn tả sự bắt buộc, bổn phận hoặc suy đoán chắc chắn.","Used to express obligation, necessity, or strong probability.","must do, must have, a absolute must","Syn: have to, need to; Ant: need not, mustn't",a must-have item,"Gốc Từ tiếng Đức cổ (Modal verb, không phân tích tiền/hậu tố)",Neutral - Sử dụng rất rộng rãi để nhấn mạnh tính bắt buộc hoặc dự đoán.
rent,"<img src=""rent.jpg"">",/rent/,[sound:rent.mp3],"thuê, tiền thuê",They decided to {{c1::rent}} an apartment near the university.,"Trả tiền để sử dụng tài sản (nhà, xe...) trong thời gian ngắn/dài, hoặc số tiền dùng để thuê.","To pay someone for the use of something, or the regular payment made for using property.","rent an apartment, pay the rent, high rent","Syn: hire, lease; Ant: sell, buy","for rent, rent out",Gốc Từ tiếng Pháp cổ 'rente' (không phân tích tiền/hậu tố),Neutral - Từ vựng đời sống thông dụng hàng ngày.
tend to,,/tend tuː/,[sound:tendto.mp3],có xu hướng,People {{c1::tend to}} stay indoors when it rains heavily.,Thường làm điều gì đó hoặc phát triển theo một hướng cụ thể.,To be likely to behave in a particular way or have a particular characteristic.,"tend to agree, tend to focus, tend to be","Syn: incline to, be prone to; Ant: be unlikely to",N/A,tend (ngữ căn: hướng về) + to (giới từ),Neutral / Academic - Rất phổ biến trong cả mô tả hành vi hàng ngày lẫn báo cáo khoa học/học thuật.
