English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
extended family,,/ɪkˌstendɪd ˈfæməli/,[sound:extendedfamily.mp3],"Gia đình đa thế hệ, đại gia đình","He enjoys living with his {{c1::extended family}}, including his grandparents and aunts.","Gia đình mở rộng gồm nhiều thế hệ (ông bà, chú bác, cô dì, anh chị em họ).",A family that includes not only parents and children but also other relatives.,"extended family members, live with an extended family",Syn: joint family / Ant: nuclear family,N/A,extended (mở rộng) + family (gia đình),Academic/Sociological.
conflict,"<img src=""conflict.jpg"">",/ˈkɑːnflɪkt/,[sound:conflict.mp3],"Xung đột, mâu thuẫn",Parents and teenagers often face {{c1::conflict}} due to different opinions.,"Sự bất đồng, va chạm gay gắt giữa các ý kiến hoặc lợi ích.",A serious disagreement or argument.,"resolve a conflict, family conflict, conflict of interest","Syn: disagreement, dispute, clash / Ant: harmony, agreement",come into conflict with,Tiền tố con- (cùng nhau) + root fligere (đánh/va chạm),Formal/Neutral.
arise,"<img src=""arise.jpg"">",/əˈraɪz/,[sound:arise.mp3],"Nảy sinh, phát sinh",Problems may {{c1::arise}} if family rules are not clearly defined.,"Bắt đầu xuất hiện hoặc xảy ra (thường dùng cho vấn đề, tình huống).",(Of a problem or situation) to begin to happen or exist.,"problems arise, opportunity arises, issues arise","Syn: occur, emerge, happen / Ant: disappear, vanish",arise from (bắt nguồn từ),Tiền tố a- (khởi phát) + rise (nổi lên),Formal/Neutral.
responsibility,"<img src=""responsibility.jpg"">",/rɪˌspɑːnsəˈbɪləti/,[sound:responsibility.mp3],"Trách nhiệm, nhiệm vụ",Sharing household tasks gives teenagers a sense of {{c1::responsibility}}.,Nghĩa vụ phải thực hiện công việc hoặc chịu hậu quả cho hành vi.,The state or fact of having a duty to deal with something.,"take responsibility, sense of responsibility, social responsibility","Syn: duty, obligation / Ant: irresponsibility",shoulder the responsibility,responsible + -ity (hậu tố tạo danh từ),Neutral (Trung tính).
character,"<img src=""character.jpg"">",/ˈkærəktər/,[sound:character.mp3],"Tính cách, nhân cách",Overcoming difficulties helps build strong moral {{c1::character}}.,"Các phẩm chất tâm lý, đạo đức tạo nên tính cách riêng của con người.",The particular qualities that make a person different from others.,"build character, strong character, character trait","Syn: personality, nature, disposition / Ant: N/A",out of character,Gốc Hy Lạp 'kharakter' (dấu khắc/ấn),Neutral (Trung tính).
gratitude,"<img src=""gratitude.jpg"">",/ˈɡrætɪtuːd/,[sound:gratitude.mp3],Lòng biết ơn,She expressed her deep {{c1::gratitude}} to her parents for their endless support.,Tình cảm trân trọng và thành kính trước sự giúp đỡ của người khác.,The quality of being thankful; appreciation.,"express gratitude, show gratitude, deep gratitude","Syn: thankfulness, appreciation / Ant: ingratitude",in gratitude for,Gốc Latin 'gratus' (biết ơn) + -itude (hậu tố danh từ),Formal/Warm - Mang sắc thái trang trọng và chân thành.
truthful,"<img src=""truthful.jpg"">",/ˈtruːθfl/,[sound:truthful.mp3],"Trung thực, thành thật",It is always best to be {{c1::truthful}} with your family members.,"Nói hoặc thể hiện đúng sự thật, không gian dối.",Telling or expressing the truth; honest.,"truthful answer, truthful account, stay truthful","Syn: honest, sincere / Ant: dishonest, truthful",to be truthful with you,truth (sự thật) + -ful (đầy),Neutral (Trung tính).
strengthen,"<img src=""strengthen.jpg"">",/ˈstreŋkθn/,[sound:strengthen.mp3],"Củng cố, làm cho mạnh mẽ hơn",Spending quality time together will {{c1::strengthen}} family bonds.,"Làm cho tình cảm, mối quan hệ hoặc sức mạnh trở nên vững chắc hơn.",To make or become stronger.,"strengthen ties, strengthen relationship, strengthen position","Syn: reinforce, bolster, enhance / Ant: weaken",N/A,strength (sức mạnh) + -en (hậu tố động từ),Neutral (Trung tính).
digital native,,/ˌdɪdʒɪtl ˈneɪtɪv/,[sound:digitalnative.mp3],Người sinh ra trong thời đại công nghệ số,"As {{c1::digital natives}}, teenagers are used to using technology every day.","Thế hệ lớn lên cùng với các thiết bị công nghệ hiện đại như máy tính, internet.",A person brought up during the age of digital technology.,"generation of digital natives, true digital native",Syn: tech-savvy youth / Ant: digital immigrant,N/A,digital (kỹ thuật số) + native (bản địa),Modern/Sociological - Thuật ngữ hiện đại.
view,"<img src=""view.jpg"">",/vjuː/,[sound:view.mp3],"Quan điểm, góc nhìn",Teenagers and parents often have different {{c1::views}} on life.,"Ý kiến, suy nghĩ hoặc thái độ về một vấn đề.",An opinion or belief about something.,"express views, point of view, differ in views","Syn: opinion, perspective, viewpoint / Ant: N/A","in view of, take a view",Gốc Pháp cổ 'veue' (sự nhìn),Neutral (Trung tính).
private,"<img src=""private.jpg"">",/ˈpraɪvət/,[sound:private.mp3],"Riêng tư, cá nhân",He keeps his journal in a {{c1::private}} drawer that nobody else opens.,"Thuộc quyền cá nhân, không muốn chia sẻ rộng rãi.",Belonging to or for the use of one particular person only.,"private life, private room, private space","Syn: personal, confidential / Ant: public",in private,Gốc Latin 'privatus' (tách biệt/cá nhân),Neutral (Trung tính).
privacy,"<img src=""privacy.jpg"">",/ˈpraɪvəsi/,[sound:privacy.mp3],"Quyền riêng tư, sự riêng tư",Parents should respect their teenagers' need for {{c1::privacy}}.,Trạng thái cá nhân không bị người khác nhòm ngó hay can thiệp.,The state of being free from public attention or intrusion.,"respect privacy, invade privacy, right to privacy","Syn: seclusion, confidentiality / Ant: publicity",invasion of privacy,private + -cy (hậu tố danh từ),Neutral (Trung tính).
freedom,"<img src=""freedom.jpg"">",/ˈfriːdəm/,[sound:freedom.mp3],"Tự do, quyền tự do",Teenagers often desire more {{c1::freedom}} to make their own decisions.,Khả năng hành động hoặc đưa ra lựa chọn theo ý mình mà không bị áp đặt.,"The power or right to act, speak, or think without hindrance.","personal freedom, freedom of choice, freedom of speech","Syn: liberty, independence / Ant: restriction, constraint",freedom of choice,free (tự do) + -dom (hậu tố chỉ trạng thái),Neutral (Trung tính).
respect,"<img src=""respect.jpg"">",/rɪˈspekt/,[sound:respect.mp3],"Tôn trọng, sự tôn trọng",Family members should always treat each other with {{c1::respect}}.,"Thái độ coi trọng danh dự, ý kiến hoặc quyền lợi của người khác.",Admiration for someone because of their qualities or achievements.,"mutual respect, show respect, earn respect","Syn: honor, esteem, admiration / Ant: disrespect, insult",show respect for,Tiền tố re- (lại) + root specere (nhìn) -> nhìn nhận coi trọng,Neutral (Trung tính).
normal,"<img src=""normal.jpg"">",/ˈnɔːrml/,[sound:normal.mp3],"Bình thường, thông thường",It is completely {{c1::normal}} to have disagreements within a family.,"Phù hợp với quy chuẩn thông thường, không có gì khác lạ.","Conforming to a standard; usual, typical, or expected.","completely normal, return to normal, normal behavior","Syn: typical, usual, standard / Ant: abnormal, unusual",back to normal,Gốc Latin 'norma' (quy tắc) + -al (hậu tố tính từ),Neutral (Trung tính).
argument,"<img src=""argument.jpg"">",/ˈɑːrɡjumənt/,[sound:argument.mp3],"Cuộc tranh cãi, lập luận",They had a minor {{c1::argument}} about who should do the dishes.,"Cuộc bất đồng ý kiến gây ra tranh cãi, hoặc lý lẽ thuyết phục.","An exchange of diverging or opposite views, typically a heated one.","have an argument, heated argument, win an argument","Syn: dispute, quarrel, debate / Ant: agreement, consensus",get into an argument,argue (tranh luận) + -ment (hậu tố danh từ),Neutral (Trung tính).
curious,"<img src=""curious.jpg"">",/ˈkjʊriəs/,[sound:curious.mp3],"Tò mò, hiếu kỳ",Children are naturally {{c1::curious}} about how things work.,"Khao khát tìm hiểu, khám phá điều mới mẻ.",Eager to know or learn something.,"curious about, naturally curious, remain curious","Syn: inquisitive, interested / Ant: indifferent, uninterested",curiosity killed the cat,Gốc Latin 'cura' (chăm sóc/quan tâm) + -ous (hậu tố tính từ),Neutral (Trung tính).
experiment,"<img src=""experiment.jpg"">",/ɪkˈsperɪmənt/,[sound:experiment.mp3],"Thí nghiệm, thử nghiệm",Teenagers often {{c1::experiment}} with new personal fashion styles.,Thử làm điều mới để học hỏi hoặc tìm ra kết quả.,Try out new concepts or ways of doing things.,"experiment with, conduct an experiment, laboratory experiment","Syn: test, try out, trial / Ant: N/A",trial and error,Tiền tố ex- (ra ngoài) + root periri (thử nghiệm),Neutral (Trung tính).
value,"<img src=""value.jpg"">",/ˈvæljuː/,[sound:value.mp3],"Giá trị, chuẩn mực",Parents pass down moral {{c1::values}} to their children.,"Các nguyên tắc, niềm tin quan trọng định hình hành vi và thái độ.",Principles or standards of behavior; judgment of importance.,"family values, moral values, place value on","Syn: principle, standard, merit / Ant: worthlessness",at face value,Gốc Latin 'valere' (có giá trị/mạnh mẽ),Neutral (Trung tính).
influence,"<img src=""influence.jpg"">",/ˈɪnfluəns/,[sound:influence.mp3],"Ảnh hưởng, tác động",Parents have a huge {{c1::influence}} on their children's life choices.,"Tác động làm thay đổi suy nghĩ, hành vi hoặc sự phát triển của ai đó.",The capacity to have an effect on someone's character or behavior.,"strong influence, have an influence on, positive influence","Syn: impact, effect, sway / Ant: powerlessness",under the influence (of),Tiền tố in- (vào) + root fluere (chảy),Neutral (Trung tính).
essential,"<img src=""essential.jpg"">",/ɪˈsen.ʃəl/,[sound:essential.mp3],"thiết yếu, quan trọng",Water is {{c1::essential}} for all living things to survive.,"Miêu tả điều gì đó hoàn toàn cần thiết, không thể thiếu hoặc mang tính bản chất.",Completely necessary or extremely important.,"essential element, play an essential role, essential service","Syn: crucial, vital | Ant: optional, unnecessary",in essence (về bản chất),Gốc từ Latin 'essentia' (bản chất) + hậu tố tính từ '-ial'.,Neutral/Academic - Dùng trong cả văn viết chính thức và giao tiếp hàng ngày.
act,"<img src=""act.jpg"">",/ækt/,[sound:act.mp3],"hành động, đạo luật, diễn",We need to {{c1::act}} quickly before the situation gets worse.,"Vừa làm động từ (hành động, đóng vai) vừa là danh từ (hành vi, đạo luật, màn biểu diễn).",To take action or do something; a thing done.,"act of kindness, act as, act on impulse","Syn: perform, behave, action | Ant: refrain, inactivity","act up (giở trò, quấy khóc), act out (bộc lộ cảm xúc qua hành vi)","Gốc Latin 'actus' (sự làm, chuyển động).",Neutral - Sử dụng phổ biến trong mọi ngữ cảnh.
grow,"<img src=""grow.jpg"">",/ɡrəʊ/,[sound:grow.mp3],"phát triển, lớn lên, trồng",Children {{c1::grow}} very fast during their first few years.,"Chỉ sự gia tăng về kích thước, số lượng hoặc sự phát triển của con người, thực vật, ý tưởng.","To increase in size, amount, degree, or severity.","grow up, grow exponentially, grow rapidly","Syn: expand, develop, increase | Ant: shrink, decline","grow on someone (ngày càng làm ai đó thích), grow out of something (không còn thích/vừa cái gì)","Gốc Anh cổ 'grōwan' (phát triển, xanh tươi).",Neutral - Từ vựng căn bản sử dụng trong mọi văn cảnh.
kind,"<img src=""kind.jpg"">",/kaɪnd/,[sound:kind.mp3],tốt bụng; loại,"Thank you for your {{c1::kind}} words, they really cheered me up.","Tính từ: thể hiện sự tử tế, chu đáo. Danh từ: loại, nhóm có chung đặc điểm.",Caring and helpful; or a group with similar characteristics.,"kind of, kind heart, kind gesture","Syn: thoughtful, gentle, type | Ant: cruel, unkind","kind of (có vẻ, một chút), one of a kind (độc nhất vô nhị)","Gốc Anh cổ 'cynd' (bản chất, nguồn gốc, tự nhiên).","Neutral/Informal - Thân thiện, dùng phổ biến trong giao tiếp."
calm,"<img src=""calm.jpg"">",/kɑːm/,[sound:calm.mp3],"bình tĩnh, êm đềm",Please stay {{c1::calm}} and follow the emergency evacuation procedures.,"Mô tả trạng thái không bị kích động, giận dữ, hoặc thời tiết, mặt biển không có sóng gió.","Not showing or feeling nervousness, anger, or other strong emotions.","stay calm, calm down, calm sea","Syn: peaceful, serene, tranquil | Ant: excited, agitated, stormy","calm down (bình tĩnh lại), the calm before the storm (sự yên bình trước dông bão)","Gốc Latin muộn 'cauma' (sự nghỉ ngơi ban trưa), qua tiếng Pháp cổ thành 'calme'.",Neutral - Sử dụng linh hoạt trong nhiều hoàn cảnh.
mealtimes,"<img src=""mealtimes.jpg"">",/ˈmiːl.taɪmz/,[sound:mealtimes.mp3],giờ ăn,It is important to turn off screens during family {{c1::mealtimes}}.,Danh từ số nhiều chỉ những khoảng thời gian cố định trong ngày dành cho việc ăn uống.,The times at which meals are regularly eaten.,"regular mealtimes, family mealtimes, at mealtimes",Syn: dining hours | Ant: N/A,N/A,Từ ghép giữa 'meal' (bữa ăn) + 'time' (thời gian) + danh từ số nhiều '-s'.,Neutral - Thường dùng trong đời sống hàng ngày và thảo luận sinh hoạt.
