English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
devote,"<img src=""devote.jpg"">",/dɪˈvəʊt/,[sound:devote.mp3],"dành trọn, cống hiến",She decided to {{c1::devote}} her life to helping poor children.,"Dành toàn bộ thời gian, công sức hoặc tài nguyên cho một mục đích hoặc một ai đó.",To give all or a large part of one's time or resources to a person or activity.,"devote time to, devote energy to, devote oneself to","Syn: dedicate, consecrate | Ant: withhold, ignore",N/A,de- (hoàn toàn) + vote/vovere (thề nguyện),Formal/Expressive - Thể hiện sự tâm huyết và hy sinh cao cả.
extended family,,/ɪkˌstendɪd ˈfæməli/,[sound:extendedfamily.mp3],"gia đình đại gia đình, gia đình nhiều thế hệ","In many Asian cultures, people live with their {{c1::extended family}}.","Gia đình gồm nhiều thế hệ sống chung hoặc gắn kết gần gũi (ông bà, chú bác, cô dì, anh chị em họ).","A family that extends beyond the nuclear family, including grandparents, aunts, uncles, and cousins.","live with extended family, extended family member",Syn: joint family | Ant: nuclear family,N/A,extended (được mở rộng) + family (gia đình),Neutral/Academic - Dùng nhiều trong thảo luận xã hội và văn hóa.
conflict,"<img src=""conflict.jpg"">",/ˈkɒn.flɪkt/,[sound:conflict.mp3],"Xung đột, mâu thuẫn",Generational differences can lead to serious family {{c1::conflict}}.,"Sự bất đồng nghiêm trọng hoặc sự đối lập kéo dài về quan điểm, lợi ích giữa các bên.",A serious disagreement or argument about something important.,"resolve a conflict, conflict of interest, generational conflict","Syn: clash, friction | Ant: harmony, agreement",come into conflict with,"Prefix: con- (cùng nhau) + Root: flict (đánh, va chạm)",Neutral/Formal - Dùng trong cả văn phong trang trọng và đời sống.
harmony,"<img src=""harmony.jpg"">",/ˈhɑː.mə.ni/,[sound:harmony.mp3],"Sự hòa thuận, hài hòa",They managed to live together in complete {{c1::harmony}} despite their differences.,"Trạng thái sống hoặc làm việc cùng nhau một cách êm đẹp, không có mâu thuẫn hay tranh cãi.",A state of peaceful agreement and cooperation.,"live in harmony, family harmony, social harmony","Syn: concord, unity | Ant: conflict, discord",in harmony with,"Root: harmonia (tiếng Hy Lạp - sự gắn kết, sự hòa hợp)","Formal/Literary - Mang sắc thái trang trọng, tích cực."
duty,"<img src=""duty.jpg"">",/ˈdʒuː.ti/,[sound:duty.mp3],"Trách nhiệm, bổn phận",It is every child's {{c1::duty}} to show respect to their parents.,Nghĩa vụ đạo đức hoặc pháp lý mà một người có trách nhiệm phải thực hiện.,A moral or legal obligation; a responsibility.,"sense of duty, perform one's duty, call of duty","Syn: obligation, responsibility | Ant: irresponsibility","off duty, on duty","Root: due (nợ, đến hạn) + Suffix: -ty (tạo danh từ)",Neutral/Formal - Dùng khi nhấn mạnh bổn phận đạo đức/pháp lý.
dependence,"<img src=""dependence.jpg"">",/dɪˈpendəns/,[sound:dependence.mp3],sự phụ thuộc,Economic {{c1::dependence}} can limit a country's freedom in foreign policy.,"Trạng thái phụ thuộc, cậy dựa vào người khác hoặc cái gì đó để sinh tồn, phát triển.",The state of relying on or being controlled by someone or something else.,"heavy dependence, reduce dependence, financial dependence","Syn: reliance, addiction | Ant: independence, autonomy",N/A,de- (xuống) + pend (treo) + -ence (hậu tố danh từ) -> treo vào người khác,"Neutral/Academic - Thường dùng trong kinh tế, tâm lý, xã hội."
viewpoint,"<img src=""viewpoint.jpg"">",/ˈvjuːpɔɪnt/,[sound:viewpoint.mp3],"quan điểm, góc nhìn","From a financial {{c1::viewpoint}}, this project is risky.","Cách nhìn nhận, thái độ hoặc ý kiến cá nhân về một vấn đề cụ thể.",A person's opinion or a particular way of thinking about something.,"from my viewpoint, different viewpoints, political viewpoint","Syn: point of view, perspective, stance | Ant: N/A",N/A,view (nhìn) + point (điểm) -> điểm nhìn,Neutral - Dùng linh hoạt trong cả giao tiếp hàng ngày và thảo luận trang trọng.
potential,"<img src=""potential.jpg"">",/pəˈtenʃl/,[sound:potential.mp3],tiềm năng,The young player has the {{c1::potential}} to become a world-class athlete.,"Khả năng phát triển, thành công hoặc trở thành cái gì đó trong tương lai.",Qualities or abilities that may be developed and lead to future success or usefulness.,"full potential, potential customer, reach one's potential","Syn: capacity, capability, promise | Ant: inability, weakness",N/A,pot- (sức mạnh/khả năng) + -ial (hậu tố tính từ/danh từ),"Neutral/Professional - Thường dùng trong đánh giá năng lực, kinh doanh, giáo dục."
influence,"<img src=""influence.jpg"">",/ˈɪnfluəns/,[sound:influence.mp3],"sự ảnh hưởng, ảnh hưởng",Parents have a profound {{c1::influence}} on their children's character.,"Sức mạnh tác động làm thay đổi suy nghĩ, hành vi hoặc sự phát triển của ai/cái gì.","The capacity to have an effect on the character, development, or behaviour of someone or something.","have an influence on, strong influence, under the influence","Syn: impact, effect, sway | Ant: insignificance, powerlessness",under the influence (chịu ảnh hưởng của rượu/chất kích thích),"in- (vào) + flu (chảy) + -ence (hậu tố danh từ) -> chảy vào, tác động vào",Neutral - Dùng rất phổ biến trong mọi ngữ cảnh.
respect,"<img src=""respect.jpg"">",/rɪˈspekt/,[sound:respect.mp3],"sự tôn trọng, kính trọng",You should show {{c1::respect}} to elderly people in your community.,"Thái độ trân trọng, kính trọng người khác do phẩm chất, thành tựu hoặc vị trí của họ.","A feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements.","show respect, mutual respect, pay respect to","Syn: admiration, esteem, honor | Ant: disrespect, contempt","with respect to (xét về, liên quan tới)",re- (lại) + spect (nhìn) -> nhìn lại với sự coi trọng,Neutral - Từ cốt lõi trong giao tiếp văn minh và ứng xử.
focus,"<img src=""focus.jpg"">",/ˈfəʊkəs/,[sound:focus.mp3],"tập trung, tiêu điểm",Students should {{c1::focus}} on their exams rather than playing games.,"Dồn sự chú ý, năng lượng vào một đối tượng hoặc công việc cụ thể.","To pay particular attention to one subject, situation, or person.","focus on, main focus, sharp focus","Syn: concentrate, center | Ant: distract, scatter",in focus / out of focus (rõ nét / mờ nhòe),Nguồn gốc Latinh (mái ấm/tiêu điểm của ngọn lửa),"Neutral - Rất thông dụng trong công việc, học tập, nhiếp ảnh."
homemaker,"<img src=""homemaker.jpg"">",/ˈhəʊmmeɪkər/,[sound:homemaker.mp3],người nội trợ,"She works as a full-time {{c1::homemaker}}, caring for her three kids.","Người đảm nhận công việc quản lý nhà cửa, nấu ăn, chăm sóc gia đình (thường không đi làm bên ngoài).","A person, especially a housewife, who manages a home and family.","full-time homemaker, dedicated homemaker","Syn: housekeeper, housewife | Ant: breadwinner",N/A,home (nhà) + maker (người làm/xây dựng),Polite/Neutral - Mang tính tôn trọng hơn từ 'housewife'.
grocery,"<img src=""grocery.jpg"">",/ˈɡrəʊsəri/,[sound:grocery.mp3],thực phẩm và tạp hóa,I need to go to the {{c1::grocery}} store to buy some fresh vegetables.,Hàng hóa là thực phẩm và đồ dùng gia đình hàng ngày; hoặc cửa hàng bán các mặt hàng này.,Items of food and other goods sold in a supermarket or food store.,"grocery store, buy groceries, grocery shopping","Syn: food supplies, provisions | Ant: N/A",N/A,grocer (người bán tạp hóa) + -y (hậu tố chỉ nơi chốn/ngành nghề),Informal/Neutral - Dùng phổ biến trong đời sống sinh hoạt hàng ngày.
chore,"<img src=""chore.jpg"">",/tʃɔːr/,[sound:chore.mp3],"việc nhà, việc vặt",Washing the dishes is my least favorite household {{c1::chore}}.,"Nhiệm vụ nhỏ, công việc vặt hàng ngày quanh nhà (nấu ăn, dọn dẹp) hoặc công việc nhàm chán.","A routine task, especially a household one.","household chore, daily chore, do chores","Syn: task, errand, duty | Ant: leisure activity",be a chore (là một việc phiền phức/nhàm chán),Từ Tiếng Anh cổ 'charr' (công việc quay vòng),Informal/Neutral - Dùng trong sinh hoạt gia đình.
breadwinner,"<img src=""breadwinner.jpg"">",/ˈbredˌwɪn.ər/,[sound:breadwinner.mp3],Trụ cột gia đình,My father has been the primary {{c1::breadwinner}} of our family for over twenty years.,Thành viên trong gia đình kiếm tiền chính để trang trải cuộc sống cho cả nhà.,The member of a family who earns the money that the family needs to live.,"sole breadwinner, primary breadwinner, main breadwinner","Syn: provider, wage earner | Ant: dependent",bring home the bacon,Compound: bread (thức ăn/tiền) + winner (người kiếm được),Neutral - Từ thông dụng trong giao tiếp và báo chí.
understanding,"<img src=""understanding.jpg"">",/ˌʌndəˈstændɪŋ/,[sound:understanding.mp3],"sự thấu hiểu, có sự cảm thông",A good teacher is always patient and {{c1::understanding}} towards students.,"Khả năng hiểu rõ suy nghĩ, cảm xúc của người khác và thể hiện sự thông cảm.",Having insight or sympathy towards other people's feelings and problems.,"deep understanding, mutual understanding, sympathetic and understanding","Syn: sympathetic, empathetic, perception | Ant: misunderstanding, unsympathetic",come to an understanding (đạt được sự thỏa thuận),under- (ở giữa/sâu bên trong) + stand (đứng) + -ing (hậu tố tính từ/danh từ),"Neutral - Mang tính ấm áp, đồng cảm."
characteristic,"<img src=""characteristic.jpg"">",/ˌkærəktəˈrɪstɪk/,[sound:characteristic.mp3],"đặc điểm, đặc trưng",Generosity is a typical {{c1::characteristic}} of her family.,"Nét đặc trưng, nét riêng biệt giúp nhận diện một người, vật hoặc nhóm đối tượng.","A feature or quality belonging typically to a person, place, or thing and serving to identify them.","key characteristic, physical characteristic, characteristic feature","Syn: feature, trait, attribute | Ant: uncharacteristic (ngược ngữ cảnh)",N/A,character (tính cách/nhân vật) + -istic (hậu tố tạo tính từ/danh từ),"Neutral/Academic - Thường dùng trong mô tả khoa học, phân tích."
permission,"<img src=""permission.jpg"">",/pəˈmɪʃ.ən/,[sound:permission.mp3],Sự cho phép,You must ask for your parents' {{c1::permission}} before staying out late.,Sự chấp thuận hoặc đồng ý chính thức từ ai đó có thẩm quyền cho phép làm điều gì đó.,Official approval to do something.,"ask for permission, grant permission, without permission","Syn: authorization, consent | Ant: prohibition, refusal",with one's permission,Root: permit (cho phép) + Suffix: -ion (tạo danh từ),"Neutral/Formal - Trang trọng vừa phải, phổ biến."
experience,"<img src=""experience.jpg"">",/ɪkˈspɪə.ri.əns/,[sound:experience.mp3],"kinh nghiệm, trải nghiệm",Traveling alone was an unforgettable {{c1::experience}} for her.,"Kiến thức/kỹ năng có được từ thực tế (không đếm được), hoặc một sự kiện/kỷ niệm cụ thể đã trải qua (đếm được).","Practical contact with facts or events, or an event that leaves an impression.","gain experience, practical experience, work experience","Syn: knowledge, expertise | Ant: inexperience",speak from experience (nói từ kinh nghiệm thực tế),Tiền tố 'ex-' (ra) + Gốc La-tinh 'experiri' (thử nghiệm).,Neutral: Dùng cực kỳ phổ biến trong cả đời sống hàng ngày và tuyển dụng.
challenging,"<img src=""challenging.jpg"">",/ˈtʃælɪndʒɪŋ/,[sound:challenging.mp3],"đầy thách thức, khó khăn",Learning a new language can be a {{c1::challenging}} process.,"Mô tả việc gì đó khó khăn nhưng đòi hỏi sự nỗ lực, kích thích trí tuệ hoặc khả năng.",Testing one's abilities; demanding and demanding total effort.,"challenging job, challenging task, highly challenging","Syn: demanding, difficult, tough | Ant: easy, simple",N/A,challenge (thách thức) + -ing (hậu tố tính từ),Neutral/Positive - Mang sắc thái tích cực hơn 'difficult' (tập trung vào sự thử thách bản thân).
curious,"<img src=""curious.jpg"">",/ˈkjʊəriəs/,[sound:curious.mp3],"tò mò, hiếu kỳ",Children are naturally {{c1::curious}} about the world around them.,"Khao khát muốn biết, học hỏi hoặc tìm hiểu về những điều mới lạ.",Eager to know or learn something.,"curious about, curious mind, stay curious","Syn: inquisitive, interested, nosy | Ant: indifferent, uninterested",curiosity killed the cat (tò mò hại thân),curia/cura (sự chăm sóc/quan tâm) + -ous (hậu tố tính từ),Neutral - Thường mang ý nghĩa tích cực về sự ham học hỏi.
rewarding,"<img src=""rewarding.jpg"">",/rɪˈwɔːdɪŋ/,[sound:rewarding.mp3],"bổ ích, đáng làm","Teaching is a tough job, but it is deeply {{c1::rewarding}}.","Mang lại cảm giác thỏa mãn, hài lòng hoặc phần thưởng xứng đáng cho công sức bỏ ra.",Providing satisfaction or gratification; worthwhile.,"rewarding experience, rewarding career, highly rewarding","Syn: satisfying, fulfilling, worthwhile | Ant: unrewarding, fruitless",N/A,re- (lại) + ward (thưởng) + -ing (hậu tố tính từ),"Neutral/Positive - Thường dùng để miêu tả trải nghiệm, nghề nghiệp."
repetitive,"<img src=""repetitive.jpg"">",/rɪˈpetətɪv/,[sound:repetitive.mp3],lặp đi lặp lại,Factory workers often perform {{c1::repetitive}} tasks all day.,"Có tính chất lặp lại nhiều lần, đôi khi gây ra cảm giác nhàm chán.","Containing or involving repetition, especially to an excessive degree.","repetitive task, repetitive motion, repetitive work","Syn: monotonous, recurring, repetitive | Ant: varied, diverse",repetitive strain injury (chấn thương do vận động lặp đi lặp lại),re- (lại) + pete (yêu cầu/hướng tới) + -itive (hậu tố tính từ),Neutral/Slightly Negative - Thường ngụ ý công việc đơn điệu.
embrace,"<img src=""embrace.jpg"">",/ɪmˈbreɪs/,[sound:embrace.mp3],"đón nhận, ôm",We should {{c1::embrace}} new technologies to improve our work efficiency.,"Hành động ôm lấy ai đó, hoặc sẵn sàng chấp nhận, đón nhận một ý tưởng/sự thay đổi.","To accept or support a belief, theory, or change willingly and enthusiastically; or to hug.","embrace change, embrace technology, warm embrace","Syn: accept, welcome, hug | Ant: reject, refuse",N/A,em- (trong) + brace/brachium (vòng tay),"Formal/Expressive - Thường dùng trong ngữ cảnh đổi mới, chấp nhận tư tưởng mới."
inhabitant,"<img src=""inhabitant.jpg"">",/ɪnˈhæbɪtənt/,[sound:inhabitant.mp3],"cư dân, người cư trú",The local {{c1::inhabitant}}s were friendly and welcomed the tourists warmly.,"Người hoặc động vật sống lâu dài ở một nơi, một khu vực nhất định.",A person or animal that lives in or occupies a place.,"local inhabitant, city inhabitant, original inhabitant","Syn: resident, dweller, occupant | Ant: visitor, transient",N/A,in- (trong) + habit (ở/sinh sống) + -ant (hậu tố chỉ người),"Neutral/Formal - Dùng trong mô tả dân số, văn bản địa lý, xã hội."
