English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
gender role,,/ˈdʒen.də rəʊl/,[sound:genderrole.mp3],vai trò giới tính,Traditional {{c1::gender roles}} are changing in modern society.,Danh từ ghép chỉ chuẩn mực xã hội và hành vi được coi là phù hợp cho nam hoặc nữ trong một văn hóa.,Socially constructed roles and behaviors assigned to men and women.,"traditional gender role, gender role stereotype, fluid gender roles",Syn: gender function / Ant: N/A,break gender roles (phá vỡ vai trò giới tính truyền thống),"Ghép bởi 'gender' (giới tính) + 'role' (vai trò, nhiệm vụ).","Academic/Formal - Rất hay gặp trong xã hội học, giáo dục."
community,"<img src=""community.jpg"">",/kəˈmjuː.nə.ti/,[sound:community.mp3],cộng đồng,We should do more to help our local {{c1::community}}.,"Danh từ chỉ tập hợp những người sống cùng một khu vực hoặc có chung lợi ích, đặc điểm, văn hóa.",A group of people living in the same place or having a particular characteristic in common.,"local community, community service, sense of community","Syn: society, group, public / Ant: individual",pillar of the community (trụ cột của cộng đồng),"Gốc Latin 'communitas' (sự chung sống, cộng đồng) từ 'communis' (chung).",Neutral - Sử dụng phổ biến trong sinh hoạt xã hội và học thuật.
sign of,,/saɪn ɒv/,[sound:signof.mp3],dấu hiệu của,Dark clouds are a clear {{c1::sign of}} rain.,"Cụm danh từ chỉ điềm báo, biểu hiện hoặc bằng chứng cho thấy sự tồn tại/sắp xảy ra của điều gì đó.","An indication, symptom, or evidence of something.","sign of life, sign of weakness, sign of improvement","Syn: indication of, symptom of / Ant: N/A",show no sign of (không có dấu hiệu gì của việc...),Danh từ sign + giới từ of.,Neutral - Dùng phổ biến cả trong văn nói và văn viết.
confident,"<img src=""confident.jpg"">",/ˈkɒn.fɪ.dənt/,[sound:confident.mp3],"tự tin, tin tưởng",He feels {{c1::confident}} about his upcoming interview.,Tính từ mô tả cảm giác tin tưởng chắc chắn vào khả năng của mình hoặc sự thành công của điều gì đó.,Feeling or showing certainty about something or self-assurance.,"feel confident, confident smile, confident manner","Syn: self-assured, certain / Ant: insecure, doubtful",confident in oneself (tự tin vào bản thân),Gốc Latin 'confidens' (sự tin tưởng tuyệt đối).,"Neutral - Thường dùng để miêu tả tính cách, cảm xúc con người."
apology,"<img src=""apology.jpg"">",/əˈpɒl.ə.dʒi/,[sound:apology.mp3],Lời xin lỗi,He offered a sincere {{c1::apology}} for his late arrival.,"Sự bày tỏ lòng hối tiếc hoặc hối hận vì một hành vi sai trái, một lỗi lầm hoặc sự xúc phạm đã gây ra cho người khác.","An expression of regret or failure, especially for an offense or discourtesy.","offer/make an apology, accept an apology, sincere apology","Syn: regret, excuse; Ant: accusation, insult",demand an apology,"Có nguồn gốc từ tiếng Hy Lạp 'apologia' (bài phát biểu bào chữa), gồm tiền tố 'apo-' (ra khỏi, xa khỏi) và 'logos' (lời nói, ngôn từ).","Formal/Neutral. Thường dùng trong các văn cảnh trang trọng như công việc, ngoại giao, hoặc lời xin lỗi chân thành trong đời sống."
bond,"<img src=""bond.jpg"">",/bɒnd/,[sound:bond.mp3],"Mối liên kết, sự gắn kết",The shared experience created a strong {{c1::bond}} between the two soldiers.,"Mối quan hệ tình cảm, sự gắn bó chặt chẽ hoặc liên kết bền vững giữa con người với nhau, hoặc giữa các nhóm xã hội.",A close connection joining two or more people or things.,"close bond, create/form a bond, emotional bond","Syn: connection, tie, link; Ant: separation, detachment",bond with someone,"Bắt nguồn từ tiếng Anh trung cổ 'band' (dây buộc, vật trói buộc), chỉ sự ràng buộc chặt chẽ không thể tách rời.",Neutral. Được dùng rộng rãi từ giao tiếp hàng ngày cho đến các bài viết tâm lý học hoặc xã hội học.
breadwinner,"<img src=""breadwinner.jpg"">",/ˈbredˌwɪn.ər/,[sound:breadwinner.mp3],Trụ cột gia đình (người kiếm tiền chính),"In many traditional families, the father is the primary {{c1::breadwinner}}.",Người thành viên trong gia đình đảm nhận việc đi làm kiếm tiền chính để trang trải các chi phí cuộc sống cho cả nhà.,The member of a family who earns the money that the family needs.,"sole breadwinner, primary breadwinner, family breadwinner","Syn: provider, earner; Ant: dependent",bring home the bacon,"Từ ghép giữa 'bread' (bánh mì, ẩn dụ cho thức ăn/tiền bạc) và 'winner' (người chiến thắng, ở đây hiểu là người giành lấy/mang về).","Neutral. Rất phổ biến trong các chủ đề về cấu trúc gia đình, xã hội học và đời sống thường ngày."
chore,"<img src=""chore.jpg"">",/tʃɔːr/,[sound:chore.mp3],Công việc vặt (thường là việc nhà),Doing the household {{c1::chores}} is a shared responsibility in our family.,"Những công việc nhỏ, lặp đi lặp lại hàng ngày, thường là việc dọn dẹp nhà cửa hoặc các công việc hành chính tẻ nhạt.","A routine task, especially a household one.","daily chores, household chores, do/perform chores","Syn: task, job, duty; Ant: leisure, hobby","a domestic chore, run errands","Phát triển từ từ 'char' trong tiếng Anh cổ (turn of work - lượt làm việc), chỉ những công việc định kỳ.","Neutral/Informal. Thường mang sắc thái hơi tiêu cực vì ám chỉ những việc tẻ nhạt, chán ngắt nhưng bắt buộc phải làm."
comfort,"<img src=""comfort.jpg"">",/ˈkʌm.fət/,[sound:comfort.mp3],"Sự an ủi, sự thoải mái, tiện nghi",The soft blankets and warm fire provided great {{c1::comfort}} on a cold night.,"Trạng thái dễ chịu về mặt thể chất hoặc sự xoa dịu, an ủi về tinh thần khi gặp đau buồn, khó khăn.",A state of physical ease and freedom from pain or constraint; consolation.,"seek comfort, offer comfort, comfort zone","Syn: solace, ease, consolation; Ant: discomfort, distress, agony",take comfort in,"Gồm tiền tố 'com-' (cùng nhau, mang tính củng cố) và gốc Latin 'fortis' (mạnh mẽ) -> mang lại sức mạnh tinh thần cho ai đó.",Neutral. Sử dụng vô cùng phổ biến trong đời sống hàng ngày cũng như văn chương nghệ thuật.
conflict,"<img src=""conflict.jpg"">",/ˈkɒn.flɪkt/,[sound:conflict.mp3],"Sự mâu thuẫn, xung đột",Communication is key to resolving any family {{c1::conflict}}.,"Sự bất đồng gay gắt hoặc tranh chấp kéo dài giữa các cá nhân, quốc gia hoặc tổ chức về lợi ích, quan điểm hoặc mục tiêu.","A serious disagreement or argument, typically a protracted one.","resolve a conflict, potential conflict, conflict of interest","Syn: dispute, clash, struggle; Ant: harmony, agreement, peace",come into conflict,"Từ gốc Latin 'conflictus' (va đập vào nhau), kết hợp giữa 'con-' (cùng nhau) và 'fligere' (đánh, đập).","Neutral/Academic. Thường dùng nhiều trong các bối cảnh chính trị, xã hội, tâm lý và giao tiếp chuyên nghiệp."
cooperation,"<img src=""cooperation.jpg"">",/koʊˌɒp.əˈreɪ.ʃən/,[sound:cooperation.mp3],Sự hợp tác,Successful completion of the project requires close {{c1::cooperation}} among all departments.,Hành động làm việc chung hoặc phối hợp với người khác để đạt được một mục tiêu hoặc lợi ích chung.,The process of working together to the same end.,"close cooperation, international cooperation, in cooperation with","Syn: collaboration, teamwork; Ant: competition, opposition, conflict",pull together,"Gồm tiền tố 'co-' (cùng nhau), gốc từ 'operate' (vận hành, làm việc) và hậu tố danh từ '-tion' (chỉ hành động, trạng thái).","Formal/Neutral. Thường xuất hiện nhiều trong môi trường công sở, chính trị, kinh tế và các văn bản học thuật."
disagreement,"<img src=""disagreement.jpg"">",/ˌdɪs.əˈɡriː.mənt/,[sound:disagreement.mp3],Sự bất đồng ý kiến,There was some {{c1::disagreement}} over where to go for dinner.,"Sự khác biệt hoặc mâu thuẫn về ý kiến, lập trường dẫn đến việc không đồng thuận giữa các bên.",Lack of consensus or approval; a dispute or argument.,"serious disagreement, minor disagreement, in disagreement","Syn: dispute, dissent, difference; Ant: agreement, consensus, accord",agree to disagree,"Gồm tiền tố phủ định 'dis-' (không), gốc từ 'agree' (đồng ý) và hậu tố danh từ '-ment'.",Neutral. Được dùng rộng rãi trong cả đời sống hàng ngày lẫn các cuộc tranh luận trang trọng.
dramatically,"<img src=""dramatically.jpg"">",/drəˈmæt.ɪ.kəl.i/,[sound:dramatically.mp3],"Một cách đột ngột, đáng kể, kịch tính",The price of gold has risen {{c1::dramatically}} over the past month.,"Một cách rất đột ngột, gây ấn tượng mạnh mẽ, rõ rệt hoặc mang tính kịch tính.","In a sudden, spectacular, or highly significant manner.","change dramatically, improve dramatically, increase dramatically","Syn: significantly, drastically, sharply; Ant: slightly, gradually",none,"Xuất phát từ gốc 'drama' (kịch nghệ), qua tính từ 'dramatic' (-atic) rồi thêm hậu tố trạng từ '-ally' để nhấn mạnh mức độ.","Neutral/Academic. Thường dùng khi phân tích số liệu, biểu đồ hoặc mô tả sự thay đổi mang tính cách mạng."
duty,"<img src=""duty.jpg"">",/ˈdʒuː.ti/,[sound:duty.mp3],"Nhiệm vụ, bổn phận, nghĩa vụ","As citizens, it is our {{c1::duty}} to vote in national elections.","Trách nhiệm bắt buộc về mặt đạo đức, pháp lý hoặc công việc mà một người phải thực hiện.",A moral or legal obligation; a responsibility.,"sense of duty, fulfill a duty, on duty","Syn: obligation, responsibility, task; Ant: freedom, choice","do one's duty, call of duty","Từ Anglo-Norman 'duete', bắt nguồn từ 'due' (được nợ, phải trả) kết hợp với hậu tố danh từ '-ty' (trạng thái, phẩm chất).","Formal/Neutral. Mang sắc thái trang trọng, đề cao đạo đức và trách nhiệm xã hội hoặc công việc."
empower,"<img src=""empower.jpg"">",/ɪmˈpaʊ.ər/,[sound:empower.mp3],"Trao quyền, làm cho tự tin/mạnh mẽ hơn",The program aims to {{c1::empower}} young women to pursue careers in technology.,"Cung cấp cho ai đó quyền hạn pháp lý, sự tự tin, sức mạnh hoặc sự độc lập để kiểm soát và quyết định cuộc sống của họ.",Give (someone) the authority or power to do something; make someone stronger and more confident.,"empower employees, feel empowered, empower community","Syn: authorize, enable, inspire; Ant: disempower, forbid, weaken",take control,"Tiền tố 'em-' (làm cho, đưa vào trạng thái) kết hợp với gốc từ 'power' (quyền lực, sức mạnh).","Formal/Academic. Rất phổ biến trong các chủ đề phát triển bản thân, giáo dục, bình đẳng giới và quản trị doanh nghiệp."
fairness,"<img src=""fairness.jpg"">",/ˈfeə.nəs/,[sound:fairness.mp3],Sự công bằng,The judge was praised for treating everyone in the courtroom with absolute {{c1::fairness}}.,"Phẩm chất hoặc hành vi cư xử không thiên vị, bình đẳng và đúng đắn với mọi người theo các nguyên tắc chuẩn mực.",Impartial and just treatment or behavior without favoritism or discrimination.,"basic fairness, sense of fairness, in all fairness","Syn: equity, justice, impartiality; Ant: unfairness, bias, injustice",play fair,"Gồm tính từ 'fair' (công bằng, đẹp đẽ) kết hợp với hậu tố danh từ chỉ trạng thái '-ness'.","Neutral. Sử dụng rộng rãi từ các chủ đề pháp luật, triết học cho đến đời sống thường ngày."
financially,"<img src=""financially.jpg"">",/faɪˈnæn.ʃəl.i/,[sound:financially.mp3],Về mặt tài chính,She wanted to be {{c1::financially}} independent before buying a house.,"Một cách liên quan đến tiền bạc, ngân sách hoặc cách quản lý dòng tiền.",Relating to money or how money is managed.,"financially viable, financially stable, support someone financially","Syn: monetarily, economically; Ant: non-financially",keep one's head above water,Gốc từ 'finance' (tài chính) + hậu tố tính từ '-ial' + hậu tố trạng từ '-ly'.,"Neutral/Academic. Thường dùng trong thảo luận về kế hoạch cá nhân, doanh nghiệp hoặc kinh tế vĩ mô."
generation,"<img src=""generation.jpg"">",/ˌdʒen.əˈreɪ.ʃən/,[sound:generation.mp3],Thế hệ,There is often a communication gap between the older and younger {{c1::generation}}.,Tập hợp những người được sinh ra và lớn lên trong cùng một khoảng thời gian cụ thể (thường khoảng 25-30 năm).,"All of the people born and living at about the same time, regarded collectively.","generation gap, next generation, younger/older generation","Syn: age group, cohort, production; Ant: none",from generation to generation,"Gốc Latin 'generare' (tạo ra, sinh sản) kết hợp với hậu tố danh từ '-tion' chỉ quá trình hoặc nhóm kết quả.","Neutral. Thường xuất hiện trong nghiên cứu văn hóa, xã hội học hoặc khi thảo luận về gia đình."
gratitude,"<img src=""gratitude.jpg"">",/ˈɡræt.ɪ.tʃuːd/,[sound:gratitude.mp3],"Lòng biết ơn, sự trân trọng",She expressed her deep {{c1::gratitude}} to all the doctors who helped her.,Cảm giác trân trọng và mong muốn đền đáp lòng tốt hoặc sự giúp đỡ chân thành từ người khác.,The quality of being thankful; readiness to show appreciation for and to return kindness.,"express gratitude, show gratitude, deep gratitude","Syn: thankfulness, appreciation; Ant: ingratitude, ungratefulness",debt of gratitude,"Gốc Latin 'gratus' (làm vui lòng, biết ơn) kết hợp với hậu tố chỉ trạng thái hoặc phẩm chất '-tude'.","Formal/Neutral. Mang sắc thái trang trọng, chân thành và sâu sắc hơn so với từ 'thankfulness'."
handle,"<img src=""handle.jpg"">",/ˈhæn.dəl/,[sound:handle.mp3],"Giải quyết, xử lý (vấn đề); cầm, nắm (vật)",She knows how to {{c1::handle}} difficult customers with patience.,"Hành động giải quyết, đối phó một cách khéo léo với một tình huống, công việc; hoặc cầm nắm vật gì bằng tay.","Manage, deal with, or control (a situation or problem); touch, lift, or hold with the hands.","handle pressure, handle a situation, handle with care","Syn: deal with, manage, tackle; Ant: ignore, neglect",fly off the handle,"Bắt nguồn từ tiếng Anh cổ 'handlian', liên quan chặt chẽ đến danh từ 'hand' (bàn tay) kết hợp với hậu tố chỉ hành động lặp lại '-le'.",Neutral. Dùng phổ biến trong cả giao tiếp đời sống lẫn văn phong làm việc công sở.
homemaker,"<img src=""homemaker.jpg"">",/ˈhoʊmˌmeɪ.kər/,[sound:homemaker.mp3],Người nội trợ,"After resigning from her job, she became a full-time {{c1::homemaker}}.","Người chủ yếu ở nhà để quản lý việc dọn dẹp, nấu nướng và chăm sóc gia đình mà không đi làm kiếm tiền bên ngoài.","A person, especially a housewife, who manages a home.","full-time homemaker, dedicated homemaker, modern homemaker","Syn: housewife, househusband; Ant: breadwinner",run a household,"Từ ghép giữa 'home' (ngôi nhà) và danh từ 'maker' (người xây dựng, tạo nên).",Neutral/Polite. Thường được ưa chuộng hơn từ 'housewife' truyền thống vì mang sắc thái trung lập về giới tính và tôn trọng hơn.
ignore,"<img src=""ignore.jpg"">",/ɪɡˈnɔːr/,[sound:ignore.mp3],"Phớt lờ, bỏ qua, không quan tâm",You cannot simply {{c1::ignore}} safety regulations when working on a construction site.,"Cố ý không chú ý, không quan tâm hoặc giả vờ không biết đến sự hiện diện của một người hay một sự việc nào đó.",Refuse to take notice of or acknowledge; disregard intentionally.,"completely ignore, ignore advice, ignore warnings","Syn: disregard, overlook, neglect; Ant: notice, heed, pay attention to",turn a blind eye to,"Gốc Latin 'ignorare' (không biết, hiểu lầm), có tiền tố phủ định 'in-' và gốc 'gno-' (biết).",Neutral. Dùng trong mọi hoàn cảnh đời sống hàng ngày cũng như văn bản trang trọng.
independently,"<img src=""independently.jpg"">",/ˌɪn.dɪˈpen.dənt.li/,[sound:independently.mp3],"Một cách độc lập, tự chủ",Students are encouraged to work {{c1::independently}} on their science projects.,"Thực hiện hành động mà không cần sự giúp đỡ, chỉ đạo hoặc kiểm soát từ người khác.",Without outside help or influence; in a self-reliant way.,"work independently, live independently, think independently","Syn: autonomously, freely, separately; Ant: dependently",stand on one's own two feet,Tiền tố phủ định 'in-' (không) + gốc 'depend' (phụ thuộc) + hậu tố tính từ '-ent' + hậu tố trạng từ '-ly'.,"Neutral. Thường dùng mang sắc thái tích cực, đề cao sự tự chủ trong giáo dục, công việc và phát triển bản thân."
meaningful,"<img src=""meaningful.jpg"">",/ˈmiː.nɪŋ.fəl/,[sound:meaningful.mp3],"Có ý nghĩa, đầy ý nghĩa",Volunteering at the shelter was a deeply {{c1::meaningful}} experience for him.,"Có giá trị, quan trọng, hữu ích hoặc chứa đựng thông điệp sâu sắc, đáng nhớ chứ không hời hợt.","Having a serious, important, or useful quality or purpose.","meaningful relationship, meaningful conversation, highly meaningful","Syn: significant, profound, substantial; Ant: meaningless, trivial, insignificant",none,"Gốc động từ 'mean' (nghĩa là) + hậu tố danh động từ '-ing' + hậu tố tính từ '-ful' (đầy, có nhiều).","Neutral. Mang sắc thái khẳng định, trân trọng giá trị tinh thần hoặc tầm quan trọng của sự việc."
political,"<img src=""political.jpg"">",/pəˈlɪt.ɪ.kəl/,[sound:political.mp3],Thuộc về chính trị,The two countries are trying to resolve their {{c1::political}} differences through dialogue.,"Liên quan đến chính quyền, nhà nước, các đảng phái chính trị hoặc việc quản lý đất nước.",Relating to the government or the public affairs of a country.,"political system, political party, political stability","Syn: governmental, civic, state; Ant: non-political, apolitical",play politics,Từ gốc Hy Lạp 'polis' (thành bang) -> 'politikos' (thuộc về công dân/thành phố) + hậu tố tính từ '-al'.,"Neutral/Academic. Dùng chủ yếu trong các bài phân tích tin tức thời sự, chính trị xã hội hoặc giáo trình học thuật."
pride,"<img src=""pride.jpg"">",/praɪd/,[sound:pride.mp3],"Sự kiêu hãnh, niềm tự hào",She looked at her graduation certificate with a feeling of great {{c1::pride}}.,"Cảm giác hài lòng, hãnh diện sâu sắc về thành tựu của bản thân, của người thân hoặc của tổ chức mà mình thuộc về.",A feeling of deep pleasure or satisfaction derived from one's own achievements or those of others.,"take pride in, swallow one's pride, source of pride","Syn: self-esteem, dignity, satisfaction; Ant: shame, humility, modesty","pride of place, burst with pride","Nguồn gốc từ tiếng Anh cổ 'pryde', biến thể từ tính từ 'proud'.","Neutral. Có thể mang sắc thái tích cực (sự tự trọng, tự hào lành mạnh) hoặc tiêu cực (sự kiêu ngạo, coi thường người khác)."
