English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
self-esteem,"<img src=""self-esteem.jpg"">",/ˌself.ɪˈstiːm/,[sound:self-esteem.mp3],"Lòng tự trọng, sự tự tin vào bản thân",Low {{c1::self-esteem}} can prevent people from reaching their full potential.,Niềm tin và sự tôn trọng đối với giá trị cũng như năng lực của chính bản thân mình.,Belief and confidence in your own ability and value.,"high self-esteem, low self-esteem, boost self-esteem","Syn: self-respect, self-worth | Ant: self-doubt, insecurity",hold one's head high,Prefix: self- (bản thân) + Root: esteem (đánh giá cao),"Neutral/Academic - Hay dùng trong tâm lý học, giáo dục, đời sống."
pressure,"<img src=""pressure.jpg"">",/ˈpreʃ.ər/,[sound:pressure.mp3],"Áp lực, sức ép",He performs extremely well under heavy {{c1::pressure}}.,Cảm giác căng thẳng do yêu cầu công việc cao; hoặc lực ép vật lý lên một bề mặt.,The feeling of stress caused by hard work or difficult situations; physical force.,"under pressure, peer pressure, high pressure","Syn: stress, strain, tension | Ant: relief, relaxation",crack under pressure,"Root: press (ép, nhấn) + Suffix: -ure (danh từ)",Neutral - Dùng phổ biến trong mọi ngữ cảnh đời sống và làm việc.
influence,"<img src=""influence.jpg"">",/ˈɪnfluəns/,[sound:influence.mp3],"ảnh hưởng, tác động",Parents have a major {{c1::influence}} on their children's development.,"Khả năng gây ảnh hưởng hoặc tác động làm thay đổi hành vi, suy nghĩ của người khác.","The capacity to have an effect on the character, development, or behavior of someone or something.","strong influence, have an influence on, sphere of influence","Syn: impact, effect, sway | Ant: powerlessness, insignificance",under the influence (dưới sự ảnh hưởng của chất kích thích),in- (vào) + flu (chảy) -> dòng chảy tác động vào,Neutral - Phổ biến trong văn nói lẫn văn viết.
concentration,"<img src=""concentration.jpg"">",/ˌkɒn.sənˈtreɪ.ʃən/,[sound:concentration.mp3],"Sự tập trung, nồng độ",Loud background noise destroys my {{c1::concentration}} when I read.,Khả năng dồn toàn bộ sự chú ý vào một việc; hoặc độ đậm đặc/nồng độ của một chất trong hóa học.,The ability to think carefully about something you are doing; or the density of a substance.,"lose concentration, high concentration, concentration level","Syn: focus, attention | Ant: distraction, inattention",keep one's eye on the ball,Prefix: con- (cùng) + Root: centre (trung tâm) + Suffix: -ation (danh từ),"Neutral/Academic - Dùng trong học tập, công việc và khoa học."
role,"<img src=""role.jpg"">",/rəʊl/,[sound:role.mp3],"vai trò, vị trí",Technology plays an important {{c1::role}} in modern education.,"Nhiệm vụ, vị trí hoặc chức năng mà một người hay vật đảm nhận trong một hoàn cảnh cụ thể.",The function assumed or part played by a person or thing in a particular situation.,"play a role, key role, leadership role","Syn: function, position, duty | Ant: N/A",role model (tấm gương mẫu mực),Từ tiếng Pháp 'rôle' (cuộn giấy ghi lời thoại diễn viên),Neutral - Sử dụng rất phổ biến.
assistance,"<img src=""assistance.jpg"">",/əˈsɪs.təns/,[sound:assistance.mp3],"sự hỗ trợ, giúp đỡ",The company provides financial {{c1::assistance}} to eligible students.,"Sự trợ giúp nguồn lực, thông tin hoặc hành động giúp ai đó hoàn thành mục tiêu.","The provision of money, resources, or information to help someone.","financial assistance, require assistance, offer assistance","Syn: help, aid, support / Ant: hindrance, opposition","give a helping hand, lend a hand",ad- (bên cạnh) + sistere (đứng) + -ance (danh từ),"Formal - Thường dùng trong văn bản, công sở, tổ chức."
truly,"<img src=""truly.jpg"">",/ˈtruː.li/,[sound:truly.mp3],"thực sự, chân thành",I am {{c1::truly}} grateful for all the support you have given me.,"Một cách chân thực, thực sự, đúng như bản chất mà không hề dối trá hay phóng đại.",In a truthful way; sincerely or genuinely.,"truly remarkable, truly sorry, truly appreciate","Syn: genuinely, really, sincerely | Ant: falsely, insincerely",yours truly,"true (tính từ: đúng, thật) + -ly (hậu tố trạng từ, bỏ 'e').",Neutral - Dùng để nhấn mạnh cảm xúc hoặc sự thật.
independ,"<img src=""independ.jpg"">",/ˌɪndɪˈpendənt/,[sound:independ.mp3],"độc lập, tự chủ",She wants to become financially {{c1::independent}} of her parents.,Không bị phụ thuộc vào người khác hoặc tổ chức khác về vật chất hay tinh thần.,Not depending on another for livelihood or subsistence.,"financially independent, independent thinking, independent state","Syn: autonomous, self-reliant | Ant: dependent, reliant",N/A,in- (không) + depend (phụ thuộc) -> không phụ thuộc,"Neutral/Formal - Phổ biến trong đời sống, chính trị."
optimal,"<img src=""optimal.jpg"">",/ˈɒp.tɪ.məl/,[sound:optimal.mp3],"Tối ưu, tốt nhất",Athletes need adequate rest to maintain {{c1::optimal}} performance.,"Đạt mức độ hiệu quả tốt nhất, thích hợp nhất có thể trong một điều kiện nhất định.",Best or most suitable within a range of possibilities.,"optimal conditions, optimal performance, optimal choice","Syn: ideal, best, peak | Ant: worst, suboptimal",prime condition,Root Latin: optimus (tốt nhất) + Suffix: -al (tính từ),"Formal/Academic - Dùng trong báo cáo khoa học, kinh doanh, y học."
land,"<img src=""land.jpg"">",/lænd/,[sound:land.mp3],"đất đai, hạ cánh, giành được",The plane will {{c1::land}} in ten minutes.,Đất liền; hành động hạ cánh hoặc đạt/giành được điều gì đó (như công việc).,The part of the earth's surface that is not covered by water; to come down to the ground.,"land a job, land safely, piece of land","Syn: touch down, arrive, obtain | Ant: take off, depart",land on one's feet (vượt qua khó khăn một cách may mắn),"Gốc từ tiếng Đức cổ nghĩa là đất đai, vùng đất",Neutral - Rất thông dụng trong nhiều ngữ cảnh.
protect,"<img src=""protect.jpg"">",/prəˈtekt/,[sound:protect.mp3],"bảo vệ, che chở",Sunscreen helps to {{c1::protect}} your skin from UV rays.,"Giữ cho ai hoặc cái gì khỏi bị tổn thương, nguy hiểm hoặc mất mát.",Keep safe from harm or injury.,"protect from, protect environment, protect privacy","Syn: guard, defend, shield | Ant: endanger, harm, expose",protected species (loài được bảo tồn),pro- (phía trước) + tect (che phủ) -> che phía trước để bảo vệ,Neutral - Dùng phổ biến trong đời sống hàng ngày.
illustrate,"<img src=""illustrate.jpg"">",/ˈɪləstreɪt/,[sound:illustrate.mp3],"minh họa, làm rõ",The teacher used diagrams to {{c1::illustrate}} the complex concept.,"Giải thích hoặc làm rõ một vấn đề bằng cách dùng ví dụ, hình ảnh hoặc biểu đồ.","Make clear by using examples, pictures, or charts.","illustrate a point, serve to illustrate, graphically illustrate","Syn: demonstrate, clarify, exemplify | Ant: confuse, obscure",N/A,"in- (vào) + lustrare (làm sáng) -> chiếu sáng, làm rõ","Formal/Academic - Thường dùng trong báo cáo, thuyết trình, giảng dạy."
productively,"<img src=""productively.jpg"">",/prəˈdʌk.tɪv.li/,[sound:productively.mp3],"một cách hiệu quả, năng suất",She spent her morning {{c1::productively}} answering all pending emails.,"Trạng từ chỉ việc thực hiện công việc mang lại kết quả cao, tạo ra nhiều giá trị mà không lãng phí thời gian.",In a way that produces or achieves a lot.,"work productively, spend time productively, engage productively","Syn: efficiently, fruitfully / Ant: unproductively, inefficiently","get things done, bear fruit",pro- (phía trước) + duc- (dẫn dắt) + -tive (tính từ) + -ly (trạng từ),Neutral/Business - Phổ biến trong môi trường học tập và làm việc.
virtually,"<img src=""virtually.jpg"">",/ˈvɜːtʃuəli/,[sound:virtually.mp3],"hầu như, gần như",It is {{c1::virtually}} impossible to finish all this work in one hour.,"Gần như hoàn toàn, thực sự đúng trên thực tế (dù không hoàn toàn 100%).",Nearly; almost entirely.,"virtually impossible, virtually everywhere, virtually guaranteed","Syn: almost, practically, nearly | Ant: hardly, completely not",N/A,"virtual (thực sự, ảo) + -ly (trạng từ)",Neutral/Academic - Dùng nhiều trong văn viết và thảo luận.
lack,"<img src=""lack.jpg"">",/læk/,[sound:lack.mp3],"thiếu, sự thiếu hụt",His mistake was caused by a {{c1::lack}} of experience.,Tình trạng không có hoặc không có đủ thứ gì đó cần thiết.,The state of being without or not having enough of something.,"lack of confidence, lack of resources, severely lack","Syn: shortage, deficiency, absence | Ant: abundance, excess, surplus",for lack of (vì thiếu...),"Từ tiếng Hà Lan cổ 'lak' (khuyết điểm, sự thiếu hụt)",Neutral - Phổ biến trong đời sống và văn bản.
rushing to,,/ˈrʌʃɪŋ tuː/,[sound:rushingto.mp3],"vội vã làm gì, vội vã đến đâu",She was {{c1::rushing to}} catch the last train of the night.,Hành động di chuyển hoặc làm điều gì đó rất nhanh vì vội vã.,Moving or doing something with great speed and urgency towards a destination or goal.,"rushing to conclusions, rushing to hospital, rushing to finish","Syn: hurrying to, hastening to | Ant: loitering, delaying",rush to conclusions (vội vàng đưa ra kết luận),rush (vội vã) + -ing + to (hướng tới),Informal/Neutral - Dùng trong giao tiếp và mô tả hành động.
equal,"<img src=""equal.jpg"">",/ˈiː.kwəl/,[sound:equal.mp3],"bằng nhau, bình đẳng",All employees should receive {{c1::equal}} pay for equal work.,"Giống nhau về số lượng, giá trị, kích thước hoặc quyền lợi.","Being the same in quantity, size, degree, or value.","equal rights, equal pay, equal opportunity","Syn: identical, equivalent, fair / Ant: unequal, biased",on an equal footing,"Gốc La-tông 'aequalis' (bằng phẳng, ngang hàng)","Formal/Neutral - Dùng trong toán học, luật pháp và xã hội."
relevant,"<img src=""relevant.jpg"">",/ˈreləvənt/,[sound:relevant.mp3],"thích hợp, có liên quan",Please submit all {{c1::relevant}} documents for your application.,"Liên quan trực tiếp hoặc có ý nghĩa đối với chủ đề, hoàn cảnh đang đề cập.",Closely connected or appropriate to what is being done or considered.,"highly relevant, relevant experience, relevant information","Syn: applicable, pertinent, related | Ant: irrelevant, unrelated",N/A,"re- (lại) + levare (nâng lên) -> có giá trị nâng đỡ, liên quan","Formal/Academic - Rất hay dùng trong công việc, hồ sơ và nghiên cứu."
engage,"<img src=""engage.jpg"">",/ɪnˈɡeɪdʒ/,[sound:engage.mp3],"thu hút, tham gia, cam kết",The teacher tried to {{c1::engage}} all students in the classroom activity.,"Làm ai đó chú ý/hứng thú, hoặc tham gia vào một hoạt động/sự kiện.","Occupy, attract, or involve someone's interest or attention.","engage in conversation, engage audience, engage in activities","Syn: involve, participate, occupy | Ant: disengage, ignore",engage with (tương tác với),"en- (làm cho) + gage (sự thế chấp/hứa hẹn) -> đưa vào cam kết, thu hút","Neutral/Formal - Thường dùng trong giáo dục, truyền thông, giao tiếp."
individual,"<img src=""individual.jpg"">",/ˌɪndɪˈvɪdʒuəl/,[sound:individual.mp3],"cá nhân, riêng biệt",Each {{c1::individual}} has unique talents and abilities.,"Chỉ một người hoặc một vật đơn lẻ, mang tính chất riêng biệt.",Single; separate; relating to a particular person or thing.,"individual rights, individual needs, unique individual","Syn: person, single, distinct | Ant: collective, group, general",N/A,in- (không) + dividual (có thể chia) -> không thể chia nhỏ hơn nữa,"Neutral/Academic - Phổ biến trong học thuật, luật pháp, đời sống."
management,"<img src=""management.jpg"">",/ˈmænɪdʒmənt/,[sound:management.mp3],"sự quản lý, ban quản lý",Good {{c1::management}} is essential for the success of any business.,"Quá trình kiểm soát, điều hành một tổ chức, công việc hoặc đội ngũ con người.",The process of dealing with or controlling things or people.,"time management, senior management, risk management","Syn: administration, direction, control | Ant: misrule, disorganization",under new management (dưới sự quản lý mới),manage (quản lý) + -ment (danh từ hóa),"Neutral/Formal - Dùng nhiều trong môi trường làm việc, kinh doanh."
enabled,"<img src=""enabled.jpg"">",/ɪˈneɪbld/,[sound:enabled.mp3],"cho phép, kích hoạt",The new software {{c1::enabled}} us to work much faster.,"Tạo điều kiện, cơ hội hoặc khả năng cho ai/cái gì làm được điều gì đó.","Gave someone or something the authority, means, or ability to do something.","enabled technology, be enabled to, enable access","Syn: empowered, allowed, permitted | Ant: disabled, prevented",N/A,en- (làm cho) + able (có khả năng) + -ed (quá khứ/tính từ),Neutral/Technical - Phổ biến trong công nghệ và giao tiếp hàng ngày.
productivity,"<img src=""productivity.jpg"">",/ˌprɒdʌkˈtɪvəti/,[sound:productivity.mp3],"năng suất, sức sản xuất",Flexible working hours can increase employee {{c1::productivity}}.,"Hiệu quả của hoạt động sản xuất, đo lường đầu ra trên mỗi đơn vị đầu vào.",The state or quality of being productive; efficiency in production.,"high productivity, boost productivity, workplace productivity","Syn: efficiency, output, yield | Ant: unproductivity, inefficiency",N/A,product (sản phẩm) + -ive (tính từ) + -ity (danh từ hóa),"Formal/Business - Dùng trong kinh tế, công việc."
independent,"<img src=""independent.jpg"">",/ˌɪn.dɪˈpen.dənt/,[sound:independent.mp3],"độc lập, không phụ thuộc",She became financially {{c1::independent}} after getting a full-time job.,"Không bị kiểm soát, chi phối hoặc phụ thuộc vào người khác.","Not depending on another authority, person, or thing for livelihood or support.","independent thinker, financially independent, highly independent","Syn: self-sufficient, autonomous, free | Ant: dependent, reliant",an independent mind,in- (tiền tố phủ định: không) + dependent (phụ thuộc).,"Neutral - Dùng phổ biến trong đời sống, xã hội, chính trị."
effective,"<img src=""effective.jpg"">",/ɪˈfek.tɪv/,[sound:effective.mp3],hiệu quả,This strategy proved to be highly {{c1::effective}} in increasing sales.,Tạo ra kết quả như mong muốn hoặc có tác dụng tốt.,Successful in producing a desired or intended result.,"effective method, highly effective, effective communication","Syn: successful, productive, efficient | Ant: ineffective, useless",cost-effective,effect (danh từ: tác động/kết quả) + -ive (hậu tố tính từ).,"Neutral/Formal - Dùng nhiều trong học thuật, kinh doanh, y học."
include,"<img src=""include.jpg"">",/ɪnˈkluːd/,[sound:include.mp3],bao gồm,The total price does not {{c1::include}} the delivery fee.,Chứa đựng cái gì đó như một phần của tổng thể.,To contain as part of a whole.,"include in the list, prices include, services include","Syn: contain, involve, comprise | Ant: exclude, omit",all included,in- (vào trong) + clud/clus (gốc Latin: đóng lại) -> bao khép vào bên trong.,Neutral - Động từ rất cơ bản và phổ biến.
respect,"<img src=""respect.jpg"">",/rɪˈspekt/,[sound:respect.mp3],"tôn trọng, sự tôn trọng","We should always {{c1::respect}} the opinions of others, even if we disagree.","Thừa nhận và đánh giá cao giá trị, phẩm chất hoặc quyền lợi của ai đó; không xâm phạm hay coi thường.","Admiration felt or shown for someone or something because of their abilities, qualities, or achievements.","show respect, deep respect, mutual respect","Syn: admire, esteem; Ant: disrespect, despise","with respect to, pay one's respects","Prefix: re- (again) + Root: spect (look at) -> to look back at, look at with esteem.",Neutral to Formal. Được dùng rộng rãi cả trong giao tiếp hàng ngày lẫn văn phong trang trọng.
manage,"<img src=""manage.jpg"">",/ˈmænɪdʒ/,[sound:manage.mp3],"quản lý, xoay xở",How do you {{c1::manage}} to stay so calm under pressure?,"Kiểm soát, điều hành công việc hoặc giải quyết thành công một tình huống khó khăn.","To be in charge of; to succeed in doing something, especially something difficult.","manage time, manage stress, manage to do something","Syn: handle, control, direct; Ant: mismanage, fail",manage on (xoay xở sống bằng),"Root: man- (hand, từ tiếng Latin 'manus') -> to handle, train (originally horses).",Neutral. Phổ biến trong cả bối cảnh công việc (quản lý) lẫn đời sống (xoay xở).
appreciate,"<img src=""appreciate.jpg"">",/əˈpriːʃieɪt/,[sound:appreciate.mp3],"trân trọng, đánh giá cao, cảm kích",I really {{c1::appreciate}} your help with this project.,Nhận thức rõ giá trị hoặc bày tỏ lòng biết ơn sâu sắc đối với ai/cái gì.,To recognize the full worth of; to be grateful for something.,"deeply appreciate, highly appreciate, appreciate the value of","Syn: value, value highly, grateful; Ant: undervalue, ignore",None,"Prefix: ad- (to, biến thể thành ap-) + Root: pretium (price) -> to set a price/value on.",Neutral to Formal. Thường dùng lịch thiệp khi cảm ơn hoặc đánh giá nghệ thuật/giá trị.
conflict,"<img src=""conflict.jpg"">",/ˈkɒnflɪkt/,[sound:conflict.mp3],"xung đột, mâu thuẫn",We need to find a peaceful way to resolve this {{c1::conflict}}.,"Sự bất đồng, tranh chấp hoặc va chạm mạnh mẽ giữa các ý kiến, lợi ích hoặc phe phái.","A serious disagreement or argument, typically a protracted one.","resolve conflict, conflict of interest, armed conflict","Syn: dispute, clash, disagreement; Ant: agreement, harmony",conflict with,"Prefix: con- (together) + Root: fligere (to strike) -> to strike together, clash.","Neutral to Academic. Dùng trong cả đời sống xã hội lẫn các bài phân tích chính trị, tâm lý."
argument,"<img src=""argument.jpg"">",/ˈɑːɡjumənt/,[sound:argument.mp3],"sự tranh luận, cuộc cãi vã, lập luận",They got into a heated {{c1::argument}} about money.,"Một cuộc tranh cãi thể hiện sự bất đồng, hoặc một chuỗi các lý lẽ đưa ra để thuyết phục người khác.","An exchange of diverging or opposite views, typically a heated or angry one; a reason or set of reasons given in support of an idea.","have an argument, heated argument, convincing argument","Syn: quarrel, dispute, reasoning; Ant: agreement, peace",settle an argument,Root: argue (to make clear) + Suffix: -ment (state or result of action) -> the act of making clear/disputing.,Neutral. Dùng cả trong đời sống (cãi nhau) lẫn văn viết học thuật (lập luận văn học/triết học).
privacy,"<img src=""privacy.jpg"">",/ˈprɪvəsi/,[sound:privacy.mp3],sự riêng tư,I respect his need for {{c1::privacy}} and won't ask personal questions.,"Trạng thái ở một mình hoặc không bị người khác làm phiền, dòm ngó.",The state of being free from public attention or unsanctioned intrusion.,"respect privacy, invasion of privacy, right to privacy","Syn: seclusion, solitude; Ant: publicity, openness",in the privacy of,Root: private (từ tiếng Latin 'privatus' - set apart) + Suffix: -cy (state or quality).,"Neutral. Thường dùng trong luật pháp, công nghệ (bảo mật dữ liệu) và đời sống cá nhân."
occasionally,"<img src=""occasionally.jpg"">",/əˈkeɪʒnəli/,[sound:occasionally.mp3],"thỉnh thoảng, đôi khi",We still meet up for dinner {{c1::occasionally}}.,"Trạng từ chỉ tần suất: thỉnh thoảng, không thường xuyên.",At infrequent or irregular intervals; now and then.,"meet occasionally, occur occasionally","Syn: sometimes, once in a while; Ant: frequently, constantly",every now and then,"Root: occasion (dịp, cơ hội) + Suffix: -al (thuộc về) + -ly (trạng từ).",Neutral. Thích hợp cho cả giao tiếp hàng ngày và văn viết trang trọng.
seek,"<img src=""seek.jpg"">",/siːk/,[sound:seek.mp3],"tìm kiếm, tìm cách, yêu cầu",You should {{c1::seek}} professional advice if the symptoms persist.,"Cố gắng tìm kiếm thứ gì đó (thường là phi vật thể như lời khuyên, sự giúp đỡ) hoặc cố gắng đạt được điều gì.","To attempt to find, get, or achieve something.","seek advice, seek help, seek employment","Syn: look for, search, pursue; Ant: ignore, avoid",seek out,"Bắt nguồn từ tiếng Anh cổ 'secan' có nghĩa là tìm kiếm, cố gắng tìm đạt.",Formal / Academic. Trang trọng hơn từ 'look for' hay 'search' thông thường.
self-motivated,"<img src=""self-motivated.jpg"">",/ˌself ˈməʊtɪveɪtɪd/,[sound:self-motivated.mp3],"có động lực tự thân, tự năng nổ",She is a {{c1::self-motivated}} student who always finishes her homework early.,"Chỉ tính cách một người tự có động lực, tự thúc đẩy bản thân làm việc mà không cần ai nhắc nhở hay ép buộc.",Able and willing to work without being told what to do; internally driven.,"self-motivated individual, self-motivated learner","Syn: self-driven, enterprising; Ant: unmotivated, lazy",None,Prefix: self- (tự) + Verb root: motivate (thúc đẩy) + Suffix: -ed (tính từ hóa).,"Neutral to Formal. Thường dùng trong hồ sơ xin việc (CV), đánh giá nhân viên và giáo dục."
strict,"<img src=""strict.jpg"">",/strɪkt/,[sound:strict.mp3],"nghiêm khắc, nghiêm ngặt",Our teacher is very {{c1::strict}} about arriving to class on time.,Đòi hỏi sự tuân thủ quy tắc một cách chính xác và không xê dịch.,Demanding that rules concerning behavior are obeyed and observed.,"strict rules, strict discipline, strict parents","Syn: stern, rigorous, severe | Ant: lenient, flexible",in the strictest sense,"Gốc Latin 'strictus' (kéo chặt, thắt chặt).","Neutral - Thường dùng để tả người, luật lệ hoặc tiêu chuẩn."
selfish,"<img src=""selfish.jpg"">",/ˈselfɪʃ/,[sound:selfish.mp3],ích kỷ,It was {{c1::selfish}} of him to eat all the cake without sharing.,Chỉ người chỉ nghĩ đến lợi ích của bản thân mà không quan tâm đến người khác.,Caring only about oneself; lacking consideration for others.,"selfish behavior, selfish motives, selfish person","Syn: self-centered, egocentric; Ant: selfless, altruistic, generous",None,"Root: self (bản thân) + Suffix: -ish (có tính chất của, mang nghĩa hơi tiêu cực).","Neutral. Mang sắc thái phê phán, dùng phổ biến trong giao tiếp hàng ngày."
control,"<img src=""control.jpg"">",/kənˈtrəʊl/,[sound:control.mp3],"kiểm soát, sự kiểm soát",It is important to keep your emotions under {{c1::control}}.,"Khả năng chỉ huy, định hướng, hạn chế hoặc điều hành một hành động, sự vật hoặc con người.",The power to influence or direct people's behavior or the course of events; to command.,"under control, lose control, self-control","Syn: command, dominate, regulate; Ant: yield, abandon","out of control, take control","Từ tiếng Pháp cổ 'contreroller' (kiểm tra tài khoản đối chiếu), từ 'contra-' (chống lại) + 'rotulus' (cuộn giấy).","Neutral. Dùng rộng rãi từ khoa học, quản trị đến đời sống cá nhân."
essential,"<img src=""essential.jpg"">",/ɪˈsenʃl/,[sound:essential.mp3],"thiết yếu, cực kỳ quan trọng",Water is {{c1::essential}} for survival.,"Vô cùng cần thiết, không thể thiếu được để hoàn thành hay duy trì điều gì.",Absolutely necessary; extremely important.,"essential component, play an essential role, absolutely essential","Syn: crucial, vital, indispensable; Ant: nonessential, optional, redundant",None,"Root: essence (bản chất, cốt lõi, từ tiếng Latin 'esse' - to be) + Suffix: -tial (tính từ hóa).",Neutral to Academic. Thường dùng trong các văn bản học thuật hoặc thảo luận nghiêm túc.
academic,"<img src=""academic.jpg"">",/ˌækəˈdemɪk/,[sound:academic.mp3],"học thuật, thuộc về học tập/viện nghiên cứu",He has excellent {{c1::academic}} qualifications.,"Liên quan đến giáo dục, trường học, học tập và nghiên cứu lý thuyết hơn là thực hành thực tế.","Relating to education, scholarship, or schools.","academic achievement, academic year, academic institution","Syn: educational, scholarly; Ant: practical, non-scholarly",academic freedom,"Từ 'Academy' (vườn học của Plato ở Athens, 'Akademia') + Suffix: -ic (thuộc về).","Formal / Academic. Dùng chủ yếu trong môi trường giáo dục, nghiên cứu."
