English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
consciousness,"<img src=""consciousness.jpg"">",/ˈkɑːn.ʃəs.nəs/,[sound:consciousness.mp3],"ý thức, sự nhận biết",He lost {{c1::consciousness}} briefly after falling off the bike.,"Trạng thái tỉnh táo nhận biết được xung quanh, hoặc sự nhận thức về một vấn đề xã hội/chính trị.",The state of being awake and aware of one's surroundings.,"lose consciousness, regain consciousness, raise consciousness","Syn: awareness, alertness | Ant: unconsciousness, unawareness",come to (tỉnh lại),conscious (tính từ: ý thức) + -ness (hậu tố danh từ),"Neutral/Academic - Dùng trong y tế, triết học và văn học."
compliment,"<img src=""compliment.jpg"">",/ˈkɑːm.plə.mənt/,[sound:compliment.mp3],"lời khen, khen ngợi",She paid him a nice {{c1::compliment}} on his presentation skills.,"Lời khen ngợi, nhận xét tích cực thể hiện sự tôn trọng hoặc ngưỡng mộ.",A polite expression of praise or admiration.,"pay a compliment, accept a compliment, return a compliment","Syn: praise, flattery | Ant: insult, criticism",take it as a compliment (coi đó là một lời khen),compli- (ngữ căn: hoàn thành/làm đầy) + -ment (hậu tố danh từ),Neutral - Sử dụng trong mọi ngữ cảnh giao tiếp xã hội.
resiliency,"<img src=""resiliency.jpg"">",/rɪˈzɪl.jən.si/,[sound:resiliency.mp3],"khả năng phục hồi, sự kiên cường",The community showed great {{c1::resiliency}} after the natural disaster.,"Khả năng nhanh chóng bình phục sau chấn thương, thất bại hoặc khó khăn.",The capacity to recover quickly from difficulties; toughness.,"emotional resiliency, build resiliency, economic resiliency","Syn: resilience, adaptability | Ant: vulnerability, fragility",bounce back (phục hồi nhanh chóng),re- (trở lại) + sili- (bật nhảy) + -ency (hậu tố danh từ),"Formal/Academic - Sử dụng trong tâm lý học, kinh tế và báo chí."
disrespectful,,/ˌdɪs.rɪˈspekt.fəl/,[sound:disrespectful.mp3],"vô lễ, bất kính",It is {{c1::disrespectful}} to speak over someone when they are talking.,"Bày tỏ thái độ thiếu tôn trọng, bất lịch sự đối với người khác.",Showing a lack of respect; discourteous.,"disrespectful behavior, disrespectful attitude, highly disrespectful","Syn: impolite, rude | Ant: respectful, polite",look down on (coi thường),dis- (tiền tố phủ định) + respect (tôn trọng) + -ful (hậu tố tính từ),Neutral - Dùng phổ biến để đánh giá hành vi ứng xử.
steadiness,"<img src=""steadiness.jpg"">",/ˈsted.i.nəs/,[sound:steadiness.mp3],"sự vững vàng, sự ổn định",His leadership brought a sense of {{c1::steadiness}} to the struggling firm.,"Chất lượng hoặc trạng thái chắc chắn, không thay đổi hay bị xao động.","The quality of being steady, stable, or constant.","steadiness of hand, financial steadiness, remarkable steadiness","Syn: stability, firmness | Ant: instability, unsteadiness",steady as a rock (vững như bàn thạch),steady (tính từ gốc) + -ness (hậu tố danh từ),Neutral/Formal - Miêu tả phẩm chất con người hoặc tính chất sự vật.
instability,"<img src=""instability.jpg"">",/ˌɪn.stəˈbɪl.ə.ṭi/,[sound:instability.mp3],"sự bất ổn, tính không ổn định",Political {{c1::instability}} can hinder economic growth in the region.,"Tình trạng dễ bị biến động, thay đổi đột ngột hoặc sụp đổ.",The state of being unstable; lack of stability.,"political instability, economic instability, emotional instability","Syn: uncertainty, volatility | Ant: stability, security",on shaky ground (trên cơ sở bất ổn),in- (tiền tố phủ định) + stable (ổn định) + -ity (hậu tố danh từ),"Formal/Academic - Dùng nhiều trong thảo luận kinh tế, chính trị, tâm lý."
reinforce,"<img src=""reinforce.jpg"">",/ˌriː.ɪnˈfɔːrs/,[sound:reinforce.mp3],"củng cố, tăng cường",The teacher used concrete examples to {{c1::reinforce}} the lesson.,"Làm cho một ý kiến, cấu trúc hay mối quan hệ trở nên vững chắc và mạnh mẽ hơn.","To strengthen or support an object, idea, or feeling.","reinforce a belief, reinforce structure, positive reinforcement","Syn: strengthen, bolster | Ant: weaken, undermine","shore up (chống đỡ, củng cố)",re- (lại) + in- (vào) + force (lực lượng),"Neutral/Formal - Dùng trong xây dựng, giáo dục và tâm lý học."
restrain,"<img src=""restrain.jpg"">",/rɪˈstreɪn/,[sound:restrain.mp3],"kiềm chế, kìm hãm",He had to {{c1::restrain}} his anger during the heated argument.,Giữ không cho ai/cái gì tự do di chuyển hoặc ngăn cản một cảm xúc/hành động bộc phát.,To hold back or keep under control.,"restrain emotions, physically restrain, restrain spending","Syn: suppress, curb | Ant: release, encourage",hold back (kìm lại),re- (ngược lại) + strain (kéo căng),"Neutral/Formal - Dùng trong quản lý cảm xúc, pháp lý và quản lý tài chính."
unrestrained,"<img src=""unrestrained.jpg"">",/ˌʌn.rɪˈstreɪnd/,[sound:unrestrained.mp3],"không bị kiềm chế, tự do",The children burst into {{c1::unrestrained}} laughter at the funny show.,"Bộc phát tự do, không bị giới hạn hay kiểm soát.","Not restrained, restricted, or limited; uncontrolled.","unrestrained growth, unrestrained emotion, unrestrained power","Syn: unchecked, wild | Ant: restrained, controlled","let loose (xả láng, tự do)",un- (phủ định) + restrain (kiềm chế) + -ed (hậu tố tính từ),Formal/Literary - Thường miêu tả cảm xúc hoặc sự phát triển không kiểm soát.
unbridled,"<img src=""unbridled.jpg"">",/ʌnˈbraɪ.dəld/,[sound:unbridled.mp3],"không kiềm chế, buông thả",His {{c1::unbridled}} ambition eventually led to his downfall.,Tự do hoàn toàn mà không chịu bất kỳ sự kiềm chế nào (gốc từ việc thả dây cương ngựa).,"Uncontrolled, unconstrained, or unchecked.","unbridled passion, unbridled enthusiasm, unbridled greed","Syn: unchecked, uncontrolled | Ant: restrained, bridled",run wild (hoạt động tự do không kiểm soát),un- (phủ định) + bridle (dây cương) + -ed (hậu tố tính từ),"Literary/Formal - Mang sắc thái biểu cảm mạnh, thường dùng cho tham vọng, đam mê."
vigour,"<img src=""vigour.jpg"">",/ˈvɪɡ.ɚ/,[sound:vigour.mp3],"sức mạnh, sinh lực",She tackled the new project with great {{c1::vigour}} and enthusiasm.,"Sức khỏe thể chất dồi dào, sự nhiệt tình và năng lượng làm việc mạnh mẽ.",Physical strength and good health; energy or enthusiasm.,"youthful vigour, renewal of vigour, full of vigour","Syn: vitality, energy, stamina | Ant: lethargy, weakness",full of beans (tràn đầy năng lượng),vig- (ngữ căn: sống động/mạnh) + -our (hậu tố danh từ Anh-Anh),Literary/Formal - Từ viết theo chuẩn Anh-Anh (Anh-Mỹ: vigor).
flaw,"<img src=""flaw.jpg"">",/flɔː/,[sound:flaw.mp3],"khuyết điểm, lỗi",There is a serious {{c1::flaw}} in your logical argument.,"Một điểm lỗi, vết nứt hoặc khiếm khuyết làm giảm giá trị hoặc độ hoàn hảo của cái gì đó.","A mark, fault, or other imperfection that mars an object or structure.","fatal flaw, design flaw, character flaw","Syn: defect, fault | Ant: perfection, asset",fatal flaw (khuyết điểm chết người),Gốc từ tiếng Bắc Âu cổ (flag - mảnh vỡ/vết nứt),"Neutral - Từ ngắn gọn, dùng phổ biến trong giao tiếp và phê bình."
blindly,,/ˈblaɪnd.li/,[sound:blindly.mp3],"mù quáng, không suy nghĩ",You shouldn't follow anyone's advice {{c1::blindly}} without verifying the facts.,"Hành động làm một việc gì đó mà không cần suy nghĩ, tìm hiểu hoặc suy xét cẩn thận.",Without thinking or investigating before acting.,"follow blindly, accept blindly, trust blindly","Syn: recklessly, uncritically | Ant: wisely, cautiously",blind leading the blind,blind (gốc từ: mù) + -ly (hậu tố trạng từ),Neutral - Dùng phổ biến trong cả văn viết và văn nói.
compassion,"<img src=""compassion.jpg"">",/kəmˈpæʃ.ən/,[sound:compassion.mp3],"lòng trắc ẩn, sự thương cảm",She showed deep {{c1::compassion}} towards the victims of the flood.,Cảm xúc thương xót và muốn giúp đỡ người khác khi họ gặp khó khăn hay đau khổ.,Sympathy and concern for the sufferings or misfortunes of others.,"show compassion, feel compassion, deep compassion","Syn: empathy, sympathy | Ant: cruelty, indifference",out of compassion,com- (tiền tố: cùng nhau) + passio (gốc Latin: chịu đựng) -> cùng chia sẻ sự đau khổ,"Formal / Neutral - Mang sắc thái trang trọng, ấm áp."
constantly,"<img src=""constantly.jpg"">",/ˈkɒn.stənt.li/,[sound:constantly.mp3],"liên tục, không ngừng",Technology is {{c1::constantly}} changing and improving.,"Xảy ra một cách liên tục, diễn ra mọi lúc hoặc lặp đi lặp lại không nghỉ.",Continuous or frequently recurring; always.,"constantly change, constantly remind, constantly strive","Syn: continuously, perpetually | Ant: occasionally, rarely",N/A,constant (gốc tính từ: không đổi) + -ly (hậu tố trạng từ),Neutral - Dùng trong mọi ngữ cảnh giao tiếp.
courage,"<img src=""courage.jpg"">",/ˈkʌr.ɪdʒ/,[sound:courage.mp3],"dũng khí, sự dũng cảm",It takes a lot of {{c1::courage}} to stand up for what is right.,"Khả năng làm điều gì đó đáng sợ hoặc đối mặt với khó khăn, nguy hiểm mà không sợ hãi.",The ability to do something that frightens one; bravery.,"moral courage, find the courage, pluck up courage","Syn: bravery, valor | Ant: cowardice, fear","dutch courage, take courage",cour (gốc Latin: trái tim) + -age (hậu tố danh từ),Neutral / Literary - Mang nghĩa tích cực và truyền cảm hứng.
criticism,"<img src=""criticism.jpg"">",/ˈkrɪt.ɪ.sɪ.zəm/,[sound:criticism.mp3],"sự phê bình, lời chỉ trích",Constructive {{c1::criticism}} can help you grow professionally.,"Hành động đưa ra nhận xét tiêu cực hoặc đánh giá, phân tích ưu/nhược điểm của một ai đó hay cái gì đó.",The expression of disapproval based on perceived faults or mistakes.,"constructive criticism, harsh criticism, face criticism","Syn: censure, disapproval | Ant: praise, approval",under criticism,critic (gốc: nhà phê bình) + -ism (hậu tố danh từ chỉ hành động/học thuyết),"Neutral / Academic - Dùng nhiều trong học thuật, làm việc và đời sống."
decline,"<img src=""decline.jpg"">",/dɪˈklaɪn/,[sound:decline.mp3],"sự suy giảm, từ chối",The company saw a sudden {{c1::decline}} in profits this quarter.,"Giảm về lượng, giá trị, chất lượng; hoặc lịch sự từ chối một lời mời/đề nghị.","A gradual and continuous loss of strength, numbers, quality, or value; or to refuse.","sharp decline, steep decline, decline an offer","Syn: decrease, refuse | Ant: increase, accept","fall into decline, in decline",de- (tiền tố: xuống) + clinare (gốc Latin: nghiêng),Formal / Academic - Trang trọng hơn 'decrease' hoặc 'refuse'.
demand,"<img src=""demand.jpg"">",/dɪˈmɑːnd/,[sound:demand.mp3],"yêu cầu, nhu cầu",There is a growing {{c1::demand}} for renewable energy sources.,"Sự đòi hỏi mạnh mẽ; hoặc nhu cầu mua sắm/sử dụng hàng hóa, dịch vụ.","An insistent and peremptory request, or the desire of purchasers for a commodity.","high demand, satisfy a demand, supply and demand","Syn: requirement, need | Ant: supply, offer","in high demand, meet the demand",de- (tiền tố: hoàn toàn) + mandare (gốc Latin: giao phó/yêu cầu),Neutral / Business - Phổ biến trong kinh tế và đời sống.
dignity,"<img src=""dignity.jpg"">",/ˈdɪɡ.nə.ti/,[sound:dignity.mp3],"nhân phẩm, sự tôn nghiêm",Everyone deserves to be treated with respect and {{c1::dignity}}.,"Phẩm giá, giá trị con người hoặc thái độ trang nghiêm, tự trọng trong cách ứng xử.",The state or quality of being worthy of honor or respect.,"human dignity, maintain dignity, lose dignity","Syn: honor, self-respect | Ant: dishonor, shame",stand on one's dignity,dignus (gốc Latin: xứng đáng) + -ity (hậu tố danh từ),"Formal - Trang trọng, dùng nhiều trong triết học, luật pháp, đạo đức."
dominate,"<img src=""dominate.jpg"">",/ˈdɒm.ɪ.neɪt/,[sound:dominate.mp3],"thống trị, chi phối",Small tech companies often struggle to {{c1::dominate}} the market.,"Nắm quyền kiểm soát, ảnh hưởng vượt trội hoặc chiếm vị trí ưu thế hơn hẳn.",Have power and influence over someone or something.,"dominate the market, dominate the conversation, heavily dominate","Syn: control, rule, govern | Ant: yield, submit",N/A,dominus (gốc Latin: chủ nhân/chúa tể) + -ate (hậu tố động từ),"Neutral / Formal - Thường dùng trong thể thao, kinh doanh, chính trị."
excessively,"<img src=""excessively.jpg"">",/ɪkˈses.ɪv.li/,[sound:excessively.mp3],"quá mức, quá đáng",Consuming alcohol {{c1::excessively}} can lead to serious health issues.,"Ở một mức độ quá nhiều, vượt quá giới hạn bình thường hoặc cho phép.","To a degree that is more than necessary, permitted, or desirable.","excessively high, drink excessively, spend excessively","Syn: overly, immoderately | Ant: moderately, insufficiently",N/A,ex- (tiền tố: ra ngoài) + cedere (gốc Latin: đi) -> excess (quá độ) + -ive + -ly,Formal / Neutral - Sắc thái tiêu cực nhẹ do vượt quá mức chuẩn.
expectation,"<img src=""expectation.jpg"">",/ˌek.spekˈteɪ.ʃən/,[sound:expectation.mp3],"sự kỳ vọng, mong đợi",The movie failed to live up to the audience's high {{c1::expectation}}.,Niềm tin hoặc hy vọng rằng điều gì đó sẽ xảy ra hoặc ai đó sẽ đạt chuẩn mực nào đó.,A strong belief that something will happen or be the case in the future.,"high expectation, exceed expectations, manage expectations","Syn: hope, anticipation | Ant: doubt, disbelief",live up to expectations,ex- (tiền tố: ra) + spectare (gốc Latin: nhìn) -> expect + -ation (hậu tố danh từ),"Neutral - Rất thông dụng trong công việc, tâm lý học và giáo dục."
failure,"<img src=""failure.jpg"">",/ˈfeɪ.ljər/,[sound:failure.mp3],"sự thất bại, sự hỏng hóc",Learning from your {{c1::failure}} is the first step toward success.,Việc không đạt được mục tiêu; hoặc sự ngưng hoạt động của máy móc/hệ thống.,Lack of success in doing or achieving something.,"fear of failure, complete failure, system failure","Syn: defeat, breakdown | Ant: success, triumph",single point of failure,fail (gốc động từ: thất bại) + -ure (hậu tố danh từ),Neutral - Dùng phổ biến trong mọi lĩnh vực.
frustration,"<img src=""frustration.jpg"">",/frʌsˈtreɪ.ʃən/,[sound:frustration.mp3],"sự bực bội, sự nản lòng",He vented his {{c1::frustration}} by going for a long run.,"Cảm xúc thất vọng, bực bội phát sinh khi không đạt được điều mong muốn hoặc gặp chướng ngại.",The feeling of being upset or annoyed as a result of being unable to change or achieve something.,"express frustration, cause frustration, deep frustration","Syn: annoyance, disappointment | Ant: satisfaction, fulfillment",vent one's frustration,frustra (gốc Latin: vô ích) + -tion (hậu tố danh từ),Neutral - Dùng mô tả tâm lý con người.
handle,"<img src=""handle.jpg"">",/ˈhæn.dəl/,[sound:handle.mp3],"xử lý, giải quyết",She knows how to {{c1::handle}} stressful situations calmly.,"Xử lý, ứng phó với tình huống hoặc đối phó với một ai đó; cũng có nghĩa là tay cầm.","To manage, deal with, or control a situation or person.","handle pressure, handle a situation, handle with care","Syn: manage, deal with | Ant: ignore, neglect",get a handle on something,hand (gốc: bàn tay) + -le (hậu tố chỉ công cụ/hành động lặp),Neutral / Informal - Rất tự nhiên trong giao tiếp hàng ngày.
humanity,"<img src=""humanity.jpg"">",/hjuːˈmæn.ə.ti/,[sound:humanity.mp3],"nhân loại, lòng nhân đạo",His selfless act restored my faith in {{c1::humanity}}.,"Toàn thể loài người; hoặc phẩm chất nhân đạo, tình thương giữa người với người.","Human beings collectively, or the quality of being humane.","crimes against humanity, faith in humanity, common humanity","Syn: mankind, compassion | Ant: inhumanity, cruelty",restore faith in humanity,human (gốc: con người) + -ity (hậu tố danh từ),Formal / Philosophical - Mang tính nhân văn cao.
impossible,"<img src=""impossible.jpg"">",/ɪmˈpɒs.ə.bəl/,[sound:impossible.mp3],"không thể, bất khả thi","It seemed {{c1::impossible}} to finish the project on time, but we did it.","Không thể xảy ra, không thể thực hiện được hoặc rất khó chấp nhận.","Not able to occur, exist, or be done.","almost impossible, mission impossible, prove impossible","Syn: unattainable, unfeasible | Ant: possible, achievable",do the impossible,im- (tiền tố: không) + possible (có thể),Neutral - Từ vựng cơ bản và thông dụng.
inner,"<img src=""inner.jpg"">",/ˈɪn.ər/,[sound:inner.mp3],"bên trong, nội tâm",Meditation helps people find their {{c1::inner}} peace.,"Thuộc về phía bên trong; hoặc thuộc về tâm hồn, cảm xúc sâu kín bên trong con người.",Situated inside or further in; mental or spiritual.,"inner peace, inner thoughts, inner circle","Syn: internal, interior | Ant: outer, external",inner child,in (gốc: trong) + -er (hậu tố vị trí),"Neutral / Psychological - Thường dùng trong tâm lý học, đời sống tâm hồn."
integrity,"<img src=""integrity.jpg"">",/ɪnˈteɡ.rə.ti/,[sound:integrity.mp3],"sự chính trực, sự toàn vẹn",A leader must be a person of high moral {{c1::integrity}}.,"Phẩm chất trung thực, liêm chính, luôn giữ đúng nguyên tắc đạo đức; hoặc tính nguyên vẹn.",The quality of being honest and having strong moral principles.,"moral integrity, territorial integrity, personal integrity","Syn: honesty, rectitude | Ant: dishonesty, corruption",with integrity,"integer (gốc Latin: toàn vẹn, nguyên vẹn) + -ity (hậu tố danh từ)","Formal / Academic - Rất tích cực, trang trọng trong công việc và phẩm đức."
mindfulness,"<img src=""mindfulness.jpg"">",/ˈmaɪnd.fəl.nəs/,[sound:mindfulness.mp3],"sự chánh niệm, sự tỉnh thức",Practicing {{c1::mindfulness}} can help reduce daily stress.,Trạng thái tâm trí chú tâm trọn vẹn vào khoảnh khắc hiện tại mà không phán xét.,The practice of maintaining a non-judgmental state of heightened awareness of one's thoughts or surroundings.,"practice mindfulness, mindfulness meditation, state of mindfulness","Syn: attentiveness, awareness | Ant: inattention, distraction",N/A,mind (tâm trí) + -ful (đầy) + -ness (hậu tố danh từ trạng thái),Neutral / Psychological - Phổ biến trong tâm lý học và đời sống hiện đại.
normalise,"<img src=""normalise.jpg"">",/ˈnɔːr.mə.laɪz/,[sound:normalise.mp3],bình thường hóa,The two countries agree to {{c1::normalise}} diplomatic relations soon.,Làm cho một tình huống trở lại trạng thái bình thường hoặc khiến một việc trở nên được xã hội chấp nhận.,To bring or return to a normal state or standard.,"normalise relations, normalise conversation, normalise the situation","Syn: standardize, regularize | Ant: disrupt, abnormalize",get back to normal (trở lại bình thường),normal (tính từ: bình thường) + -ise (hậu tố động từ Anh-Anh),"Formal/Academic - Chuẩn chính tả Anh-Anh (Anh-Mỹ: normalize), dùng trong chính trị, xã hội."
perfectionism,"<img src=""perfectionism.jpg"">",/pəˈfek.ʃən.ɪ.zəm/,[sound:perfectionism.mp3],chủ nghĩa hoàn hảo,Her {{c1::perfectionism}} often makes it hard for her to delegate tasks.,"Xu hướng hoặc mong muốn mọi thứ phải đạt mức hoàn hảo tuyệt đối, không chấp nhận lỗi sai.",Refusal to accept any standard short of perfection.,"unhealthy perfectionism, strive for perfectionism, overcome perfectionism","Syn: exactness, meticulousness | Ant: carelessness, negligence",N/A,perfect (hoàn hảo) + -ion (hậu tố danh từ) + -ism (hậu tố chủ nghĩa/xu hướng),Neutral / Academic - Thường dùng trong phân tích tâm lý.
principle,"<img src=""principle.jpg"">",/ˈprɪn.sə.pəl/,[sound:principle.mp3],"nguyên tắc, đạo lý",He refused to break his personal {{c1::principle}} for money.,Quy tắc đạo đức hoặc chuẩn mực cốt lõi định hướng cho hành vi và quyết định.,A fundamental truth or proposition that serves as the foundation for a system of belief.,"moral principle, basic principle, on principle","Syn: rule, standard, belief | Ant: lawlessness, chaos","in principle, stick to principles","princeps (gốc Latin: người đầu tiên, cốt lõi) + -le","Formal / Academic - Mang sắc thái trang trọng, kiên định."
realistic,"<img src=""realistic.jpg"">",/ˌrɪəˈlɪs.tɪk/,[sound:realistic.mp3],"thực tế, khả thi",You need to set {{c1::realistic}} goals if you want to achieve them.,"Dựa trên thực tế, phù hợp với hoàn cảnh thực tế chứ không mơ mộng, viễn vông.",Having or showing a sensible and practical idea of what can be achieved.,"realistic goal, realistic target, realistic expectation","Syn: practical, pragmatic | Ant: unrealistic, idealistic",get realistic,real (thực tế) + -ist (người/chủ nghĩa) + -ic (hậu tố tính từ),"Neutral - Dùng phổ biến trong lập kế hoạch, đời sống."
resilience,"<img src=""resilience.jpg"">",/rɪˈzɪl.jəns/,[sound:resilience.mp3],"khả năng phục hồi, sự kiên cường",The community showed great {{c1::resilience}} after the storm destroyed their home.,"Khả năng bật dậy, vươn lên hoặc phục hồi nhanh chóng sau khi trải qua khó khăn, thất bại.",The capacity to recover quickly from difficulties; toughness.,"build resilience, show resilience, emotional resilience","Syn: toughness, adaptability | Ant: vulnerability, fragility",bounce back,re- (tiền tố: lại) + salire (gốc Latin: nhảy) -> bật ngược trở lại,"Formal / Academic - Mang tính tích cực, động viên cao."
respectful,"<img src=""respectful.jpg"">",/rɪˈspekt.fəl/,[sound:respectful.mp3],"tôn trọng, kính cẩn",He listened in a {{c1::respectful}} silence while his grandfather spoke.,"Thể hiện thái độ tôn kính, lịch sự và coi trọng người khác.",Feeling or showing deference and respect.,"respectful behavior, respectful distance, be respectful to","Syn: polite, courteous | Ant: disrespectful, insolent",N/A,respect (tôn trọng) + -ful (đầy),Neutral / Formal - Thường dùng trong văn hóa giao tiếp ứng xử.
self-awareness,"<img src=""self-awareness.jpg"">",/ˌself.əˈweə.nəs/,[sound:self-awareness.mp3],sự tự nhận thức,Developing {{c1::self-awareness}} helps you understand your own strengths and weaknesses.,"Khả năng nhận biết rõ ràng về tính cách, cảm xúc, động lực và suy nghĩ của chính mình.","Conscious knowledge of one's own character, feelings, motives, and desires.","lack self-awareness, develop self-awareness, high self-awareness","Syn: self-knowledge, mindfulness | Ant: self-ignorance, obliviousness",N/A,self (bản thân) + aware (nhận biết) + -ness (hậu tố danh từ),Neutral / Academic - Rất phổ biến trong tâm lý học và phát triển bản thân.
self-compassion,"<img src=""self-compassion.jpg"">",/ˌself.kəmˈpæʃ.ən/,[sound:self-compassion.mp3],sự tự trắc ẩn,Practicing {{c1::self-compassion}} allows you to be kind to yourself when you fail.,"Việc đối xử dịu dàng, thấu hiểu và tha thứ cho bản thân khi gặp thất bại hay đau khổ thay vì tự trách móc.","Extending compassion to oneself in instances of perceived inadequacy, failure, or general suffering.","practice self-compassion, show self-compassion, lack of self-compassion","Syn: self-kindness, self-forgiveness | Ant: self-criticism, self-blame",be gentle with oneself,self (bản thân) + compassion (lòng trắc ẩn),Neutral / Academic - Khái niệm phổ biến trong tâm lý học hiện đại.
