English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
opinion,"<img src=""opinion.jpg"">",/əˈpɪn.jən/,[sound:opinion.mp3],"ý kiến, quan điểm","In my {{c1::opinion}}, the government should invest more in public transport.","Ý kiến, suy nghĩ, niềm tin hoặc cách nhìn nhận của một cá nhân về một vấn đề nào đó, không nhất thiết dựa trên sự thật hiển nhiên.","A thought, belief, or judgment about something or someone, not necessarily based on fact.","in my opinion, express an opinion, public opinion","Syn: view, belief, perspective, stance | Ant: fact",matter of opinion,"Gốc Latinh 'opinari' (suy nghĩ, cho rằng) kết hợp với hậu tố danh từ '-ion'.","Neutral. Dùng cực kỳ phổ biến trong giao tiếp hàng ngày, văn viết học thuật và nghị luận xã hội."
attention,"<img src=""attention.jpg"">",/əˈten.ʃən/,[sound:attention.mp3],"sự chú ý, sự quan tâm",Please pay close {{c1::attention}} to the instructions on the screen.,"Hành động lắng nghe, quan sát, tập trung suy nghĩ hoặc hướng sự quan tâm đến ai đó hoặc cái gì đó.","Notice, thought, or interest given to someone or something.","pay attention, attract attention, draw attention to","Syn: focus, concentration, awareness | Ant: inattention, distraction",grab someone's attention,Gốc Latinh 'attendere' (hướng tâm trí vào) kết hợp với hậu tố chỉ hành động/trạng thái '-ion'.,"Neutral. Thích hợp cho cả giao tiếp thông thường lẫn môi trường học thuật, công sở."
manage,"<img src=""manage.jpg"">",/ˈmæn.ɪdʒ/,[sound:manage.mp3],"quản lý, xoay xở",How do you {{c1::manage}} to stay so calm in difficult situations?,"Kiểm soát, điều hành một công việc/tổ chức, hoặc thành công trong việc giải quyết khó khăn để đạt mục đích.","To be in charge of a business, campaign, or organization; to succeed in doing or dealing with something difficult.","manage to do, manage time, manage a project","Syn: run, control, handle, cope | Ant: fail, mismanage",manage to get by,"Nguồn gốc từ tiếng Ý 'maneggiare' (điều khiển ngựa), có gốc từ tiếng Latinh 'manus' (bàn tay).",Neutral. Rất thông dụng trong đời sống hàng ngày (nghĩa xoay xở) và trong quản trị doanh nghiệp (nghĩa quản lý).
experience,"<img src=""experience.jpg"">",/ɪkˈspɪə.ri.əns/,[sound:experience.mp3],"kinh nghiệm, trải nghiệm",Work {{c1::experience}} is often more valuable than a college degree.,"Kiến thức hay kỹ năng có được từ việc làm trực tiếp, nhìn thấy hoặc cảm nhận; hoặc một sự kiện cụ thể đã trải qua.","Knowledge or skill that you get from doing, seeing, or feeling things; something that happens to you.","gain experience, hands-on experience, past experience","Syn: knowledge, expertise, adventure | Ant: inexperience",experience is the best teacher,"Gốc Latinh 'experientia' (sự thử nghiệm, thử thách), từ động từ 'experiri' (thử thách).",Neutral. Sử dụng rộng rãi từ đời sống thường ngày đến hồ sơ xin việc (CV/Resume).
passion,"<img src=""passion.jpg"">",/ˈpæʃ.ən/,[sound:passion.mp3],niềm đam mê,Music is her greatest {{c1::passion}} in life.,"Cảm xúc mãnh liệt về tình yêu, sự hào hứng hoặc khát khao cháy bỏng dành cho một hoạt động, sở thích hay con người.","A powerful emotion, such as love, or a strong enthusiasm for an activity.","have a passion for, lifelong passion, pursue a passion","Syn: enthusiasm, devotion, zeal | Ant: apathy, indifference",passion project,"Gốc Latinh 'passio' (chịu đựng, đau khổ) - ban đầu mang nghĩa tôn giáo về sự hy sinh, sau tiến hóa thành cảm xúc mãnh liệt.","Neutral/Expressive. Mang sắc thái biểu cảm tích cực, truyền cảm hứng và đầy năng lượng."
side,"<img src=""side.jpg"">",/saɪd/,[sound:side.mp3],"bên, khía cạnh, phía",We need to hear both {{c1::sides}} of the argument before making a decision.,"Một phần, hướng, hoặc một góc nhìn/khía cạnh của một vấn đề, đồ vật hoặc một cuộc tranh luận.",A flat outer surface of an object; a position next to something; or one of the positions in a dispute or debate.,"on the bright side, take sides, side effect","Syn: aspect, flank, faction | Ant: center, middle","by my side, side by side","Gốc tiếng Anh cổ (Old English) 'sīde' (sườn, phía bên, sườn đồi).","Neutral. Từ đa nghĩa cực kỳ cơ bản, dùng được trong mọi hoàn cảnh."
accept,"<img src=""accept.jpg"">",/əkˈsept/,[sound:accept.mp3],"chấp nhận, đón nhận",They decided to {{c1::accept}} the job offer despite the low salary.,"Đồng ý nhận cái gì đó được trao cho, hoặc đồng ý với một ý kiến, thỏa thuận hay tình huống thực tế.","To agree to take something; to admit and agree to an opinion, agreement, or situation.","accept an offer, accept responsibility, hard to accept","Syn: agree, admit, embrace | Ant: reject, refuse, decline",accept something with open arms,"Từ tiền tố 'ad-' (về phía, tới) kết hợp với gốc Latinh 'capere' (nắm lấy, lấy) -> 'acceptare'.","Neutral. Rất phổ biến trong đời sống, công việc, quan hệ xã hội và các văn bản thỏa thuận."
narrow,"<img src=""narrow.jpg"">",/ˈnær.əʊ/,[sound:narrow.mp3],"hẹp, hạn chế",The car had to drive slowly down the {{c1::narrow}} street.,"Có khoảng cách nhỏ từ bên này sang bên kia (vật lý); hoặc bị giới hạn trong phạm vi, số lượng hay tư duy (trừu tượng).","Having a small distance from one side to the other; limited in extent, amount, or scope.","narrow street, narrow margin, narrow-minded","Syn: tight, limited, restricted | Ant: wide, broad, spacious",narrow down (thu hẹp lựa chọn),"Gốc tiếng Anh cổ 'nearu' nghĩa là chật hẹp, eo hẹp.","Neutral. Thích hợp miêu tả cả các vật thể vật lý lẫn các khái niệm trừu tượng (như tư duy, cơ hội)."
habit,"<img src=""habit.jpg"">",/ˈhæb.ɪt/,[sound:habit.mp3],thói quen,Regular exercise is a healthy {{c1::habit}} to develop.,"Một hành vi, thói quen được lặp đi lặp lại thường xuyên đến mức gần như tự động và khó từ bỏ.","Something that you do often and regularly, sometimes without knowing that you are doing it.","good habit, break a habit, force of habit","Syn: routine, custom, practice | Ant: impulse",kick the habit,"Gốc Latinh 'habere' (có, giữ, sở hữu) -> 'habitus' (trạng thái, trang phục, phong thái thể hiện).",Neutral. Từ vựng thông dụng hàng ngày trong đời sống và y học/tâm lý học hành vi.
caring,"<img src=""caring.jpg"">",/ˈkeə.rɪŋ/,[sound:caring.mp3],"chu đáo, biết quan tâm",She is a warm and {{c1::caring}} person who always helps others.,"Thể hiện sự quan tâm, lo lắng và lòng tử tế, nhân hậu đối với người khác.",Displaying kindness and concern for others; sympathetic.,"caring profession, caring attitude, loving and caring","Syn: compassionate, kind, thoughtful | Ant: uncaring, selfish, indifferent",None,Từ gốc động từ 'care' kết hợp với hậu tố tính từ '-ing'.,"Neutral/Warm. Mang ý nghĩa tích cực, ấm áp, thích hợp dùng khi mô tả tính cách hoặc các công việc dịch vụ xã hội."
thoughtful,"<img src=""thoughtful.jpg"">",/ˈθɔːt.fəl/,[sound:thoughtful.mp3],"chu đáo, biết suy nghĩ; trầm ngâm","Thank you for the flowers, it was very {{c1::thoughtful}} of you.","Luôn quan tâm, nghĩ cho cảm xúc và nhu cầu của người khác; hoặc thể hiện vẻ ngoài đăm chiêu, đang suy nghĩ sâu sắc.",Showing consideration for the needs of other people; or showing deep thought.,"thoughtful gesture, thoughtful look, thoughtful of someone","Syn: considerate, attentive, contemplative | Ant: thoughtless, inconsiderate",None,"Danh từ 'thought' (suy nghĩ) kết hợp với hậu tố đầy đặn '-ful' (đầy ắp, giàu tính chất).","Neutral. Thường dùng làm lời khen ngợi tinh tế về tính cách, hành động của ai đó hoặc miêu tả trạng thái suy tư."
encourage,"<img src=""encourage.jpg"">",/ɪnˈkʌr.ɪdʒ/,[sound:encourage.mp3],"khuyến khích, động viên",My parents always {{c1::encourage}} me to pursue my dreams.,"Làm cho ai đó có thêm niềm tin, hy vọng, dũng khí hoặc động lực để làm một việc gì đó.","To give someone support, confidence, or hope to do something.","encourage someone to, highly encourage, encourage development","Syn: inspire, motivate, support | Ant: discourage, deter, prevent",None,"Tiền tố 'en-' (làm cho) kết hợp với danh từ 'courage' (dũng khí, xuất phát từ gốc Latinh 'cor' nghĩa là trái tim).","Neutral. Mang hàm ý tích cực, dùng nhiều trong giáo dục, quản trị và đời sống gia đình."
thankful,"<img src=""thankful.jpg"">",/ˈθæŋk.fəl/,[sound:thankful.mp3],"biết ơn, cảm thấy may mắn",I am so {{c1::thankful}} for all the support my friends gave me.,Cảm giác vui mừng và biết ơn vì một điều tốt đẹp đã xảy ra hoặc một tình huống tồi tệ đã tránh được.,Pleased and relieved; expressing gratitude for something.,"thankful for, thankful that, deeply thankful","Syn: grateful, appreciative | Ant: ungrateful, thankless",thankful for small mercies,Danh từ/Động từ 'thank' kết hợp với hậu tố tính từ '-ful' (mang nhiều tính chất).,Neutral. Có phần tự nhiên và thiên về cảm xúc nhẹ nhõm cá nhân hơn từ mang tính trang trọng như 'grateful'.
sense,"<img src=""sense.jpg"">",/sens/,[sound:sense.mp3],"giác quan, cảm giác, ý thức",Dogs have an amazing {{c1::sense}} of smell.,"Khả năng thể chất giúp nhận biết thế giới xung quanh (thính giác, khứu giác...); hoặc một cảm giác nhận thức rõ ràng; hoặc khả năng phán đoán hợp lý.","An ability to understand, recognize, or value something; physical faculties to perceive external stimuli.","sense of humor, make sense, sense of security","Syn: feeling, perception, logic, intellect | Ant: numbness, nonsense",come to one's senses,"Gốc Latinh 'sensus' (cảm giác, ý thức, ý nghĩa), phát sinh từ động từ 'sentire' (cảm nhận).","Neutral. Từ đa nghĩa cực kỳ phổ biến, dùng linh hoạt tùy ngữ cảnh đi kèm."
moment,"<img src=""moment.jpg"">",/ˈməʊ.mənt/,[sound:moment.mp3],"khoảnh khắc, chốc lát",Please wait for a {{c1::moment}} while I check the system.,"Một khoảng thời gian rất ngắn, nhanh chóng; hoặc một thời điểm cụ thể quan trọng trong dòng thời gian.",A very brief period of time; a particular point in time.,"at the moment, for a moment, historic moment","Syn: instant, second, minute | Ant: eternity","at any moment, live in the moment","Gốc Latinh 'momentum' (sự chuyển động, tầm quan trọng, khoảnh khắc thời gian).","Neutral. Từ căn bản, dùng thường xuyên trong các yêu cầu chờ đợi lịch sự hoặc mô tả khoảnh khắc đáng nhớ."
